unknown,TFIDF_cosine,libVar
12843.bok.json,0.99998,RAWrabicaSham19Y
12843.json,0.99998,RAWrabicaShamAY2
37550.json,0.84339,RAWrabicaShamAY3
0204Shafici.IkhtilafHadith.Shamela0009348-ara1,0.8412,RELEASE
0204Shafici.IkhtilafHadith.ShamAY0034043-ara1,0.84057,RELEASE
0204Shafici.IkhtilafHadith.ShamAY0034043-ara1,0.83911,RELEASE
34043.json,0.83798,RAWrabicaShamAY2
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.83649,RELEASE
0204Shafici.IkhtilafHadith.Shia001705-ara1,0.83632,RELEASE
32483.json,0.83588,RAWrabicaShamAY2
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.83443,RELEASE
38863.json,0.8298,RAWrabicaShamAY3
9348.json,0.82952,RAWrabicaShamAY1
0264IbnYahyaMuzani.Mukhtasar.Shamela0001661-ara1,0.82539,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.82442,RELEASE
0264IbnYahyaMuzani.Mukhtasar.Shia000828-ara1,0.82432,RELEASE
0795IbnRajabHanbali.RawaicTafsir.Shamela0010463-ara1,0.82307,RELEASE
0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shia001931-ara1,0.82288,RELEASE
0264IbnYahyaMuzani.Mukhtasar.Shia000828-ara1,0.82265,RELEASE
10463.json,0.82231,RAWrabicaShamAY1
1661.json,0.82194,RAWrabicaShamAY1
0276IbnQutaybaDinawari.TawilMukhtalafHadith.JK000561-ara1,0.82147,RELEASE
4268.json,0.82123,RAWrabicaShamAY1
32542.json,0.81823,RAWrabicaShamAY2
0561CabdQadirJilani.Ghunya.Sham19Y0017817-ara1,0.81678,RELEASE
2012.html,0.81669,RAWrabicaRafed
0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.Shamela0011816-ara1,0.81666,RELEASE
11816.json,0.81648,RAWrabicaShamAY2
0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shamela0007292-ara1,0.81627,RELEASE
Shamela022921.txt,0.8161,raw_ShamelaY19
22921.bok.json,0.81565,RAWrabicaSham19Y
0561CabdQadirJilani.Ghunya.Sham19Y0017817-ara1,0.81549,RELEASE
0458AbuYaclaIbnFarra.IbtalTawilat.Shamela0022921-ara1,0.81527,RELEASE
0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shamela0007292-ara1,0.81484,RELEASE
22921.json,0.81341,RAWrabicaShamAY2
0204Shafici.IkhtilafHadith.JK000560-ara1,0.81338,RELEASE
0458AbuYaclaIbnFarra.IbtalTawilat.Shamela0022921-ara1,0.81336,RELEASE
0303Nasai.Tafsir.Tafsir02100-ara1,0.81279,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.81168,RELEASE
0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,0.81157,RELEASE
0483IbnAhmadSarakhsi.SharhSiyarKabir.Shamela0005434-ara1,0.81138,RELEASE
Shamela098086.txt,0.81133,raw_ShamelaY19
0483IbnAhmadSarakhsi.SharhSiyarKabir.Shia003154Vols-ara1,0.81118,RELEASE
0303Nasai.Tafsir.Tafsir02100-ara1,0.8111,RELEASE
21502.json,0.8104,RAWrabicaShamAY2
0606IbnAthirMajdDin.MucjamJamic.Shamela0025800-ara1,0.80997,RELEASE
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.80992,RELEASE
002221.automARkdown,0.80989,RAW_Masaha
8197.json,0.80986,RAWrabicaShamAY1
000489.automARkdown,0.8096,RAW_Masaha
0204Shafici.Risala.ShamAY0034203-ara1,0.80953,RELEASE
Shamela021502.txt,0.80938,raw_ShamelaY19
5434.json,0.80909,RAWrabicaShamAY1
Sham30K0002504,0.80888,RAWrabica005000
Sham30K0044081,0.80858,RAWrabica030000
0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,0.80856,RELEASE
Shamela133386.txt,0.8085,raw_ShamelaY19
0686IbnZakariyaManbiji.LubabFiJamc.JK007036-ara1,0.8083,RELEASE
Shamela018339.txt,0.80828,raw_ShamelaY19
0422QadiCabdWahhabThaclabi.SharhRisala.Sham19Y0018609-ara1,0.80812,RELEASE
Shamela025800.txt,0.80795,raw_ShamelaY19
0204Shafici.Risala.JK000143-ara1,0.80795,RELEASE
1364CamirIbnKHamisMaliki.GhayatMatlub.ShamIbadiyya0000459-ara1,0.80794,RELEASE
Shamela020855.txt,0.80747,raw_ShamelaY19
1442.json,0.80728,RAWrabicaShamAY1
6446.json,0.80713,RAWrabicaShamAY1
6226.json,0.80694,RAWrabicaShamAY1
37299.json,0.80685,RAWrabicaShamAY3
0422QadiCabdWahhabThaclabi.SharhRisala.Sham19Y0018609-ara1,0.80681,RELEASE
32674.json,0.80655,RAWrabicaShamAY2
0151IbnIshaq.Sira.JK001038-ara1,0.80649,RELEASE
Shamela035453.txt,0.80645,raw_ShamelaY19
0151IbnIshaq.Sira.Shia003660Vols-ara1,0.80627,RELEASE
Shamela026713.txt,0.80612,raw_ShamelaY19
0814IbnNahhas.TanbihGhafilin.Sham19Y0035453-ara1,0.80602,RELEASE
Shamela018609.txt,0.80598,raw_ShamelaY19
1218SalihFulani.IqazHimam.Shamela0006856-ara1,0.80595,RELEASE
000387.automARkdown,0.80591,RAW_Masaha
0535QawwamSunna.HujjaFiBayanMahajja.Shamela0006446-ara1,0.80572,RELEASE
34444.json,0.80541,RAWrabicaShamAY3
0483IbnAhmadSarakhsi.SharhSiyarKabir.JK009218-ara1,0.80541,RELEASE
1661.html,0.8054,RAWrabicaRafed
Sham30K0033813,0.80539,RAWrabica020000
Sham30K0008197,0.80528,RAWrabica010000
0560WazirIbnHubayraShaybani.Ifsah.Sham19Y0013572-ara1,0.80517,RELEASE
34203.json,0.80509,RAWrabicaShamAY3
0600CabdGhaniMuqaddasi.CumdatAhkam.Sham19Y0011194-ara1,0.80488,RELEASE
0444AbuCamrDani.RisalaWafiya.Shamela0026713-ara1,0.80477,RELEASE
6856.json,0.80473,RAWrabicaShamAY1
34348.json,0.80461,RAWrabicaShamAY3
