unknown,TFIDF_cosine,libVar
0350Anonymous.AristutalisFiNafs.GRAR000020-ara1,0.46249,RELEASE
0428IbnSina.Nafs.ALCorpus00004-ara1,0.46028,RELEASE
0350Anonymous.AristutalisFiNafs.GRAR000020-ara1,0.46024,RELEASE
0428IbnSina.Nafs.ALCorpus00004-ara1,0.45863,RELEASE
3070.html,0.44012,RAWrabicaRafed
904.html,0.43462,RAWrabicaRafed
0595IbnRushdHafid.RisalatNafs.Shamela0009737-ara1,0.42252,RELEASE
9737.json,0.41789,RAWrabicaShamAY1
0595IbnRushdHafid.TalkhisKawnWaFasad.DARE00021-ara1,0.41751,RELEASE
7950.automARkdown,0.41687,RAW_Ghbook
1722.html,0.41667,RAWrabicaRafed
0428IbnSina.KawnWaFasad.ALCorpus00007-ara1,0.40696,RELEASE
0428IbnSina.KawnWaFasad.ALCorpus00007-ara1,0.40595,RELEASE
0595IbnRushdHafid.TalkhisHassLiAristu.GRAR000033-ara1,0.40492,RELEASE
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.40473,RELEASE
6494.json,0.40265,RAWrabicaShamAY1
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.40255,RELEASE
0505Ghazali.MacarijQuds.JK000061-ara1,0.40253,RELEASE
8586.json,0.40243,RAW_ABLibrary
8608.json,0.39646,RAW_ABLibrary
8354.json,0.39532,RAW_ABLibrary
34687.json,0.39489,RAWrabicaShamAY3
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.39313,RELEASE
1723.html,0.39279,RAWrabicaRafed
8650.json,0.39259,RAW_ABLibrary
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.39112,RELEASE
9879.json,0.39015,RAW_ABLibrary
3570.html,0.38931,RAWrabicaRafed
0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1,0.388,RELEASE
8673.json,0.38678,RAW_ABLibrary
8657.json,0.38631,RAW_ABLibrary
8606.json,0.38627,RAW_ABLibrary
8519.json,0.38582,RAW_ABLibrary
8613.json,0.38569,RAW_ABLibrary
9878.json,0.38495,RAW_ABLibrary
3632.html,0.38441,RAWrabicaRafed
0595IbnRushdHafid.SharhMaBacdTabica.DARE00024-ara1,0.38437,RELEASE
3670.html,0.3842,RAWrabicaRafed
9981.json,0.38408,RAW_ABLibrary
34796.json,0.38201,RAWrabicaShamAY3
8609.json,0.38136,RAW_ABLibrary
10015.automARkdown,0.3795,RAW_Ghbook
8668.json,0.37909,RAW_ABLibrary
8480.json,0.37886,RAW_ABLibrary
8647.json,0.37735,RAW_ABLibrary
8612.json,0.37659,RAW_ABLibrary
8667.json,0.3755,RAW_ABLibrary
1050SadrDinShirazi.HikmaMutacaliya.Shia004695Vols-ara1,0.37538,RELEASE
3591.html,0.37463,RAWrabicaRafed
8614.json,0.37442,RAW_ABLibrary
3630.html,0.37439,RAWrabicaRafed
3641.html,0.37415,RAWrabicaRafed
0298IshaqIbnHunayn.MaqalatAfrudisiFiCaql.GRAR000010-ara1,0.37268,RELEASE
8394.json,0.37211,RAW_ABLibrary
8626.json,0.37179,RAW_ABLibrary
3633.html,0.37152,RAWrabicaRafed
0298IshaqIbnHunayn.MaqalatAfrudisiFiCaql.GRAR000010-ara1,0.3715,RELEASE
8326.json,0.37135,RAW_ABLibrary
0298IshaqIbnHunayn.MaqalatAfrudisiFiCaql.GRAR000007-ara1,0.37129,RELEASE
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.37125,RELEASE
3370.html,0.37034,RAWrabicaRafed
8522.json,0.37026,RAW_ABLibrary
8404.json,0.36999,RAW_ABLibrary
12720.bok.json,0.36963,RAWrabicaSham19Y
698.json,0.36933,RAWrabicaShamAY1
0595IbnRushdHafid.TalkhisKhitaba.JK010698-ara1,0.3692,RELEASE
3705.html,0.36901,RAWrabicaRafed
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.3688,RELEASE
0421Miskawayh.TahdhibAkhlaq.JK010252-ara1,0.36873,RELEASE
8646.json,0.36794,RAW_ABLibrary
12720.json,0.3669,RAWrabicaShamAY2
1716.html,0.36648,RAWrabicaRafed
3642.html,0.36642,RAWrabicaRafed
3636.html,0.36634,RAWrabicaRafed
8573.json,0.36592,RAW_ABLibrary
0200YahyaIbnBitriq.Thulujiya.GRAR000066-ara1,0.36567,RELEASE
8521.json,0.36564,RAW_ABLibrary
7918.json,0.3656,RAW_ABLibrary
0305AbuCuthmanDimashqi.TupiqaLiAristutalis.GRAR000029-ara1,0.36541,RELEASE
0625AbuMuhammadIbnRushd.HalYattasilBiCaql.DARE00101-ara1,0.36464,RELEASE
0414AbuHayyanTawhidi.Muqabasat.Shamela0010916-ara1,0.3642,RELEASE
0414AbuHayyanTawhidi.Muqabasat.Shamela0010916-ara1,0.36405,RELEASE
0298IshaqIbnHunayn.BuruqlisFiQidamCalam.GRAR000064-ara1,0.36395,RELEASE
Shamela037697.txt,0.36387,raw_ShamelaY19
0471CabdQahirJurjani.DalailIcjaz.Shamela0037697-ara1,0.36384,RELEASE
10916.bok.json,0.36383,RAWrabicaSham19Y
1128.html,0.36376,RAWrabicaRafed
0298IshaqIbnHunayn.BuruqlisFiQidamCalam.GRAR000064-ara1,0.36374,RELEASE
0200YahyaIbnBitriq.Thulujiya.GRAR000066-ara1,0.36368,RELEASE
3571.html,0.36345,RAWrabicaRafed
0305AbuCuthmanDimashqi.TupiqaLiAristutalis.GRAR000029-ara1,0.36336,RELEASE
2081.html,0.36336,RAWrabicaRafed
8455.json,0.36335,RAW_ABLibrary
0339AbuNasrFarabi.AraAhlMadina.EShia0010461-ara1,0.36256,RELEASE
0699IbnMaythamBahrani.SharhMiatKalima.Shia001379-ara1,0.36249,RELEASE
9816.json,0.36247,RAW_ABLibrary
10916.json,0.36219,RAWrabicaShamAY2
3315.html,0.36181,RAWrabicaRafed
8622.json,0.36087,RAW_ABLibrary
0339AbuNasrFarabi.AraAhlMadina.EShia0010461-ara1,0.36084,RELEASE
8464.json,0.36058,RAW_ABLibrary
8328.json,0.36056,RAW_ABLibrary
4135.json,0.36047,RAWrabicaShamAY1
0421Miskawayh.HawamilWaShawamil.Shamela0004135-ara1,0.36038,RELEASE
8452.json,0.36011,RAW_ABLibrary
3494.html,0.36001,RAWrabicaRafed
8595.json,0.3599,RAW_ABLibrary
8577.json,0.35989,RAW_ABLibrary
8658.json,0.35983,RAW_ABLibrary
0471CabdQahirJurjani.DalailIcjaz.JK001019-ara1,0.35979,RELEASE
8611.json,0.35979,RAW_ABLibrary
