unknown,TFIDF_cosine,libVar
1304.json,0.98362,RAWrabicaShamAY1
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.98349,RELEASE
Sham30K0033906,0.93431,RAWrabica020000
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.93041,RELEASE
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.93021,RELEASE
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.93008,RELEASE
13187.json,0.9293,RAWrabicaShamAY2
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.92921,RELEASE
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.92889,RELEASE
31641.json,0.92824,RAWrabicaShamAY2
0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1,0.92787,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.92768,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1,0.92747,RELEASE
13041.bok.json,0.92739,RAWrabicaSham19Y
0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1,0.92722,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.9271,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.92653,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.92648,RELEASE
13041.json,0.92646,RAWrabicaShamAY2
0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034141-ara1,0.92555,RELEASE
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.92542,RELEASE
0281IbnAbiDunya.Warac.JK000019-ara1,0.9254,RELEASE
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.92521,RELEASE
34141.json,0.92499,RAWrabicaShamAY2
0281IbnAbiDunya.Warac.JK000019-ara1,0.92476,RELEASE
0281IbnAbiDunya.IshrafFiManazil.ShamAY0038145-ara1,0.92445,RELEASE
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.92439,RELEASE
38165.json,0.92426,RAWrabicaShamAY3
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.92421,RELEASE
4003.json,0.92411,RAWrabicaShamAY1
0322AbuJacfarCuqayli.DucafaKabir.Shia003078Vols-ara1,0.92389,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.JK000524-ara1,0.92383,RELEASE
4003.bok.json,0.9238,RAWrabicaSham19Y
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.9237,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.92336,RELEASE
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.92301,RELEASE
38163.json,0.92293,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.92264,RELEASE
38145.json,0.92261,RAWrabicaShamAY3
38175.json,0.9226,RAWrabicaShamAY3
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.9225,RELEASE
9306.json,0.92225,RAWrabicaShamAY1
0327AbuBakrKharaiti.FadilatShukr.JK000048-ara1,0.92224,RELEASE
13078.json,0.92204,RAWrabicaShamAY2
38098.json,0.92198,RAWrabicaShamAY3
13078.bok.json,0.92178,RAWrabicaSham19Y
8477.json,0.9216,RAWrabicaShamAY1
0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1,0.92127,RELEASE
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.92114,RELEASE
0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1,0.92111,RELEASE
0458Bayhaqi.DalailNubuwwa.JK006838-ara1,0.92095,RELEASE
002296Vols.automARkdown,0.92085,RAW_Masaha
13140.bok.json,0.92075,RAWrabicaSham19Y
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.92057,RELEASE
0458Bayhaqi.DalailNubuwwa.JK006838-ara1,0.92026,RELEASE
13140.json,0.91984,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.91869,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.91835,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.9181,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.91802,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.91777,RELEASE
38157.json,0.91775,RAWrabicaShamAY3
32959.json,0.9175,RAWrabicaShamAY2
13009.json,0.9175,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.91743,RELEASE
6899.json,0.91715,RAWrabicaShamAY1
0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1,0.91704,RELEASE
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.91629,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.91625,RELEASE
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.91598,RELEASE
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.91583,RELEASE
12994.json,0.91567,RAWrabicaShamAY2
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.91558,RELEASE
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.91556,RELEASE
13034.bok.json,0.91549,RAWrabicaSham19Y
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.91483,RELEASE
12546.bok.json,0.91467,RAWrabicaSham19Y
38131.json,0.91421,RAWrabicaShamAY3
13034.json,0.91413,RAWrabicaShamAY2
Sham30K0008266,0.91411,RAWrabica010000
12546.json,0.9141,RAWrabicaShamAY2
0281IbnAbiDunya.CaqlWaFadluh.JK000612-ara1,0.91304,RELEASE
38091.json,0.91278,RAWrabicaShamAY3
38057.json,0.91256,RAWrabicaShamAY3
38104.json,0.91241,RAWrabicaShamAY3
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.91232,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.9123,RELEASE
0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1,0.91162,RELEASE
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.91157,RELEASE
38119.json,0.91145,RAWrabicaShamAY3
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.91141,RELEASE
8266.json,0.9114,RAWrabicaShamAY1
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.91137,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.9112,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.9112,RELEASE
1405.json,0.91087,RAWrabicaShamAY1
0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1,0.91067,RELEASE
13075.json,0.9106,RAWrabicaShamAY2
0360AbuBakrAjurri.Sharica.JK009158-ara1,0.91048,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.91013,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.91007,RELEASE
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.90979,RELEASE
12749.json,0.90957,RAWrabicaShamAY2
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.90933,RELEASE
Shamela029991.txt,0.90914,raw_ShamelaY19
0281IbnAbiDunya.Warac.Shia001939-ara1,0.90899,RELEASE
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.90891,RELEASE
0281IbnAbiDunya.Ikhwan.Shamela0012990-ara1,0.9089,RELEASE
0281IbnAbiDunya.Ikhwan.Shamela0012990-ara1,0.9089,RELEASE
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.90886,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.90865,RELEASE
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.90859,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.90842,RELEASE
Sham30K0039018,0.9083,RAWrabica025000
21685.json,0.90811,RAWrabicaShamAY2
1719.json,0.90808,RAWrabicaShamAY1
32750.json,0.90806,RAWrabicaShamAY2
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.90785,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.9078,RELEASE
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.90771,RELEASE
0281IbnAbiDunya.Ikhwan.JK000012-ara1,0.90736,RELEASE
Shamela021685.txt,0.90709,raw_ShamelaY19
13058.bok.json,0.90664,RAWrabicaSham19Y
Sham30K0034083,0.90647,RAWrabica020000
12990.json,0.90637,RAWrabicaShamAY2
0281IbnAbiDunya.Muhtadarin.JK001153-ara1,0.90605,RELEASE
0281IbnAbiDunya.Tahajjud.ShamAY0038106-ara1,0.90594,RELEASE
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.90569,RELEASE
0281IbnAbiDunya.Tahajjud.JK001127-ara1,0.90558,RELEASE
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.90557,RELEASE
0281IbnAbiDunya.Tahajjud.JK001127-ara1,0.90526,RELEASE
29991.bok.json,0.90526,RAWrabicaSham19Y
0306Wakic.AkhbarQudat.Shamela0000150-ara1,0.90524,RELEASE
150.json,0.90458,RAWrabicaShamAY1
38106.json,0.90452,RAWrabicaShamAY3
0395IbnMandahMuhammad.Tawhid.JK011329-ara1,0.90436,RELEASE
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.90436,RELEASE
9595.json,0.90433,RAWrabicaShamAY1
33976.json,0.90421,RAWrabicaShamAY2
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.9041,RELEASE
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.90386,RELEASE
13058.json,0.90378,RAWrabicaShamAY2
0281IbnAbiDunya.CaqlWaFadluh.ShamAY0038119-ara1,0.90375,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.90364,RELEASE
0375IbnQasimMiyaniji.Juz.Shamela0029728-ara1,0.90344,RELEASE
Shia003078Vols,0.90337,RAWrabica045000
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.90332,RELEASE
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.90331,RELEASE
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.90331,RELEASE
9595.bok.json,0.90326,RAWrabicaSham19Y
32765.json,0.90325,RAWrabicaShamAY2
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.90316,RELEASE
0375IbnQasimMiyaniji.Juz.Shamela0029728-ara1,0.90303,RELEASE
29991.json,0.90302,RAWrabicaShamAY2
32800.json,0.90294,RAWrabicaShamAY2
98.json,0.90283,RAW_ABLibrary
Shamela151099.txt,0.90278,raw_ShamelaY19
0306Wakic.AkhbarQudat.JK007001-ara1,0.90274,RELEASE
0427IbnCaliShahrazuri.Hadith.Shamela0021691-ara1,0.90255,RELEASE
0306Wakic.AkhbarQudat.Shia003426Vols-ara1,0.90242,RELEASE
0281IbnAbiDunya.Muhtadarin.ShamAY0038114-ara1,0.90241,RELEASE
0427IbnCaliShahrazuri.Hadith.Shamela0021691-ara1,0.90204,RELEASE
0306Wakic.AkhbarQudat.JK007001-ara1,0.90164,RELEASE
38093.json,0.90148,RAWrabicaShamAY3
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.90123,RELEASE
0281IbnAbiDunya.Mutamannin.Shamela0013057-ara1,0.90117,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.90109,RELEASE
0282IbnIshaqJahdami.AhkamQuran.Shamela0006206-ara1,0.90104,RELEASE
Shamela029728.txt,0.901,raw_ShamelaY19
0281IbnAbiDunya.SifatNar.JK009172-ara1,0.90094,RELEASE
0400IbnMuhammadLihyani.Hadith.Shamela0021672-ara1,0.90087,RELEASE
6206.json,0.90085,RAWrabicaShamAY1
Shamela021485.txt,0.90081,raw_ShamelaY19
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.90074,RELEASE
