unknown,TFIDF_cosine,libVar
9595.bok.json,0.99998,RAWrabicaSham19Y
9595.json,0.99998,RAWrabicaShamAY1
Sham30K0038957,0.97661,RAWrabica025000
1401.json,0.97655,RAWrabicaShamAY1
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.97428,RELEASE
38139.json,0.97287,RAWrabicaShamAY3
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.97226,RELEASE
38096.json,0.97179,RAWrabicaShamAY3
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.97073,RELEASE
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.9706,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.97059,RELEASE
Shamela021476.txt,0.9702,raw_ShamelaY19
21476.json,0.97015,RAWrabicaShamAY2
21476.bok.json,0.97,RAWrabicaSham19Y
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.9699,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.96981,RELEASE
38104.json,0.9694,RAWrabicaShamAY3
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.96904,RELEASE
1325.json,0.96899,RAWrabicaShamAY1
33959.json,0.9689,RAWrabicaShamAY2
13075.json,0.96872,RAWrabicaShamAY2
Sham30K0044088,0.96844,RAWrabica030000
Shamela029857.txt,0.96833,raw_ShamelaY19
Shamela026474.txt,0.96824,raw_ShamelaY19
35229.json,0.96816,RAWrabicaShamAY3
38094.json,0.96814,RAWrabicaShamAY3
0273IbnMaja.Sunan.Shamela0098138-ara1,0.96797,RELEASE
Shamela098138.txt,0.96783,raw_ShamelaY19
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.96731,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.96682,RELEASE
0273IbnMaja.Sunan.Shamela0001198-ara1,0.96584,RELEASE
1405.json,0.96443,RAWrabicaShamAY1
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.96426,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.96418,RELEASE
Sham30K0039018,0.96268,RAWrabica025000
13175.bok.json,0.96247,RAWrabicaSham19Y
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.96235,RELEASE
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.96194,RELEASE
13175.json,0.96183,RAWrabicaShamAY2
0360Tabarani.Duca.ShamAY0033982-ara1,0.96181,RELEASE
33982.json,0.96147,RAWrabicaShamAY2
33852.json,0.96081,RAWrabicaShamAY2
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.96038,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.95947,RELEASE
33984.json,0.95929,RAWrabicaShamAY2
32784.json,0.95926,RAWrabicaShamAY2
Shamela026429.txt,0.95916,raw_ShamelaY19
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.95911,RELEASE
26429.json,0.95887,RAWrabicaShamAY2
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.95796,RELEASE
Shamela021485.txt,0.95791,raw_ShamelaY19
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.9579,RELEASE
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.95751,RELEASE
32934.json,0.95743,RAWrabicaShamAY2
21570.bok.json,0.95722,RAWrabicaSham19Y
Shamela021570.txt,0.95716,raw_ShamelaY19
0498IbnMuhammadAbuBakrIsbahani.Juz.Shamela0013105-ara1,0.95715,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.95702,RELEASE
32931.json,0.95699,RAWrabicaShamAY2
26564.json,0.95685,RAWrabicaShamAY2
21570.json,0.95673,RAWrabicaShamAY2
13039.json,0.95649,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.95631,RELEASE
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.95608,RELEASE
26564.bok.json,0.95596,RAWrabicaSham19Y
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.95577,RELEASE
Shamela026564.txt,0.95562,raw_ShamelaY19
33567.json,0.95553,RAWrabicaShamAY2
1381.json,0.95536,RAWrabicaShamAY1
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.95532,RELEASE
38093.json,0.95518,RAWrabicaShamAY3
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.95492,RELEASE
Shamela038194.txt,0.9549,raw_ShamelaY19
0408IbnCabdCazizTaymi.JuzHadith.Shamela0012852-ara1,0.95488,RELEASE
1271.json,0.95464,RAWrabicaShamAY1
0281IbnAbiDunya.MaradWaKaffarat.Shamela0013064-ara1,0.95382,RELEASE
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.95372,RELEASE
Shamela026425.txt,0.95353,raw_ShamelaY19
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.95335,RELEASE
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.95298,RELEASE
78.json,0.95241,RAWrabicaShamAY1
0281IbnAbiDunya.MudaratNas.JK001144-ara1,0.95144,RELEASE
33576.json,0.95139,RAWrabicaShamAY2
0377IbnAhmadJurjani.JuzIbnGhitrif.Shamela0013096-ara1,0.95129,RELEASE
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.95128,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.95122,RELEASE
21485.bok.json,0.9512,RAWrabicaSham19Y
Sham30K0038949,0.95118,RAWrabica025000
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.95083,RELEASE
21485.json,0.95059,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1,0.9504,RELEASE
38113.json,0.95027,RAWrabicaShamAY3
38129.json,0.95024,RAWrabicaShamAY3
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.94996,RELEASE
Shamela026577.txt,0.94989,raw_ShamelaY19
9383.json,0.9497,RAWrabicaShamAY1
13152.json,0.94938,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.94918,RELEASE
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.94911,RELEASE
