unknown,TFIDF_cosine,libVar
37874.json,0.99996,RAWrabicaShamAY3
0328IbnCabdRabbihi.Diwan.ShamAY0037874-ara1,0.9992,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.84329,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.84173,RELEASE
0296IbnMuctazz.Diwan.ShamAY0037841-ara1,0.83566,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.83442,RELEASE
0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1,0.83441,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.83374,RELEASE
37852.json,0.83136,RAWrabicaShamAY3
37841.json,0.8305,RAWrabicaShamAY3
0360KushajimShacir.Diwan.JK007626-ara1,0.82619,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.82213,RELEASE
0385WaWaDimashqi.Diwan.JK007611-ara1,0.82025,RELEASE
0360KushajimShacir.Diwan.JK007626-ara1,0.81482,RELEASE
0360KushajimShacir.Diwan.ShamAY0037962-ara1,0.81474,RELEASE
0584IbnMunqidhShayzari.Diwan.ShamAY0037915-ara1,0.81449,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.81418,RELEASE
37962.json,0.81213,RAWrabicaShamAY3
0385WaWaDimashqi.Diwan.JK007611-ara1,0.81138,RELEASE
37915.json,0.8112,RAWrabicaShamAY3
0385WaWaDimashqi.Diwan.ShamAY0037832-ara1,0.81113,RELEASE
37832.json,0.80832,RAWrabicaShamAY3
0688ShabZarif.Diwan.JK007607-ara1,0.80642,RELEASE
37889.json,0.79508,RAWrabicaShamAY3
0449AbuCalaMacarri.Diwan.JK007580-ara1,0.79389,RELEASE
0630IbnCunayn.Diwan.JK007597-ara1,0.78906,RELEASE
0638IbnCarabi.Diwan.JK007629-ara1,0.78228,RELEASE
0528HakamIbnAbiSalt.Diwan.ShamAY0037851-ara1,0.77878,RELEASE
0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1,0.77871,RELEASE
0656BahaDinZuhayr.Diwan.ShamAY0037942-ara1,0.7772,RELEASE
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.77674,RELEASE
37875.json,0.77514,RAWrabicaShamAY3
0528HakamIbnAbiSalt.Diwan.ShamAY0037851-ara1,0.77263,RELEASE
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.77091,RELEASE
37834.json,0.769,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.7674,RELEASE
37942.json,0.76716,RAWrabicaShamAY3
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.76666,RELEASE
37878.json,0.76616,RAWrabicaShamAY3
37851.json,0.7631,RAWrabicaShamAY3
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.76266,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.76181,RELEASE
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.76121,RELEASE
0527IbnHamdis.Diwan.JK007576-ara1,0.76109,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.761,RELEASE
0357AbuFirasHamdani.Diwan.ShamAY0037823-ara1,0.76047,RELEASE
37823.json,0.75963,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.JK007591-ara1,0.75946,RELEASE
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.75944,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.ShamAY0037949-ara1,0.7589,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.75826,RELEASE
0567CarqalaKalbi.Diwan.JK007621-ara1,0.75814,RELEASE
0597CimadDinKatibIsfahani.Diwan.ShamAY0037901-ara1,0.7579,RELEASE
0246DicbilKhuzaci.Diwan.JK007615-ara1,0.75679,RELEASE
37840.json,0.75599,RAWrabicaShamAY3
0467IbnHasanBakharzi.Diwan.JK007600-ara1,0.75598,RELEASE
37949.json,0.75467,RAWrabicaShamAY3
0527IbnHamdis.Diwan.JK007576-ara1,0.75422,RELEASE
0527IbnHamdis.Diwan.ShamAY0037952-ara1,0.75384,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.7533,RELEASE
0231AbuTamam.Diwan.ShamAY0037821-ara1,0.75301,RELEASE
37952.json,0.75137,RAWrabicaShamAY3
37951.json,0.75069,RAWrabicaShamAY3
37857.json,0.74969,RAWrabicaShamAY3
37821.json,0.7493,RAWrabicaShamAY3
37946.json,0.74894,RAWrabicaShamAY3
0567CarqalaKalbi.Diwan.JK007621-ara1,0.74693,RELEASE
37901.json,0.74686,RAWrabicaShamAY3
