unknown,TFIDF_cosine,libVar
8255.json,0.937,RAWrabicaShamAY1
Sham30K0008255,0.93697,RAWrabica010000
0330IbnIsmacilMahamili.Duca.Shamela0008255-ara1,0.93673,RELEASE
0330IbnIsmacilMahamili.Duca.ShamAY0033680-ara1,0.9164,RELEASE
33680.json,0.9161,RAWrabicaShamAY2
Sham30K0039018,0.84247,RAWrabica025000
Sham30K0033906,0.84113,RAWrabica020000
35229.json,0.83777,RAWrabicaShamAY3
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.83674,RELEASE
9595.json,0.83527,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.83467,RELEASE
9595.bok.json,0.83388,RAWrabicaSham19Y
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.83358,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.83355,RELEASE
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.83291,RELEASE
Sham30K0038957,0.83269,RAWrabica025000
38104.json,0.83263,RAWrabicaShamAY3
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.83257,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.83252,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.83205,RELEASE
32934.json,0.83173,RAWrabicaShamAY2
38157.json,0.83146,RAWrabicaShamAY3
38096.json,0.83127,RAWrabicaShamAY3
13187.json,0.83099,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.8306,RELEASE
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.8306,RELEASE
13075.json,0.83058,RAWrabicaShamAY2
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.83038,RELEASE
38094.json,0.83012,RAWrabicaShamAY3
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.83,RELEASE
1401.json,0.82961,RAWrabicaShamAY1
0395IbnMandahMuhammad.Tawhid.JK011329-ara1,0.82959,RELEASE
Shamela026429.txt,0.82955,raw_ShamelaY19
13009.json,0.829,RAWrabicaShamAY2
32931.json,0.82873,RAWrabicaShamAY2
Shamela021476.txt,0.82868,raw_ShamelaY19
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.82867,RELEASE
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.82864,RELEASE
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.82828,RELEASE
1271.json,0.82796,RAWrabicaShamAY1
Shamela026577.txt,0.82793,raw_ShamelaY19
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.82766,RELEASE
Sham30K0044088,0.82755,RAWrabica030000
26429.json,0.82749,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.82748,RELEASE
38093.json,0.82703,RAWrabicaShamAY3
21476.bok.json,0.827,RAWrabicaSham19Y
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.82685,RELEASE
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.82684,RELEASE
21476.json,0.8265,RAWrabicaShamAY2
Shamela098138.txt,0.82626,raw_ShamelaY19
13039.json,0.8257,RAWrabicaShamAY2
Shamela026474.txt,0.82555,raw_ShamelaY19
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.82555,RELEASE
1325.json,0.82543,RAWrabicaShamAY1
0273IbnMaja.Sunan.Shamela0098138-ara1,0.82506,RELEASE
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.82468,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.82453,RELEASE
Shamela021485.txt,0.82423,raw_ShamelaY19
