unknown,TFIDF_cosine,libVar
33680.json,0.99384,RAWrabicaShamAY2
Sham30K0008255,0.97599,RAWrabica010000
0330IbnIsmacilMahamili.Duca.Shamela0008255-ara1,0.97165,RELEASE
8255.json,0.97097,RAWrabicaShamAY1
0330IbnIsmacilMahamili.Duca.JK011344-ara1,0.9164,RELEASE
Shamela026425.txt,0.90418,raw_ShamelaY19
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.90303,RELEASE
78.json,0.90236,RAWrabicaShamAY1
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.8982,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.89795,RELEASE
1405.json,0.8979,RAWrabicaShamAY1
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.89775,RELEASE
98.json,0.8957,RAW_ABLibrary
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.89507,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.89488,RELEASE
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.89484,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.89447,RELEASE
13039.json,0.89432,RAWrabicaShamAY2
13175.bok.json,0.89418,RAWrabicaSham19Y
38093.json,0.89388,RAWrabicaShamAY3
38092.json,0.89367,RAWrabicaShamAY3
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.89359,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.89355,RELEASE
0256Bukhari.AdabMufrad.Shia001922-ara1,0.89348,RELEASE
8210.json,0.89335,RAWrabicaShamAY1
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.89332,RELEASE
0256Bukhari.AdabMufrad.JK000011-ara1,0.89331,RELEASE
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.8933,RELEASE
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.89316,RELEASE
0273IbnMaja.Sunan.Shamela0001198-ara1,0.89303,RELEASE
13175.json,0.893,RAWrabicaShamAY2
12749.json,0.89282,RAWrabicaShamAY2
Sham30K0038957,0.89176,RAWrabica025000
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.89117,RELEASE
1401.json,0.89115,RAWrabicaShamAY1
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.89055,RELEASE
38163.json,0.88916,RAWrabicaShamAY3
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.88886,RELEASE
33903.json,0.88823,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.88774,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.88761,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.88748,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.88746,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.88739,RELEASE
32959.json,0.88725,RAWrabicaShamAY2
33935.json,0.88723,RAWrabicaShamAY2
0360Tabarani.MucjamKabir.ShamAY0033908-ara2,0.88698,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.88681,RELEASE
38104.json,0.8867,RAWrabicaShamAY3
13075.json,0.88642,RAWrabicaShamAY2
32750.json,0.8863,RAWrabicaShamAY2
Shia001922,0.88629,RAWrabica040000
33908.json,0.88622,RAWrabicaShamAY2
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.88617,RELEASE
9595.json,0.88616,RAWrabicaShamAY1
9595.bok.json,0.88598,RAWrabicaSham19Y
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.88565,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.88562,RELEASE
Sham30K0008210,0.88557,RAWrabica010000
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.88455,RELEASE
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.88452,RELEASE
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.88364,RELEASE
38096.json,0.88315,RAWrabicaShamAY3
Shamela029857.txt,0.88291,raw_ShamelaY19
13115.json,0.88276,RAWrabicaShamAY2
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.88244,RELEASE
0360Tabarani.Duca.ShamAY0033982-ara1,0.88161,RELEASE
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.88155,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.88133,RELEASE
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.88129,RELEASE
13115.bok.json,0.88128,RAWrabicaSham19Y
0458Bayhaqi.DalailNubuwwa.Shamela0013115-ara1,0.88124,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.88107,RELEASE
0368IbnJacfarQatici.Fawaid.Shamela0013099-ara1,0.88097,RELEASE
33982.json,0.88096,RAWrabicaShamAY2
33947.json,0.88081,RAWrabicaShamAY2
35229.json,0.88067,RAWrabicaShamAY3
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.88062,RELEASE
0277IbnSufyanFasawi.Mashyakha.ShamAY0038035-ara1,0.88059,RELEASE
1198.json,0.88048,RAWrabicaShamAY1
33925.json,0.88027,RAWrabicaShamAY2
13099.json,0.8802,RAWrabicaShamAY2
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.8802,RELEASE
0303Nasai.CamalYawmWaLayla.Shamela0006772-ara1,0.88006,RELEASE
13037.json,0.87983,RAWrabicaShamAY2
1198.bok.json,0.87974,RAWrabicaSham19Y
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.87916,RELEASE
32800.json,0.87913,RAWrabicaShamAY2
38035.json,0.87905,RAWrabicaShamAY3
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.87898,RELEASE
