unknown,TFIDF_cosine,libVar
9310.json,0.99704,RAWrabicaShamAY1
0348IbnMuhammadKhuldi.Fawaid.JK011405-ara1,0.98289,RELEASE
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.85074,RELEASE
10637.json,0.85042,RAWrabicaShamAY1
002186Vols.automARkdown,0.84932,RAW_Masaha
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.84657,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.84625,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.84603,RELEASE
0281IbnAbiDunya.Cuzla.ShamAY0034115-ara1,0.84359,RELEASE
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.84354,RELEASE
0281IbnAbiDunya.Cuzla.JK009187-ara1,0.84325,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.84313,RELEASE
0281IbnAbiDunya.Cuzla.Shamela0026356-ara1,0.8419,RELEASE
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.84176,RELEASE
13059.json,0.84147,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.84111,RELEASE
4182.json,0.84093,RAWrabicaShamAY1
34005.json,0.84011,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.83877,RELEASE
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.83861,RELEASE
1225.json,0.83857,RAWrabicaShamAY1
0281IbnAbiDunya.Tawba.Shamela0008253-ara1,0.83708,RELEASE
0418HibatAllahLalikai.KaramatAwliya.Shamela0013150-ara1,0.83663,RELEASE
Sham30K0008253,0.83635,RAWrabica010000
0418HibatAllahLalikai.KaramatAwliya.JK000326-ara1,0.83619,RELEASE
34115.json,0.8358,RAWrabicaShamAY2
