unknown,TFIDF_cosine,libVar
5834.bok.json,0.99999,RAWrabicaSham19Y
5834.json,0.99999,RAWrabicaShamAY1
0354IbnHibbanBusti.Majruhin.JK000514-ara1,0.99999,RELEASE
0385Daraqutni.TacliqatCalaMajruhin.Shamela0010843-ara1,0.94015,RELEASE
10843.json,0.93556,RAWrabicaShamAY2
0354IbnHibbanBusti.Majruhin.Shia003101Vols-ara1,0.93236,RELEASE
11569.json,0.92894,RAWrabicaShamAY2
0500IbnAhmadSarrajBaghdadi.Fawaid.ShamAY0038144-ara1,0.92739,RELEASE
38144.json,0.92668,RAWrabicaShamAY3
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.92605,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shamela0013179-ara1,0.92356,RELEASE
Sham30K0034069,0.92158,RAWrabica020000
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.9205,RELEASE
13179.json,0.91797,RAWrabicaShamAY2
0459IbnMuhammadDimashqi.Fawaid.Shamela0026566-ara1,0.91782,RELEASE
Shamela026566.txt,0.91737,raw_ShamelaY19
0273IbnMaja.Sunan.JK000141-ara1,0.9149,RELEASE
0360Tabarani.MucjamKabir.Shia002045Vols-ara1,0.91487,RELEASE
26566.json,0.91471,RAWrabicaShamAY2
0508IbnMukhtarBaghdadi.Fawaid.Shamela0029778-ara1,0.91404,RELEASE
29778.bok.json,0.91256,RAWrabicaSham19Y
Shamela029778.txt,0.91253,raw_ShamelaY19
29778.json,0.91224,RAWrabicaShamAY2
Shamela026921.txt,0.91216,raw_ShamelaY19
0360Tabarani.MucjamKabir.JK000474-ara1,0.91205,RELEASE
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.91167,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.91156,RELEASE
1375.json,0.91062,RAWrabicaShamAY1
Shamela030609.txt,0.91029,raw_ShamelaY19
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90941,RELEASE
0360Tabarani.MusnadShamiyyin.Shia002069Vols-ara1,0.90895,RELEASE
32781.json,0.90858,RAWrabicaShamAY2
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.90851,RELEASE
0360Tabarani.MusnadShamiyyin.JK000478-ara1,0.90845,RELEASE
0385Daraqutni.Afrad.Shamela0030609-ara1,0.90831,RELEASE
9886.json,0.90797,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.90728,RELEASE
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.90723,RELEASE
Shamela029911.txt,0.90715,raw_ShamelaY19
29911.json,0.90689,RAWrabicaShamAY2
1733.json,0.90685,RAWrabicaShamAY1
Shamela029976.txt,0.90675,raw_ShamelaY19
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.90673,RELEASE
0405HakimNaysaburi.Mustadrak.JK000467-ara1,0.90632,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.90625,RELEASE
Sham30K0002717,0.90569,RAWrabica005000
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.90525,RELEASE
34002.json,0.90505,RAWrabicaShamAY2
32828.json,0.90502,RAWrabicaShamAY2
8209.json,0.905,RAWrabicaShamAY1
0256Bukhari.TarikhSaghir.Shia003060Vols-ara1,0.90469,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.90464,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.90425,RELEASE
Sham30K0008209,0.90407,RAWrabica010000
Sham30K0044098,0.90406,RAWrabica030000
30609.json,0.90376,RAWrabicaShamAY2
Shia002045Vols,0.90374,RAWrabica040000
347.json,0.90361,RAWrabicaShamAY1
10514.json,0.9036,RAWrabicaShamAY1
0489IbnFadlIsbahani.FawaidCawali.Shamela0010514-ara1,0.90351,RELEASE
32766.json,0.90319,RAWrabicaShamAY2
0347.bok.json,0.90304,RAWrabicaSham19Y
26878.json,0.90301,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.90294,RELEASE
Shamela026878.txt,0.90286,raw_ShamelaY19
29976.bok.json,0.9025,RAWrabicaSham19Y
0275AbuDawudSijistani.Sunan.JK000142-ara1,0.90235,RELEASE
1377.json,0.90198,RAWrabicaShamAY1
0571IbnCasakir.ArbacunaMinMusawat.Shamela0009371-ara1,0.90196,RELEASE
0458Bayhaqi.SunanKubra.JK000484-ara1,0.9019,RELEASE
0426IbnMuhammadBarqani.Sahih.ShamAY0032828-ara1,0.90179,RELEASE
13059.json,0.90178,RAWrabicaShamAY2
34589.json,0.90177,RAWrabicaShamAY3
2266.json,0.90166,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.90151,RELEASE
0360Tabarani.MusnadShamiyyin.Shamela0013162-ara1,0.90093,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.90088,RELEASE
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.90076,RELEASE
13162.bok.json,0.90036,RAWrabicaSham19Y
33948.json,0.90027,RAWrabicaShamAY2
13162.json,0.90011,RAWrabicaShamAY2
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.89993,RELEASE
9371.json,0.89952,RAWrabicaShamAY1
Shamela022301.txt,0.89942,raw_ShamelaY19
22301.bok.json,0.89847,RAWrabicaSham19Y
38063.json,0.89839,RAWrabicaShamAY3
22301.json,0.89799,RAWrabicaShamAY2
33053.json,0.89788,RAWrabicaShamAY2
33945.json,0.89782,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.89781,RELEASE
4182.json,0.89772,RAWrabicaShamAY1
Shia002093,0.89748,RAWrabica040000
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.89708,RELEASE
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.89621,RELEASE
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.8962,RELEASE
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.89586,RELEASE
8243.json,0.89583,RAWrabicaShamAY1
0344IbnSammak.Fawaid.Shamela0029940-ara1,0.89563,RELEASE
31640.json,0.89537,RAWrabicaShamAY2
0313IbnIshaqSarraj.Musnad.JK009385-ara1,0.89505,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.89442,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.89433,RELEASE
32921.json,0.89426,RAWrabicaShamAY2
004135Vols.automARkdown,0.89414,RAW_Masaha
Shamela131336.txt,0.89411,raw_ShamelaY19
33678.json,0.89381,RAWrabicaShamAY2
0313IbnIshaqSarraj.Musnad.Shamela0001383-ara1,0.89366,RELEASE
0576AbuTahirSilafi.Hadith.ShamAY0038063-ara1,0.89365,RELEASE
32924.json,0.8936,RAWrabicaShamAY2
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.89349,RELEASE
0256Bukhari.TarikhSaghir.JK000531-ara1,0.89348,RELEASE
0256Bukhari.TarikhSaghir.Shamela0005782-ara1,0.89348,RELEASE
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.89347,RELEASE
Sham30K0008243,0.89341,RAWrabica010000
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.89323,RELEASE
33907.json,0.89263,RAWrabicaShamAY2
0487AbuQasimMasisi.HadithSabuni.ShamAY0032870-ara1,0.89197,RELEASE
0255CabdAllahDarimi.Sunan.JK000842-ara1,0.89185,RELEASE
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.89184,RELEASE
12992.json,0.89177,RAWrabicaShamAY2
5782.json,0.89166,RAWrabicaShamAY1
0458Bayhaqi.SunanKubra.Shia001754Vols-ara1,0.89159,RELEASE
1714.json,0.89116,RAWrabicaShamAY1
7397.json,0.89113,RAW_ABLibrary
001831.automARkdown,0.89067,RAW_Masaha
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.89066,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.89054,RELEASE
10492.json,0.89044,RAWrabicaShamAY1
13147.json,0.8904,RAWrabicaShamAY2
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.89032,RELEASE
32870.json,0.88995,RAWrabicaShamAY2
Shamela029940.txt,0.88985,raw_ShamelaY19
0426IbnAhmadIbnShadhan.Hadith.Shamela0029972-ara1,0.88978,RELEASE
13055.json,0.88952,RAWrabicaShamAY2
0475IbnMandahCabdWahhabIsbahani.Fawaid.Shia002163-ara1,0.8893,RELEASE
10480.json,0.88906,RAWrabicaShamAY1
Shamela029972.txt,0.88898,raw_ShamelaY19
12862.json,0.88882,RAWrabicaShamAY2
29972.bok.json,0.88814,RAWrabicaSham19Y
30294.json,0.88778,RAWrabicaShamAY2
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.88771,RELEASE
0458Bayhaqi.SunanKubra.ShamAY0033917-ara1,0.88725,RELEASE
0310IbnAhmadDulabi.KunaWaAsma.Shamela0013056-ara1,0.88708,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.88705,RELEASE
Shamela029747.txt,0.88694,raw_ShamelaY19
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.88682,RELEASE
1225.json,0.88681,RAWrabicaShamAY1
32749.json,0.88668,RAWrabicaShamAY2
31639.json,0.88635,RAWrabicaShamAY2
13056.json,0.88619,RAWrabicaShamAY2
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.88619,RELEASE
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.88611,RELEASE
0287IbnAbiCasim.Awail.Shamela0013001-ara1,0.8861,RELEASE
0405HakimNaysaburi.Mustadrak.Shia001750Vols-ara1,0.88608,RELEASE
33917.json,0.88602,RAWrabicaShamAY2
12842.json,0.88597,RAWrabicaShamAY2
Shia003060Vols,0.88584,RAWrabica045000
29972.json,0.88571,RAWrabicaShamAY2
0360AbuBakrAjurri.FawaidMuntakhaba.ShamAY0032929-ara1,0.88566,RELEASE
0360Tabarani.Duca.Shia002067-ara1,0.88561,RELEASE
11417.json,0.8855,RAWrabicaShamAY2
29747.json,0.88513,RAWrabicaShamAY2
0310IbnAhmadDulabi.KunaWaAsma.JK007016-ara1,0.88499,RELEASE
6068.json,0.88488,RAWrabicaShamAY1
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.88476,RELEASE
0385IbnShahin.SharhMadhahib.JK001143-ara1,0.88473,RELEASE
32929.json,0.88465,RAWrabicaShamAY2
Shamela030294.txt,0.88463,raw_ShamelaY19
0360Tabarani.Duca.Shamela0013016-ara1,0.8841,RELEASE
6068.bok.json,0.88404,RAWrabicaSham19Y
0386IbnCumarHarbi.Harbiyyat.Shamela0010494-ara1,0.88391,RELEASE
0360Tabarani.Duca.JK000675-ara1,0.88374,RELEASE
0360Tabarani.MucjamKabir.Shamela0001353-ara1,0.88351,RELEASE
0405HakimNaysaburi.Mustadrak.Shamela0002266-ara1,0.88349,RELEASE
32836.json,0.88349,RAWrabicaShamAY2
13016.json,0.88338,RAWrabicaShamAY2
0488AbuFadlIbnKhayrun.FawaidCawali.ShamAY0032946-ara1,0.88303,RELEASE
10494.json,0.88278,RAWrabicaShamAY1
Sham30K0034122,0.88246,RAWrabica020000
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.Shamela0005562-ara1,0.88239,RELEASE
2251.html,0.88235,RAWrabicaRafed
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,0.88234,RELEASE
2253.html,0.88229,RAWrabicaRafed
8981.json,0.88223,RAW_ABLibrary
Shamela029898.txt,0.88197,raw_ShamelaY19
29940.bok.json,0.88193,RAWrabicaSham19Y
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.8819,RELEASE
5562.bok.json,0.88189,RAWrabicaSham19Y
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.88174,RELEASE
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.88168,RELEASE
0395IbnMandahMuhammad.Fawaid.Shamela0009347-ara1,0.88162,RELEASE
Shamela026884.txt,0.8816,raw_ShamelaY19
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.88153,RELEASE
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.88125,RELEASE
0395IbnMandahMuhammad.Fawaid.JK000587-ara1,0.8811,RELEASE
8982.json,0.881,RAW_ABLibrary
0357IbnMuhammadKinani.JuzBitaqa.ShamAY0033620-ara1,0.88098,RELEASE
6071.bok.json,0.88091,RAWrabicaSham19Y
32946.json,0.88078,RAWrabicaShamAY2
26884.json,0.88075,RAWrabicaShamAY2
5562.json,0.88073,RAWrabicaShamAY1
1453.json,0.88071,RAWrabicaShamAY1
33620.json,0.88016,RAWrabicaShamAY2
0357IbnMuhammadKinani.JuzBitaqa.JK000491-ara1,0.88007,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.87995,RELEASE
29940.json,0.87987,RAWrabicaShamAY2
10826.json,0.87986,RAWrabicaShamAY2
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.87981,RELEASE
8274.json,0.8798,RAWrabicaShamAY1
34134.json,0.87954,RAWrabicaShamAY2
Shia002069Vols,0.87949,RAWrabica040000
29960.json,0.87936,RAWrabicaShamAY2
Shamela029959.txt,0.87932,raw_ShamelaY19
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.8793,RELEASE
0378HakimKabir.Fawaid.Shamela0026730-ara1,0.87926,RELEASE
Shamela029942.txt,0.87921,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029959-ara1,0.87906,RELEASE
0318AbuCarubaHarrani.MuntaqaMinTabaqat.Shamela0008274-ara1,0.87905,RELEASE
0465IbnMuhtadi.Juz.ShamAY0035235-ara1,0.87901,RELEASE
32840.json,0.87899,RAWrabicaShamAY2
6071.json,0.8789,RAWrabicaShamAY1
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.87889,RELEASE
Shamela026730.txt,0.87872,raw_ShamelaY19
0446AbuYaclaKhalili.Fawaid.Shamela0008240-ara1,0.87839,RELEASE
0359AbuCaliSawwaf.Juz.Shamela0029898-ara1,0.87817,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.87815,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.87785,RELEASE
Sham30K0008274,0.87784,RAWrabica010000
10490.json,0.87783,RAWrabicaShamAY1
29953.json,0.87775,RAWrabicaShamAY2
0385IbnShahin.SharhMadhahib.Shamela0013124-ara1,0.87767,RELEASE
Shamela026559.txt,0.87759,raw_ShamelaY19
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.87759,RELEASE
Shia002067,0.87759,RAWrabica040000
0359AbuBakrNasibi.Fawaid.ShamAY0032824-ara1,0.87757,RELEASE
0327AbuBakrKharaiti.MasawiAkhlaq.JK011598-ara1,0.87748,RELEASE
Shamela029953.txt,0.87745,raw_ShamelaY19
0395IbnMandahMuhammad.RaddCalaJahmiyya.Shamela0013022-ara1,0.87738,RELEASE
26730.json,0.87699,RAWrabicaShamAY2
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.87694,RELEASE
29942.bok.json,0.87687,RAWrabicaSham19Y
Shamela029960.txt,0.87683,raw_ShamelaY19
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.87667,RELEASE
29959.json,0.8766,RAWrabicaShamAY2
0395IbnMandahMuhammad.Amali.Shamela0021663-ara1,0.87647,RELEASE
13146.bok.json,0.87611,RAWrabicaSham19Y
21635.json,0.87602,RAWrabicaShamAY2
26559.json,0.87596,RAWrabicaShamAY2
0458Bayhaqi.ArbacunaSughra.ShamAY0033600-ara1,0.87595,RELEASE
Shamela021635.txt,0.87589,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.87566,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.87551,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029951-ara1,0.87539,RELEASE
Shamela021696.txt,0.87523,raw_ShamelaY19
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.87523,RELEASE
35235.json,0.87509,RAWrabicaShamAY3
0535QawwamSunna.Amali.ShamAY0032916-ara1,0.87508,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.ShamAY0032836-ara1,0.87498,RELEASE
29942.json,0.87486,RAWrabicaShamAY2
0395IbnMandahMuhammad.Iman.Shamela0013005-ara1,0.87479,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.87461,RELEASE
85.json,0.87438,RAW_ABLibrary
13005.json,0.87432,RAWrabicaShamAY2
32916.json,0.87422,RAWrabicaShamAY2
0364IbnSunniDinawari.CamalYawmWaLayl.Shamela0013132-ara1,0.87414,RELEASE
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.87412,RELEASE
0443IbnCaliBasri.HadithMalik.Shamela0021696-ara1,0.87411,RELEASE
Shamela029951.txt,0.8741,raw_ShamelaY19
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.87406,RELEASE
0381IbnMuqriIsbahani.JuzNafic.Shamela0013103-ara1,0.87395,RELEASE
21663.json,0.87395,RAWrabicaShamAY2
13163.json,0.8739,RAWrabicaShamAY2
0395IbnMandahMuhammad.RaddCalaJahmiyya.JK000248-ara1,0.87371,RELEASE
33582.json,0.8735,RAWrabicaShamAY2
5930.json,0.87349,RAWrabicaShamAY1
8240.json,0.87327,RAWrabicaShamAY1
13146.json,0.87323,RAWrabicaShamAY2
Sham30K0008240,0.87317,RAWrabica010000
32824.json,0.87308,RAWrabicaShamAY2
1384.json,0.87303,RAWrabicaShamAY1
13132.json,0.87302,RAWrabicaShamAY2
0303Nasai.MajlisanMinImla.Shamela0008225-ara1,0.87297,RELEASE
33600.json,0.87287,RAWrabicaShamAY2
0357IbnMuhammadKinani.JuzBitaqa.Shamela0013100-ara1,0.87278,RELEASE
Shamela038202.txt,0.87259,raw_ShamelaY19
Sham30K0043832,0.87254,RAWrabica030000
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shamela0013146-ara1,0.87254,RELEASE
0468IbnMuhammadMihrawani.Fawaid.JK007015-ara1,0.87244,RELEASE
33616.json,0.87243,RAWrabicaShamAY2
0381IbnMuqriIsbahani.Mucjam.Shamela0008244-ara1,0.87239,RELEASE
