unknown,TFIDF_cosine,libVar
33643.json,0.96208,RAWrabicaShamAY2
0327IbnAbiHatimRazi.AdabShafici.Shamela0001485-ara1,0.76252,RELEASE
1485.json,0.76134,RAWrabicaShamAY1
13025.bok.json,0.73064,RAWrabicaSham19Y
0458Bayhaqi.ZuhdKabir.Shamela0013025-ara1,0.73039,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.72743,RELEASE
13025.json,0.72695,RAWrabicaShamAY2
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.72477,RELEASE
0458Bayhaqi.ZuhdKabir.JK001288-ara1,0.7202,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shamela0013179-ara1,0.71799,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.71644,RELEASE
13179.json,0.71262,RAWrabicaShamAY2
Shia002158,0.71131,RAWrabica040000
0363IbnHusaynSijistani.ManaqibShafici.Shamela0026768-ara1,0.71124,RELEASE
0418HibatAllahLalikai.SharhUsulIctiqad.JK000764-ara1,0.70987,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.70957,RELEASE
Sham30K0002786,0.70755,RAWrabica005000
9200.json,0.7069,RAWrabicaShamAY1
Shamela026768.txt,0.70681,raw_ShamelaY19
0418HibatAllahLalikai.SharhUsulIctiqad.Shamela0009200-ara1,0.70676,RELEASE
26768.json,0.70492,RAWrabicaShamAY2
0458Bayhaqi.ManaqibShafici.Sham19Y0022797-ara1,0.70375,RELEASE
35817.json,0.70299,RAWrabicaShamAY3
0569IbnKulaybHarrani.Mashyakha.ShamAY0032834-ara1,0.7026,RELEASE
Shamela022797.txt,0.70198,raw_ShamelaY19
1077.json,0.70192,RAWrabicaShamAY1
0451AbuCuthmanBuhayri.Fawaid.Shamela0029948-ara1,0.70164,RELEASE
Shamela030725.txt,0.70097,raw_ShamelaY19
0311AbuBakrKhallal.Sunna.Shamela0001077-ara1,0.70065,RELEASE
13055.json,0.70063,RAWrabicaShamAY2
Shamela029948.txt,0.70018,raw_ShamelaY19
0463KhatibBaghdadi.IqtidaCilmCamal.Shamela0012985-ara1,0.70009,RELEASE
0491IbnMuhammadZaynabi.Amali.Shamela0030725-ara1,0.69995,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.69963,RELEASE
32834.json,0.69905,RAWrabicaShamAY2
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.69902,RELEASE
32780.json,0.69894,RAWrabicaShamAY2
29948.json,0.69734,RAWrabicaShamAY2
12985.json,0.69717,RAWrabicaShamAY2
33976.json,0.69669,RAWrabicaShamAY2
30725.json,0.69646,RAWrabicaShamAY2
0463KhatibBaghdadi.IqtidaCilmCamal.JK000607-ara1,0.69482,RELEASE
13125.bok.json,0.69442,RAWrabicaSham19Y
0463KhatibBaghdadi.SharafAshabHadith.Shamela0013125-ara1,0.69437,RELEASE
Shamela026892.txt,0.69397,raw_ShamelaY19
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.69396,RELEASE
0458Bayhaqi.MacrifatSunanWaAthar.Shamela0002863-ara1,0.69259,RELEASE
0571IbnCasakir.DhammManLaYacmaluBiCilmihi.Shamela0026501-ara1,0.6924,RELEASE
2863.bok.json,0.69233,RAWrabicaSham19Y
0412IbnMuhammadHarawi.ArbacunaFiShuyukhSufiyya.Shamela0008247-ara1,0.69217,RELEASE
13125.json,0.69186,RAWrabicaShamAY2
0412Sulami.TabaqatSufiyya.JK009213-ara1,0.6916,RELEASE
0463KhatibBaghdadi.SharafAshabHadith.JK000837-ara1,0.69131,RELEASE
33633.json,0.6912,RAWrabicaShamAY2
31638.json,0.69079,RAWrabicaShamAY2
Sham30K0008213,0.68999,RAWrabica010000
0281IbnAbiDunya.CaqlWaFadluh.Shia001944-ara1,0.68986,RELEASE
0507IbnQaysarani.Samac.JK009178-ara1,0.68985,RELEASE
Shia002093,0.68948,RAWrabica040000
Sham30K0008247,0.68933,RAWrabica010000
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.68898,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.JK000727-ara1,0.68878,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.68857,RELEASE
Shamela030388.txt,0.68848,raw_ShamelaY19
0281IbnAbiDunya.CaqlWaFadluh.Shamela0003732-ara1,0.68824,RELEASE
26892.json,0.68819,RAWrabicaShamAY2
0461AbuZakariyaBukhari.Majlisan.Sham19Y0030388BK2-ara1,0.68814,RELEASE
0461AbuHusaynFarisi.Majlis.Sham19Y0030388BK1-ara1,0.68814,RELEASE
4182.json,0.68795,RAWrabicaShamAY1
32885.json,0.6872,RAWrabicaShamAY2
0310IbnAhmadDulabi.KunaWaAsma.JK007016-ara1,0.68691,RELEASE
0310IbnAhmadDulabi.KunaWaAsma.Shamela0013056-ara1,0.6867,RELEASE
0458Bayhaqi.MacrifatSunanWaAthar.JK007027-ara1,0.68611,RELEASE
8247.json,0.68602,RAWrabicaShamAY1
0463KhatibBaghdadi.IqtidaCilmCamal.Shia002116-ara1,0.68479,RELEASE
1425.json,0.68444,RAWrabicaShamAY1
0454IbnAhmadRazi.AhadithFiDhammKalam.Shia004492-ara1,0.68428,RELEASE
13056.json,0.68408,RAWrabicaShamAY2
0311AbuBakrKhallal.HaththCalaTijara.Shamela0008213-ara1,0.68397,RELEASE
0436HusaynSaymari.AkhbarAbiHanifa.Shamela0006651-ara1,0.68384,RELEASE
0311AbuBakrKhallal.HaththCalaTijara.JK011339-ara1,0.68383,RELEASE
0412Sulami.TabaqatSufiyya.JK001243-ara1,0.68378,RELEASE
0412Sulami.TabaqatSufiyya.Shamela0006686-ara1,0.68372,RELEASE
8213.json,0.68362,RAWrabicaShamAY1
0436HusaynSaymari.AkhbarAbiHanifa.JK000932-ara1,0.68361,RELEASE
0454IbnAhmadRazi.AhadithFiDhammKalam.JK008000-ara1,0.68357,RELEASE
0571IbnCasakir.TabyinImtinan.Shamela0009965-ara1,0.68344,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.Shia003105Vols-ara2,0.68318,RELEASE
26462.json,0.68315,RAWrabicaShamAY2
6651.json,0.68308,RAWrabicaShamAY1
0275IbnMuhammadMarwazi.AkhbarShuyukh.Shamela0009356-ara1,0.68254,RELEASE
0458Bayhaqi.MacrifatSunanWaAthar.ShamAY0033950-ara1,0.68254,RELEASE
6686.json,0.6822,RAWrabicaShamAY1
9356.bok.json,0.68194,RAWrabicaSham19Y
0454IbnAhmadRazi.AhadithFiDhammKalam.Shamela0026462-ara1,0.6816,RELEASE
26501.json,0.68153,RAWrabicaShamAY2
26462.bok.json,0.68134,RAWrabicaSham19Y
0507IbnQaysarani.MasalatCuluwwWaNuzul.Shamela0006002-ara1,0.68114,RELEASE
Shamela026501.txt,0.68099,raw_ShamelaY19
2141.html,0.68096,RAWrabicaRafed
6002.json,0.68086,RAWrabicaShamAY1
31768.json,0.68054,RAWrabicaShamAY2
Sham30K0044028,0.68042,RAWrabica030000
2140.html,0.68035,RAWrabicaRafed
3732.json,0.68029,RAWrabicaShamAY1
Shamela026462.txt,0.67995,raw_ShamelaY19
33950.json,0.67984,RAWrabicaShamAY2
3617.bok.json,0.67956,RAWrabicaSham19Y
0463KhatibBaghdadi.IhtijajBiShafici.JK000275-ara1,0.67914,RELEASE
001955.automARkdown,0.67893,RAW_Masaha
0463KhatibBaghdadi.RihlaFiTalabCilm.Shamela0013020-ara1,0.67887,RELEASE
2294.html,0.67882,RAWrabicaRafed
0507IbnQaysarani.MasalatCuluwwWaNuzul.JK000853-ara1,0.67871,RELEASE
0354IbnHibbanBusti.Majruhin.Shia003101Vols-ara1,0.67844,RELEASE
9356.json,0.67784,RAWrabicaShamAY1
Shamela026731.txt,0.67761,raw_ShamelaY19
32197.json,0.67736,RAWrabicaShamAY2
0418HibatAllahLalikai.KaramatAwliya.Shamela0013150-ara1,0.67725,RELEASE
819.json,0.67704,RAW_ABLibrary
0463KhatibBaghdadi.IhtijajBiShafici.Shamela0006353-ara1,0.67689,RELEASE
2146.html,0.67674,RAWrabicaRafed
2149.html,0.67664,RAWrabicaRafed
815.json,0.67647,RAW_ABLibrary
