unknown,TFIDF_cosine,libVar
11685.bok.json,0.99988,RAWrabicaSham19Y
11685.json,0.99988,RAWrabicaShamAY2
003715.automARkdown,0.998,RAW_Masaha
3770.html,0.98652,RAWrabicaRafed
10358.automARkdown,0.97358,RAW_Ghbook
0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1,0.84524,RELEASE
349.html,0.84464,RAWrabicaRafed
0682ZakariyaQazwini.AtharBilad.Shamela0009631-ara1,0.84397,RELEASE
0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1,0.84378,RELEASE
8917.json,0.84272,RAW_ABLibrary
9631.json,0.84113,RAWrabicaShamAY1
004128.automARkdown,0.83934,RAW_Masaha
003951Vols.automARkdown,0.83689,RAW_Masaha
0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1,0.83637,RELEASE
23849.json,0.83438,RAWrabicaShamAY2
Shamela023644.txt,0.834,raw_ShamelaY19
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001043-ara1,0.83374,RELEASE
Shamela023849.txt,0.83314,raw_ShamelaY19
004113.automARkdown,0.82999,RAW_Masaha
9204.json,0.8297,RAW_ABLibrary
0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,0.82879,RELEASE
0538JarAllahZamakhshari.RabicAbrar.Shamela0010668-ara1,0.82454,RELEASE
0538JarAllahZamakhshari.RabicAbrar.Shamela0010668-ara1,0.82441,RELEASE
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.82365,RELEASE
10668.json,0.82341,RAWrabicaShamAY1
1043.json,0.82085,RAWrabicaShamAY1
3786.html,0.82062,RAWrabicaRafed
2619.html,0.82042,RAWrabicaRafed
1043.bok.json,0.81966,RAWrabicaSham19Y
38953.json,0.81959,RAWrabicaShamAY3
002979Vols.automARkdown,0.81666,RAW_Masaha
Shamela023735.txt,0.81533,raw_ShamelaY19
7903.json,0.81522,RAW_ABLibrary
003036Vols.automARkdown,0.81506,RAW_Masaha
23735.bok.json,0.81447,RAWrabicaSham19Y
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1,0.81422,RELEASE
1450MuhammadHadiYusufi.MawsucatTarikhIslam.Shia003656Vols-ara1,0.81394,RELEASE
35866.json,0.81331,RAWrabicaShamAY3
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.81322,RELEASE
