unknown,TFIDF_cosine,libVar
003974Vols.automARkdown,0.99689,RAW_Masaha
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.9042,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.90271,RELEASE
4182.json,0.90255,RAWrabicaShamAY1
8981.json,0.9022,RAW_ABLibrary
2251.html,0.90051,RAWrabicaRafed
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.87882,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.86908,RELEASE
004135Vols.automARkdown,0.86642,RAW_Masaha
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.86456,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shamela0013179-ara1,0.86358,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.86227,RELEASE
Shia002158,0.86174,RAWrabica040000
13179.json,0.86087,RAWrabicaShamAY2
Shia002093,0.86017,RAWrabica040000
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.85983,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.JK000727-ara1,0.85652,RELEASE
002186Vols.automARkdown,0.85516,RAW_Masaha
2431.html,0.85425,RAWrabicaRafed
Shia003112Vols,0.85167,RAWrabica045000
13055.json,0.8511,RAWrabicaShamAY2
0463KhatibBaghdadi.RihlaFiTalabCilm.Shia002156-ara1,0.84997,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.ShamAY0034041-ara1,0.84942,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.84831,RELEASE
0354IbnHibbanBusti.Majruhin.Shia003101Vols-ara1,0.84808,RELEASE
34041.json,0.84764,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.84761,RELEASE
Shia003488Vols,0.84691,RAWrabica045000
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.84494,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.84208,RELEASE
Shamela132403.txt,0.84039,raw_ShamelaY19
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.83882,RELEASE
2191.html,0.83868,RAWrabicaRafed
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.83806,RELEASE
004108Vols.automARkdown,0.83799,RAW_Masaha
0458Bayhaqi.Ictiqad.Shamela0012997-ara1,0.83783,RELEASE
0458Bayhaqi.Ictiqad.ShamAY0034009-ara1,0.83766,RELEASE
29976.bok.json,0.83761,RAWrabicaSham19Y
0488AbuFadlIbnKhayrun.FawaidCawali.ShamAY0032946-ara1,0.83758,RELEASE
12997.json,0.83735,RAWrabicaShamAY2
10637.json,0.83733,RAWrabicaShamAY1
Shamela029976.txt,0.83724,raw_ShamelaY19
22301.bok.json,0.837,RAWrabicaSham19Y
