unknown,TFIDF_cosine,libVar
33813.json,0.99999,RAWrabicaShamAY2
0370CaribQurtubi.SilaTarikhTabari.ShamAY0033813-ara1,0.99981,RELEASE
0370CaribQurtubi.SilaTarikhTabari.Shia003482-ara1,0.99886,RELEASE
Shia003482,0.97565,RAWrabica045000
0370CaribQurtubi.SilaTarikhTabari.Shamela0009783BK2-ara1,0.83565,RELEASE
8253.json,0.79763,RAW_ABLibrary
0521MuhammadHamadhani.TakmilatTarikhTabari.Shamela0006616-ara1,0.76498,RELEASE
6616.json,0.76348,RAWrabicaShamAY1
0521MuhammadHamadhani.TakmilatTarikhTabari.JK000414-ara1,0.76254,RELEASE
0448HilalSabi.TuhfatUmara.Shamela0026106-ara1,0.75325,RELEASE
0448HilalSabi.TuhfatUmara.JK009368-ara1,0.75283,RELEASE
26106.json,0.74911,RAWrabicaShamAY2
Shamela026106.txt,0.74767,raw_ShamelaY19
0448HilalSabi.TuhfatUmara.ShamAY0033825-ara1,0.74755,RELEASE
33825.json,0.74297,RAWrabicaShamAY2
0580IbnCimrani.InbaFiTarikhKhulafa.Shamela0012289-ara1,0.73065,RELEASE
9199.json,0.72701,RAW_ABLibrary
9107.json,0.71715,RAW_ABLibrary
176.json,0.71648,RAWrabicaShamAY1
0384IbnCaliTanukhi.NishwarMuhadara.Shamela0010275-ara1,0.70959,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.JK009297-ara1,0.70831,RELEASE
10275.json,0.70509,RAWrabicaShamAY1
1424IhsanCabbas.ShadharatMinKutubMafquda.Shamela0001023-ara1,0.70411,RELEASE
002964Vols.automARkdown,0.7005,RAW_Masaha
7423.json,0.69735,RAW_ABLibrary
8190.json,0.69703,RAWrabicaShamAY1
7548.json,0.69445,RAW_ABLibrary
6630.json,0.69427,RAWrabicaShamAY1
004384.automARkdown,0.69334,RAW_Masaha
34599.json,0.69299,RAWrabicaShamAY3
4363.json,0.69214,RAWrabicaShamAY1
12289.json,0.69211,RAWrabicaShamAY2
7898.json,0.69194,RAW_ABLibrary
Sham30K0008190,0.69041,RAWrabica010000
9236.json,0.69017,RAW_ABLibrary
74.json,0.68888,RAW_ABLibrary
9014.json,0.68809,RAW_ABLibrary
9161.json,0.68713,RAW_ABLibrary
8252.json,0.68695,RAW_ABLibrary
12400.bok.json,0.68642,RAWrabicaSham19Y
9080.json,0.68594,RAW_ABLibrary
79.json,0.68591,RAW_ABLibrary
80.json,0.68585,RAW_ABLibrary
7909.json,0.6858,RAW_ABLibrary
12724.json,0.68457,RAWrabicaShamAY2
12400.json,0.68436,RAWrabicaShamAY2
32241.json,0.68392,RAWrabicaShamAY2
7399.json,0.68375,RAW_ABLibrary
