unknown,TFIDF_cosine,libVar
32355.json,0.99979,RAWrabicaShamAY2
34266.json,0.86479,RAWrabicaShamAY3
1999.html,0.86172,RAWrabicaRafed
8463.json,0.85972,RAWrabicaShamAY1
0620IbnQudamaMaqdisi.Mughni.Shamela0008463-ara1,0.85917,RELEASE
0411MuayyadAhmad.Tajrid.Zaydiyya0000267-ara1,0.85718,RELEASE
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.8567,RELEASE
0411MuayyadAhmad.Tajrid.Zaydiyya0000267-ara1,0.85633,RELEASE
Sham30K0008463,0.85609,RAWrabica010000
32679.json,0.85583,RAWrabicaShamAY2
Shamela021744.txt,0.85224,raw_ShamelaY19
21744.json,0.85095,RAWrabicaShamAY2
35988.json,0.84979,RAWrabicaShamAY3
32293.json,0.84887,RAWrabicaShamAY2
1014MullaCaliQari.FathBabCinaya.ShamAY0033181-ara1,0.84854,RELEASE
Shamela035096.txt,0.8484,raw_ShamelaY19
33181.json,0.84826,RAWrabicaShamAY2
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,0.84756,RELEASE
Shamela019188.txt,0.84674,raw_ShamelaY19
1153.json,0.84659,RAWrabicaShamAY1
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.84658,RELEASE
0682CabdRahmanIbnQudama.SharhKabir.Sham19Y0019188-ara1,0.84607,RELEASE
0397IbnQassar.CuyunAdilla.Sham19Y0014608-ara1,0.84571,RELEASE
0397IbnQassar.CuyunAdilla.Sham19Y0014608-ara1,0.84479,RELEASE
Shamela0008463,0.84445,RAWrabica035000
0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,0.8443,RELEASE
14608.bok.json,0.84404,RAWrabicaSham19Y
1442.json,0.84306,RAWrabicaShamAY1
32022.json,0.84296,RAWrabicaShamAY2
0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,0.84264,RELEASE
2012.html,0.84182,RAWrabicaRafed
0483IbnAhmadSarakhsi.Mabsut.ShamAY0034206-ara1,0.83992,RELEASE
0483IbnAhmadSarakhsi.Mabsut.Shia000923Vols-ara1,0.83953,RELEASE
0483IbnAhmadSarakhsi.Mabsut.Shamela0005423-ara1,0.83932,RELEASE
0483IbnAhmadSarakhsi.Mabsut.ShamAY0034206-ara1,0.83918,RELEASE
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.83912,RELEASE
34206.json,0.83806,RAWrabicaShamAY3
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.83797,RELEASE
31804.json,0.83789,RAWrabicaShamAY2
0743FakhrDinZaylaci.TabyinHaqaiq.JK005200-ara1,0.83658,RELEASE
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.83651,RELEASE
32483.json,0.83528,RAWrabicaShamAY2
1987.html,0.83443,RAWrabicaRafed
12899.bok.json,0.83359,RAWrabicaSham19Y
0474IbnKhalafBaji.MuntaqaMinSharhMuwatta.Sham19Y0006684-ara1,0.83284,RELEASE
6684.json,0.83278,RAWrabicaShamAY1
12895.json,0.8324,RAWrabicaShamAY2
0370IbnCaliJassas.AhkamQuran.Shamela0023579-ara1,0.83239,RELEASE
12899.json,0.83224,RAWrabicaShamAY2
6226.json,0.83218,RAWrabicaShamAY1
0686IbnZakariyaManbiji.LubabFiJamc.JK007036-ara1,0.83216,RELEASE
0474IbnKhalafBaji.MuntaqaMinSharhMuwatta.Sham19Y0006684-ara1,0.83158,RELEASE
0450AbuHasanMawardi.HawiKabir.Shamela0006157-ara1,0.83111,RELEASE
0204Shafici.Umm.Shia000820Vols-ara1,0.83084,RELEASE
0474IbnKhalafBaji.MuntaqaMinSharhMuwatta.Shamela0006684-ara1,0.8306,RELEASE
6157.json,0.83013,RAWrabicaShamAY1
0204Shafici.Umm.Shia000820Vols-ara1,0.83012,RELEASE
Shamela122401.txt,0.82974,raw_ShamelaY19
23579.json,0.82951,RAWrabicaShamAY2
0204Shafici.Umm.ShamAY0034255-ara1,0.82923,RELEASE
0543IbnCarabiIshbili.QabasFiSharhMuwatta.Sham19Y0122401-ara1,0.82913,RELEASE
0543IbnCarabiIshbili.QabasFiSharhMuwatta.Sham19Y0122401-ara1,0.82909,RELEASE
0370IbnCaliJassas.AhkamQuran.JK000871-ara1,0.82903,RELEASE
0204Shafici.Umm.JK000147-ara1,0.82842,RELEASE
0422QadiCabdWahhabThaclabi.SharhRisala.Sham19Y0018609-ara1,0.8283,RELEASE
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.82789,RELEASE
0724IbnCattar.CuddaFiSharhCumda.Sham19Y0014224-ara1,0.82783,RELEASE
0204Shafici.Umm.Shamela0001655-ara1,0.82779,RELEASE
Shamela023579.txt,0.82768,raw_ShamelaY19
0370IbnCaliJassas.AhkamQuran.Shamela0007370-ara1,0.82717,RELEASE
1655.json,0.82679,RAWrabicaShamAY1
0370IbnCaliJassas.AhkamQuran.Shia002514Vols-ara1,0.82663,RELEASE
0587IbnMascudCalaDinKasani.BadaicSanaic.Shia000956Vols-ara1,0.82642,RELEASE
Shamela018609.txt,0.8263,raw_ShamelaY19
0422QadiCabdWahhabThaclabi.SharhRisala.Sham19Y0018609-ara1,0.82621,RELEASE
1665.bok.json,0.82612,RAWrabicaSham19Y
Sham30K0033997,0.82593,RAWrabica020000
Sham30K0033998,0.82583,RAWrabica020000
34255.json,0.82576,RAWrabicaShamAY3
1665.json,0.82572,RAWrabicaShamAY1
36398.json,0.82547,RAWrabicaShamAY3
0370IbnCaliJassas.AhkamQuran.Shamela0007370-ara1,0.82533,RELEASE
32674.json,0.82497,RAWrabicaShamAY2
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,0.82451,RELEASE
7370.json,0.8242,RAWrabicaShamAY1
427.json,0.82412,RAWrabicaShamAY1
Shamela021743.txt,0.82348,raw_ShamelaY19
0772ShamsDinHanbaliZarqashi.SharhCalaMukhtasarKhiraqi.Shamela0021743-ara1,0.82332,RELEASE
34278.json,0.8233,RAWrabicaShamAY3
9403.json,0.82291,RAWrabicaShamAY1
0587IbnMascudCalaDinKasani.BadaicSanaic.Shamela0008183-ara1,0.82282,RELEASE
21743.json,0.82281,RAWrabicaShamAY2
576.json,0.82244,RAWrabicaShamAY1
Shamela036194.txt,0.82234,raw_ShamelaY19
21590.bok.json,0.822,RAWrabicaSham19Y
0587IbnMascudCalaDinKasani.BadaicSanaic.Shamela0008183-ara1,0.822,RELEASE
8183.json,0.82199,RAWrabicaShamAY1
Shamela021590.txt,0.82187,raw_ShamelaY19
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.Shamela0011813-ara1,0.82152,RELEASE
0808MuhammadDamiri.NajmWahhaj.Sham19Y0013783-ara1,0.82136,RELEASE
Sham30K0033962,0.82079,RAWrabica020000
32028.json,0.82043,RAWrabicaShamAY2
0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.Shamela0011816-ara1,0.8203,RELEASE
Shamela037016.txt,0.81989,raw_ShamelaY19
0483IbnAhmadSarakhsi.Mabsut.JK000266-ara1,0.81967,RELEASE
31789.json,0.81924,RAWrabicaShamAY2
11816.json,0.81903,RAWrabicaShamAY2
31775.json,0.81872,RAWrabicaShamAY2
0450AbuHasanMawardi.HawiKabir.ShamAY0034249-ara1,0.81861,RELEASE
34249.json,0.81849,RAWrabicaShamAY3
Sham30K0008183,0.81839,RAWrabica010000
0450AbuHasanMawardi.HawiKabir.ShamAY0034249-ara1,0.8182,RELEASE
106.json,0.81813,RAWrabicaShamAY1
9293.json,0.81809,RAWrabicaShamAY1
7802.json,0.81796,RAWrabicaShamAY1
0702IbnDaqiqCidQushayri.IhkamAhkamSharhCumdatAhkam.Shamela0001665-ara1,0.8179,RELEASE
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.JK000272-ara1,0.81718,RELEASE
7802.bok.json,0.81701,RAWrabicaSham19Y
Shamela021735.txt,0.817,raw_ShamelaY19
650.json,0.81697,RAWrabicaShamAY1
0786IbnMuhammadBabarti.CinayaSharhHidaya.JK011690BK2-ara1,0.81678,RELEASE
0650.bok.json,0.81673,RAWrabicaSham19Y
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.JK000272-ara1,0.81657,RELEASE
9242.json,0.81623,RAWrabicaShamAY1
0685NasirDinBaydawi.TuhfatAbrar.Sham19Y0013614-ara1,0.816,RELEASE
Sham30K0002489,0.81587,RAWrabica005000
Shamela021729.txt,0.81566,raw_ShamelaY19
0204Shafici.IkhtilafHadith.ShamAY0034043-ara1,0.81536,RELEASE
37663.json,0.81523,RAWrabicaShamAY3
Shamela133386.txt,0.81513,raw_ShamelaY19
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.81506,RELEASE
0520IbnRushdJadd.Muqaddimat.Shamela0021735-ara1,0.81504,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.81498,RELEASE
31913.json,0.81496,RAWrabicaShamAY2
4268.json,0.81479,RAWrabicaShamAY1
