unknown,TFIDF_cosine,libVar
Shamela029727.txt,0.99432,raw_ShamelaY19
29727.bok.json,0.98192,RAWrabicaSham19Y
29727.json,0.98138,RAWrabicaShamAY2
8982.json,0.92554,RAW_ABLibrary
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.92515,RELEASE
1714.json,0.92489,RAWrabicaShamAY1
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.92454,RELEASE
2253.html,0.92413,RAWrabicaRafed
32841.json,0.92328,RAWrabicaShamAY2
10490.json,0.92087,RAWrabicaShamAY1
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.92075,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.92071,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.92028,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.91871,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.91777,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.91764,RELEASE
004135Vols.automARkdown,0.91631,RAW_Masaha
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.91629,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.91609,RELEASE
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.91515,RELEASE
32781.json,0.91424,RAWrabicaShamAY2
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.91379,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.91372,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.91365,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.91336,RELEASE
0388IbnBukayrSayrafi.FadailTasmiyya.Shamela0013135-ara1,0.9123,RELEASE
13147.json,0.91198,RAWrabicaShamAY2
13163.json,0.91171,RAWrabicaShamAY2
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.91128,RELEASE
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.91098,RELEASE
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.91081,RELEASE
Shamela029746.txt,0.91034,raw_ShamelaY19
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.91022,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.91018,RELEASE
13135.json,0.90936,RAWrabicaShamAY2
0439IbnMuhammadKhallal.Amali.Shamela0009311-ara1,0.90899,RELEASE
0386IbnCumarHarbi.Harbiyyat.Shamela0010494-ara1,0.90864,RELEASE
32927.json,0.90856,RAWrabicaShamAY2
0388IbnBukayrSayrafi.FadailTasmiyya.JK000569-ara1,0.90854,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.90835,RELEASE
