unknown,TFIDF_cosine,libVar
Sham30K0038949,0.99569,RAWrabica025000
0377IbnAhmadJurjani.JuzIbnGhitrif.Shamela0013096-ara1,0.9938,RELEASE
13096.json,0.98393,RAWrabicaShamAY2
13096.bok.json,0.98278,RAWrabicaSham19Y
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.95301,RELEASE
Sham30K0038957,0.95182,RAWrabica025000
Shamela029857.txt,0.95066,raw_ShamelaY19
1401.json,0.9506,RAWrabicaShamAY1
33959.json,0.94938,RAWrabicaShamAY2
9595.bok.json,0.94769,RAWrabicaSham19Y
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.94768,RELEASE
9595.json,0.94748,RAWrabicaShamAY1
0371AhmadJurjani.Mucjam.JK000760-ara1,0.94591,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.94557,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.94537,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.94509,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.94488,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.94449,RELEASE
Shamela098138.txt,0.94361,raw_ShamelaY19
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.94217,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.94204,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.94187,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.94184,RELEASE
Shamela026577.txt,0.94176,raw_ShamelaY19
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.9415,RELEASE
1325.json,0.94149,RAWrabicaShamAY1
33852.json,0.94141,RAWrabicaShamAY2
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.94082,RELEASE
Sham30K0044088,0.94071,RAWrabica030000
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.94057,RELEASE
Shamela026474.txt,0.94043,raw_ShamelaY19
33984.json,0.94027,RAWrabicaShamAY2
Shamela021476.txt,0.94008,raw_ShamelaY19
21476.bok.json,0.94001,RAWrabicaSham19Y
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.93972,RELEASE
38096.json,0.93968,RAWrabicaShamAY3
21570.bok.json,0.93963,RAWrabicaSham19Y
21476.json,0.93957,RAWrabicaShamAY2
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.9395,RELEASE
Shamela021570.txt,0.93918,raw_ShamelaY19
0498IbnMuhammadAbuBakrIsbahani.Juz.Shamela0013105-ara1,0.93873,RELEASE
21570.json,0.93858,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.93817,RELEASE
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.93812,RELEASE
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.93806,RELEASE
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.93777,RELEASE
Shamela026429.txt,0.93769,raw_ShamelaY19
26429.json,0.937,RAWrabicaShamAY2
0273IbnMaja.Sunan.Shamela0001198-ara1,0.9369,RELEASE
0408IbnCabdCazizTaymi.JuzHadith.Shamela0012852-ara1,0.93638,RELEASE
0408IbnCabdCazizTaymi.JuzHadith.Shamela0012852-ara1,0.93627,RELEASE
35229.json,0.93586,RAWrabicaShamAY3
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.93535,RELEASE
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.9352,RELEASE
32934.json,0.93519,RAWrabicaShamAY2
38139.json,0.93401,RAWrabicaShamAY3
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.93371,RELEASE
32784.json,0.93356,RAWrabicaShamAY2
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.9333,RELEASE
13175.bok.json,0.93321,RAWrabicaSham19Y
1405.json,0.93319,RAWrabicaShamAY1
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.93313,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.9331,RELEASE
26577.json,0.93305,RAWrabicaShamAY2
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.93284,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.93275,RELEASE
13175.json,0.93257,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.93246,RELEASE
38104.json,0.93224,RAWrabicaShamAY3
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.93216,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.93194,RELEASE
0369AbuShaykhIsbahani.Cawali.Shamela0026572-ara1,0.93103,RELEASE
0369AbuShaykhIsbahani.Cawali.Shamela0026572-ara1,0.931,RELEASE
0275AbuDawudSijistani.Marasil.Shamela0013063-ara1,0.93081,RELEASE
1271.json,0.9307,RAWrabicaShamAY1
0275AbuDawudSijistani.Marasil.JK000766-ara1,0.93047,RELEASE
13075.json,0.93036,RAWrabicaShamAY2
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.92981,RELEASE
33576.json,0.92949,RAWrabicaShamAY2
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.92901,RELEASE
1381.json,0.92895,RAWrabicaShamAY1
26572.json,0.92862,RAWrabicaShamAY2
32931.json,0.92851,RAWrabicaShamAY2
Shamela038194.txt,0.9285,raw_ShamelaY19
38094.json,0.92824,RAWrabicaShamAY3
0360Tabarani.Duca.ShamAY0033982-ara1,0.92797,RELEASE
0430AbuNucaymIsbahani.MustakhrajCalaSahihBukhari.ShamAY0038083-ara1,0.92792,RELEASE
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.92714,RELEASE
33982.json,0.92695,RAWrabicaShamAY2
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.9263,RELEASE
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.92607,RELEASE
13063.json,0.92597,RAWrabicaShamAY2
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.92593,RELEASE
