unknown,TFIDF_cosine,libVar
937.json,0.92848,RAW_ABLibrary
931.json,0.91181,RAW_ABLibrary
98.json,0.9077,RAW_ABLibrary
932.json,0.90752,RAW_ABLibrary
934.json,0.90362,RAW_ABLibrary
935.json,0.89827,RAW_ABLibrary
887.json,0.88785,RAW_ABLibrary
933.json,0.88268,RAW_ABLibrary
936.json,0.87912,RAW_ABLibrary
8355.json,0.87709,RAW_ABLibrary
7734.json,0.86534,RAW_ABLibrary
9769.json,0.85865,RAW_ABLibrary
8619.json,0.85654,RAW_ABLibrary
7899.json,0.85206,RAW_ABLibrary
86.json,0.84718,RAW_ABLibrary
882.json,0.84606,RAW_ABLibrary
7789.json,0.83985,RAW_ABLibrary
8333.json,0.83969,RAW_ABLibrary
85.json,0.83773,RAW_ABLibrary
7412.json,0.83187,RAW_ABLibrary
843.json,0.83085,RAW_ABLibrary
842.json,0.82968,RAW_ABLibrary
8572.json,0.82559,RAW_ABLibrary
815.json,0.82423,RAW_ABLibrary
7715.json,0.82211,RAW_ABLibrary
7705.json,0.81771,RAW_ABLibrary
7716.json,0.81701,RAW_ABLibrary
817.json,0.8157,RAW_ABLibrary
7774.json,0.81447,RAW_ABLibrary
9764.json,0.81444,RAW_ABLibrary
7717.json,0.81245,RAW_ABLibrary
7709.json,0.80904,RAW_ABLibrary
816.json,0.80805,RAW_ABLibrary
7391.json,0.80589,RAW_ABLibrary
7785.json,0.79496,RAW_ABLibrary
814.json,0.7929,RAW_ABLibrary
7721.json,0.79241,RAW_ABLibrary
7468.json,0.79023,RAW_ABLibrary
7702.json,0.78966,RAW_ABLibrary
7397.json,0.78883,RAW_ABLibrary
8777.json,0.78775,RAW_ABLibrary
8925.json,0.78462,RAW_ABLibrary
818.json,0.78437,RAW_ABLibrary
7629.json,0.78206,RAW_ABLibrary
7718.json,0.77965,RAW_ABLibrary
7609.json,0.77859,RAW_ABLibrary
7771.json,0.77743,RAW_ABLibrary
813.json,0.77221,RAW_ABLibrary
7444.json,0.76949,RAW_ABLibrary
9067.json,0.76834,RAW_ABLibrary
7608.json,0.7681,RAW_ABLibrary
7714.json,0.76693,RAW_ABLibrary
8923.json,0.76662,RAW_ABLibrary
7393.json,0.76587,RAW_ABLibrary
7487.json,0.76541,RAW_ABLibrary
7791.json,0.76247,RAW_ABLibrary
7719.json,0.75833,RAW_ABLibrary
7703.json,0.75672,RAW_ABLibrary
819.json,0.75576,RAW_ABLibrary
8331.json,0.753,RAW_ABLibrary
811.json,0.75294,RAW_ABLibrary
812.json,0.74912,RAW_ABLibrary
7821.json,0.74815,RAW_ABLibrary
7733.json,0.74621,RAW_ABLibrary
7730.json,0.74611,RAW_ABLibrary
7682.json,0.74297,RAW_ABLibrary
7486.json,0.74266,RAW_ABLibrary
9150.json,0.74246,RAW_ABLibrary
9359.json,0.74145,RAW_ABLibrary
7720.json,0.74024,RAW_ABLibrary
7728.json,0.73907,RAW_ABLibrary
7708.json,0.7369,RAW_ABLibrary
7610.json,0.73349,RAW_ABLibrary
7725.json,0.73306,RAW_ABLibrary
8427.json,0.7313,RAW_ABLibrary
95.json,0.7304,RAW_ABLibrary
8745.json,0.72865,RAW_ABLibrary
9152.json,0.72698,RAW_ABLibrary
7411.json,0.72686,RAW_ABLibrary
8921.json,0.72583,RAW_ABLibrary
7488.json,0.72563,RAW_ABLibrary
7790.json,0.72389,RAW_ABLibrary
7731.json,0.72341,RAW_ABLibrary
8922.json,0.7227,RAW_ABLibrary
7617.json,0.72265,RAW_ABLibrary
7724.json,0.72226,RAW_ABLibrary
7522.json,0.72158,RAW_ABLibrary
7713.json,0.72057,RAW_ABLibrary
7727.json,0.71983,RAW_ABLibrary
9012.json,0.71818,RAW_ABLibrary
761.json,0.71622,RAW_ABLibrary
741.json,0.71582,RAW_ABLibrary
7706.json,0.71528,RAW_ABLibrary
7723.json,0.71528,RAW_ABLibrary
91.json,0.71384,RAW_ABLibrary
7937.json,0.71361,RAW_ABLibrary
7685.json,0.71356,RAW_ABLibrary
8352.json,0.71305,RAW_ABLibrary
7732.json,0.71211,RAW_ABLibrary
7897.json,0.70821,RAW_ABLibrary
7738.json,0.70677,RAW_ABLibrary
8924.json,0.70666,RAW_ABLibrary
7704.json,0.70641,RAW_ABLibrary
7740.json,0.70598,RAW_ABLibrary
8716.json,0.70509,RAW_ABLibrary
7392.json,0.70407,RAW_ABLibrary
7628.json,0.70363,RAW_ABLibrary
7729.json,0.70245,RAW_ABLibrary
8997.json,0.70192,RAW_ABLibrary
7775.json,0.7017,RAW_ABLibrary
7466.json,0.70002,RAW_ABLibrary
746.json,0.69949,RAW_ABLibrary
9989.json,0.69887,RAW_ABLibrary
8247.json,0.69811,RAW_ABLibrary
8601.json,0.69782,RAW_ABLibrary
7736.json,0.69763,RAW_ABLibrary
9145.json,0.6964,RAW_ABLibrary
8377.json,0.6955,RAW_ABLibrary
7586.json,0.69436,RAW_ABLibrary
8407.json,0.69434,RAW_ABLibrary
9875.json,0.69427,RAW_ABLibrary
9151.json,0.69301,RAW_ABLibrary
7485.json,0.69059,RAW_ABLibrary
8978.json,0.69017,RAW_ABLibrary
9999.json,0.68857,RAW_ABLibrary
8971.json,0.68731,RAW_ABLibrary
