unknown,TFIDF_cosine,libVar
0381IbnBabawayh.Amali.Shia001134-ara1,0.97371,RELEASE
0413ShaykhMufid.Amali.Shia001299-ara1,0.91749,RELEASE
0460ShaykhTusi.Amali.Zaydiyya0000277-ara1,0.91434,RELEASE
0460ShaykhTusi.Amali.Shia001334-ara1,0.91292,RELEASE
001948.automARkdown,0.91241,RAW_Masaha
7705.json,0.91124,RAW_ABLibrary
003295.automARkdown,0.91076,RAW_Masaha
0380IbnIbrahimNucmani.Ghayba.Shia001281-ara1,0.91051,RELEASE
002336.automARkdown,0.90992,RAW_Masaha
3224.html,0.90948,RAWrabicaRafed
000698.automARkdown,0.90947,RAW_Masaha
0381IbnBabawayh.Khisal.Zaydiyya0000128-ara1,0.9088,RELEASE
7444.json,0.90691,RAW_ABLibrary
1271.html,0.90629,RAWrabicaRafed
000358Vols.automARkdown,0.90625,RAW_Masaha
0424AbuTalibYahyaHaruni.TaysirMatalib.Zaydiyya0000352-ara1,0.90561,RELEASE
0381IbnBabawayh.MacaniAkhbar.Shia001148-ara1,0.90452,RELEASE
0400IbnMuhammadKhazzaz.KifayatAthar.Shia001154-ara1,0.90443,RELEASE
7734.json,0.90366,RAW_ABLibrary
0525IbnCaliTabari.BisharatMustafa.Shia003692-ara1,0.90333,RELEASE
002185.automARkdown,0.90278,RAW_Masaha
0424AbuTalibYahyaHaruni.Amali.Zaydiyya0000229-ara1,0.90151,RELEASE
176.html,0.90026,RAWrabicaRafed
0400IbnJarirTabariSaghir.DalailImama.Shia001286-ara1,0.89913,RELEASE
002331.automARkdown,0.8982,RAW_Masaha
0568IbnAhmadKhwarazmiMakki.Manaqib.Shia003697-ara1,0.89673,RELEASE
2476.automARkdown,0.89644,RAW_Ghbook
004545Vols.automARkdown,0.89525,RAW_Masaha
003220Vols.automARkdown,0.89423,RAW_Masaha
7899.json,0.89407,RAW_ABLibrary
3608.html,0.89405,RAWrabicaRafed
000712.automARkdown,0.89247,RAW_Masaha
001952.automARkdown,0.89141,RAW_Masaha
7789.json,0.89134,RAW_ABLibrary
7709.json,0.89132,RAW_ABLibrary
002070.automARkdown,0.89121,RAW_Masaha
2773.html,0.89115,RAWrabicaRafed
001944.automARkdown,0.89069,RAW_Masaha
0381IbnBabawayh.Tawhid.Shia001136-ara1,0.88749,RELEASE
0381IbnBabawayh.Khisal.Shia001137-ara1,0.88734,RELEASE
3606.html,0.88679,RAWrabicaRafed
3743.html,0.88483,RAWrabicaRafed
002871.automARkdown,0.88332,RAW_Masaha
002493.automARkdown,0.88242,RAW_Masaha
0362AbuFarajIsbahani.MaqatilTalibiyyin.Shia001277-ara1,0.88164,RELEASE
000221.automARkdown,0.88064,RAW_Masaha
Shia003692,0.88053,RAWrabica045000
0333IbnCuqdahKufi.FadailAmirMuminin.Shia003683-ara1,0.8805,RELEASE
002306Vols.automARkdown,0.87844,RAW_Masaha
0362AbuFarajIsbahani.MaqatilTalibiyyin.Zaydiyya0000224-ara1,0.87822,RELEASE
001833.automARkdown,0.87816,RAW_Masaha
7785.json,0.87784,RAW_ABLibrary
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.87772,RELEASE
0381IbnBabawayh.CilalSharaic.Shia001140Vols-ara1,0.87646,RELEASE
002338.automARkdown,0.87634,RAW_Masaha
000702.automARkdown,0.87546,RAW_Masaha
Shamela026456.txt,0.87539,raw_ShamelaY19
79.json,0.87523,RAWrabicaShamAY1
0381IbnBabawayh.CilalSharaic.Zaydiyya0000192-ara1,0.87448,RELEASE
0290IbnHasanSaffar.BasairDarajat.Shia001117-ara1,0.87429,RELEASE
0380IbnIbrahimNucmani.Ghayba.Zaydiyya0000198-ara1,0.87429,RELEASE
002367.automARkdown,0.87393,RAW_Masaha
002984.automARkdown,0.87367,RAW_Masaha
3612.html,0.87357,RAWrabicaRafed
004652Vols.automARkdown,0.87275,RAW_Masaha
3611.html,0.8724,RAWrabicaRafed
0362AbuFarajIsbahani.MaqatilTalibiyyin.JK010351-ara1,0.87216,RELEASE
3610.html,0.87212,RAWrabicaRafed
002304Vols.automARkdown,0.87193,RAW_Masaha
0362AbuFarajIsbahani.MaqatilTalibiyyin.Shamela0012404-ara1,0.87168,RELEASE
0290IbnHasanSaffar.BasairDarajat.Zaydiyya0000179-ara1,0.87167,RELEASE
16363.automARkdown,0.87141,RAW_Ghbook
270.html,0.87127,RAWrabicaRafed
12404.bok.json,0.8707,RAWrabicaSham19Y
1815.html,0.86987,RAWrabicaRafed
Shia004341,0.86951,RAWrabica045000
002473.automARkdown,0.86928,RAW_Masaha
12404.json,0.8687,RAWrabicaShamAY2
3228.html,0.86866,RAWrabicaRafed
Shia003697,0.86864,RAWrabica045000
7393.json,0.86839,RAW_ABLibrary
7412.json,0.86836,RAW_ABLibrary
2517.html,0.86578,RAWrabicaRafed
0300IbnSulaymanKufi.ManaqibImam.Zaydiyya0000150-ara1,0.86554,RELEASE
0300IbnSulaymanKufi.ManaqibImam.Shia001273Vols-ara1,0.86491,RELEASE
737.html,0.86486,RAWrabicaRafed
003218Vols.automARkdown,0.86468,RAW_Masaha
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.86456,RELEASE
15627.automARkdown,0.86374,RAW_Ghbook
000705Vols.automARkdown,0.86336,RAW_Masaha
0458Bayhaqi.FadailAwqat.Shia002106-ara1,0.86198,RELEASE
1254.html,0.86134,RAWrabicaRafed
2403.automARkdown,0.86125,RAW_Ghbook
7715.json,0.86109,RAW_ABLibrary
7717.json,0.86064,RAW_ABLibrary
7774.json,0.86059,RAW_ABLibrary
9683.automARkdown,0.86004,RAW_Ghbook
Shia004030Vols,0.85895,RAWrabica045000
7391.json,0.8587,RAW_ABLibrary
002869.automARkdown,0.85662,RAW_Masaha
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.8562,RELEASE
0381IbnBabawayh.ThawabAcmal.Shia001138BK1-ara1,0.85612,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.85599,RELEASE
004533.automARkdown,0.85591,RAW_Masaha
931.json,0.85586,RAW_ABLibrary
797.automARkdown,0.85575,RAW_Ghbook
0279Baladhuri.AnsabAshraf.Shia003425-ara1,0.85499,RELEASE
0458AbuYaclaIbnFarra.Amali.Shamela0026579-ara1,0.85431,RELEASE
3214.html,0.85425,RAWrabicaRafed
3607.html,0.85389,RAWrabicaRafed
Shamela151099.txt,0.85377,raw_ShamelaY19
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.85376,RELEASE
7629.json,0.85374,RAW_ABLibrary
2853.html,0.85313,RAWrabicaRafed
2922.html,0.85297,RAWrabicaRafed
Shia003683,0.8529,RAWrabica045000
Shamela026579.txt,0.85285,raw_ShamelaY19
002479.automARkdown,0.85279,RAW_Masaha
1330.json,0.85279,RAWrabicaShamAY1
411.html,0.85233,RAWrabicaRafed
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.85219,RELEASE
16317.automARkdown,0.85191,RAW_Ghbook
38163.json,0.85155,RAWrabicaShamAY3
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.85136,RELEASE
000359Vols.automARkdown,0.85118,RAW_Masaha
Shamela026842.txt,0.85076,raw_ShamelaY19
0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,0.8506,RELEASE
7610.json,0.85052,RAW_ABLibrary
0306Wakic.AkhbarQudat.Shamela0000150-ara1,0.85051,RELEASE
0401IbnSaburZayyat.TibbAimma.Shia001288-ara1,0.85049,RELEASE
0463IbnCabdBarr.IsticabFiMacrifatAshab.Shamela0012288-ara1,0.85013,RELEASE
32968.json,0.85006,RAWrabicaShamAY2
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.84997,RELEASE
Shamela122397.txt,0.84993,raw_ShamelaY19
0430MuwaffaqHusaynJurjani.Ictibar.Zaydiyya0000013-ara1,0.84982,RELEASE
0413ShaykhMufid.Ikhtisas.Shia001300-ara1,0.84973,RELEASE
