unknown,TFIDF_cosine,libVar
0382IbnCabdAllahCaskari.JamharatAmthal.Shamela0006897-ara1,0.99924,RELEASE
6897.json,0.9992,RAWrabicaShamAY1
0382IbnCabdAllahCaskari.JamharatAmthal.JK010560-ara1,0.97312,RELEASE
0518IbnMuhammadMaydaniNaysaburi.MucjamAmthal.Shamela0012929-ara1,0.82584,RELEASE
0518IbnMuhammadMaydaniNaysaburi.MucjamAmthal.JK000882-ara1,0.82383,RELEASE
12929.json,0.8198,RAWrabicaShamAY2
0290AbuTalibIbnSalama.Fakhir.Shamela0009236-ara1,0.80912,RELEASE
9236.json,0.80443,RAWrabicaShamAY1
7414.json,0.7994,RAWrabicaShamAY1
7414.bok.json,0.79877,RAWrabicaSham19Y
Sham30K0033824,0.79238,RAWrabica020000
819.json,0.78569,RAWrabicaShamAY1
Shamela036072.txt,0.78411,raw_ShamelaY19
0487AbuCubaydBakri.FaslMaqal.Shamela0001025-ara1,0.78009,RELEASE
1349.json,0.7774,RAWrabicaShamAY1
0487AbuCubaydBakri.FaslMaqal.JK000974-ara1,0.77603,RELEASE
6895.json,0.77434,RAWrabicaShamAY1
0436SharifMurtada.Amali.Shia001326Vols-ara1,0.77384,RELEASE
0538JarAllahZamakhshari.MustaqsaFiAmthal.JK000975-ara1,0.77367,RELEASE
0538JarAllahZamakhshari.MustaqsaFiAmthal.Shamela0006895-ara1,0.77365,RELEASE
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.77318,RELEASE
34519.json,0.77159,RAWrabicaShamAY3
6909.json,0.77079,RAWrabicaShamAY1
0395AbuHilalCaskari.DiwanMacani.JK006921-ara1,0.77042,RELEASE
0395AbuHilalCaskari.DiwanMacani.Shamela0006909-ara1,0.77031,RELEASE
Sham30K0033843,0.76929,RAWrabica020000
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.76693,RELEASE
824.json,0.76669,RAW_ABLibrary
002985Vols.automARkdown,0.76587,RAW_Masaha
0395AbuHilalCaskari.Sinacatayn.Shamela0023787-ara1,0.76566,RELEASE
Sham30K0039083,0.76527,RAWrabica025000
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.76472,RELEASE
003390Vols.automARkdown,0.76471,RAW_Masaha
0395AbuHilalCaskari.Sinacatayn.JK006910-ara1,0.76446,RELEASE
Shamela023787.txt,0.76353,raw_ShamelaY19
002334.automARkdown,0.76309,RAW_Masaha
10511.json,0.76288,RAWrabicaShamAY1
Shamela023789.txt,0.76276,raw_ShamelaY19
26423.bok.json,0.76247,RAWrabicaSham19Y
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.7624,RELEASE
0414AbuHayyanTawhidi.Basair.Shamela0026423-ara1,0.76238,RELEASE
0414AbuHayyanTawhidi.Basair.JK009288-ara1,0.76222,RELEASE
1587.json,0.76214,RAWrabicaShamAY1
10511.bok.json,0.76201,RAWrabicaSham19Y
1025.json,0.7617,RAWrabicaShamAY1
0540AbuMansurJawaliqi.SharhAdabKatib.Shamela0001587-ara1,0.76169,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.76167,RELEASE
Shamela026423.txt,0.76161,raw_ShamelaY19
23787.json,0.76147,RAWrabicaShamAY2
7903.json,0.76132,RAW_ABLibrary
23789.json,0.76104,RAWrabicaShamAY2
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.76029,RELEASE
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.75929,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.75903,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.75903,RELEASE
Sham30K0033834,0.75896,RAWrabica020000
26423.json,0.75881,RAWrabicaShamAY2
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.75867,RELEASE
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.75846,RELEASE
0285IbnYazidMubarrad.KamilFiLugha.ShamIbadiyya0000642-ara1,0.75826,RELEASE
629.json,0.75808,RAWrabicaShamAY1
0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1,0.75787,RELEASE
5683.json,0.75766,RAWrabicaShamAY1
0629.bok.json,0.75735,RAWrabicaSham19Y
0255Jahiz.Bukhala.JK009201-ara1,0.75726,RELEASE
Shamela020937.txt,0.757,raw_ShamelaY19
0429AbuMansurThacalibi.Tamthil.JK010529-ara1,0.75683,RELEASE
0255Jahiz.Bukhala.JK007061-ara1,0.75683,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.75681,RELEASE
5683.bok.json,0.75673,RAWrabicaSham19Y
0255Jahiz.Bukhala.Shamela0010501-ara1,0.75622,RELEASE
003363Vols.automARkdown,0.75615,RAW_Masaha
9078.json,0.756,RAWrabicaShamAY1
8505.json,0.75596,RAWrabicaShamAY1
5448.json,0.75582,RAWrabicaShamAY1
33801.json,0.75563,RAWrabicaShamAY2
33779.json,0.75559,RAWrabicaShamAY2
8505.bok.json,0.75538,RAWrabicaSham19Y
0502RaghibIsbahani.MuhadaratUdaba.JK006919-ara1,0.75512,RELEASE
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.75478,RELEASE
0502RaghibIsbahani.MuhadaratUdaba.Shamela0009078-ara1,0.75474,RELEASE
0429AbuMansurThacalibi.ThimarQulub.Shamela0006896-ara1,0.75341,RELEASE
0429AbuMansurThacalibi.ThimarQulub.JK000982-ara1,0.75337,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.75288,RELEASE
10768.bok.json,0.75272,RAWrabicaSham19Y
0285IbnYazidMubarrad.KamilFiLugha.Zaydiyya0000578-ara1,0.75194,RELEASE
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.75126,RELEASE
10614.json,0.75093,RAWrabicaShamAY1
33781.json,0.75086,RAWrabicaShamAY2
10501.json,0.75082,RAWrabicaShamAY1
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0.75048,RELEASE
10501.bok.json,0.75005,RAWrabicaSham19Y
Sham30K0033802,0.75005,RAWrabica020000
32557.json,0.74997,RAWrabicaShamAY2
32581.json,0.74977,RAWrabicaShamAY2
003365Vols.automARkdown,0.7495,RAW_Masaha
10768.json,0.74889,RAWrabicaShamAY2
12005.json,0.74799,RAWrabicaShamAY2
0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0.74783,RELEASE
003492Vols.automARkdown,0.74776,RAW_Masaha
0255Jahiz.Hayawan.JK007068-ara1,0.74749,RELEASE
002790Vols.automARkdown,0.74745,RAW_Masaha
10668.json,0.74708,RAWrabicaShamAY1
0255Jahiz.Hayawan.ShamAY0033772-ara1,0.74692,RELEASE
1585.json,0.74654,RAWrabicaShamAY1
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.74636,RELEASE
0453AbuIshaqHusri.ZuhrAdab.JK009230-ara1,0.74632,RELEASE
0538JarAllahZamakhshari.RabicAbrar.Shamela0010668-ara1,0.7462,RELEASE
Shamela023802.txt,0.74604,raw_ShamelaY19
7240.json,0.74588,RAWrabicaShamAY1
0463IbnRashiqQayrawani.CumdaFiMahasinShicr.Shamela0010909-ara1,0.74579,RELEASE
0463IbnRashiqQayrawani.CumdaFiMahasinShicr.JK010637-ara1,0.74576,RELEASE
563.json,0.7456,RAWrabicaShamAY1
0520IbnMuhammadTurtushi.SirajMuluk.Shamela0001585-ara1,0.74555,RELEASE
0520IbnMuhammadTurtushi.SirajMuluk.JK010572-ara2,0.74554,RELEASE
473.json,0.74549,RAWrabicaShamAY1
558.json,0.74494,RAWrabicaShamAY1
809.json,0.74493,RAW_ABLibrary
0538JarAllahZamakhshari.FaiqFiGharib.Shia002170Vols-ara1,0.74488,RELEASE
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.74485,RELEASE
