unknown,TFIDF_cosine,libVar
32827.json,0.98275,RAWrabicaShamAY2
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.86079,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.85907,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.85899,RELEASE
0463KhatibBaghdadi.IqtidaCilmCamal.Shamela0012985-ara1,0.85242,RELEASE
0463KhatibBaghdadi.IqtidaCilmCamal.Shamela0012985-ara1,0.85235,RELEASE
0463KhatibBaghdadi.IqtidaCilmCamal.JK000607-ara1,0.85014,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.85005,RELEASE
0463KhatibBaghdadi.IqtidaCilmCamal.Shia002116-ara1,0.84748,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.84701,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.84656,RELEASE
Shia002158,0.84622,RAWrabica040000
13055.json,0.84492,RAWrabicaShamAY2
4182.json,0.84161,RAWrabicaShamAY1
12985.json,0.84146,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.84069,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.83869,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.Shamela0013020-ara1,0.83844,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.83504,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.83429,RELEASE
0643DiyaDinMuqaddasi.MuntaqaMinMasmucatMarw.Shamela0021635-ara1,0.83409,RELEASE
Shamela021635.txt,0.83339,raw_ShamelaY19
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.83034,RELEASE
0458Bayhaqi.ZuhdKabir.JK001288-ara1,0.82745,RELEASE
004135Vols.automARkdown,0.82737,RAW_Masaha
0458Bayhaqi.ZuhdKabir.JK001288-ara1,0.82717,RELEASE
0334IbnSacidQushayri.TarikhRaqqa.Shamela0026383-ara1,0.82711,RELEASE
13020.json,0.82692,RAWrabicaShamAY2
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.82678,RELEASE
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.82649,RELEASE
0334IbnSacidQushayri.TarikhRaqqa.Shamela0026383-ara1,0.82607,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.82567,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.8253,RELEASE
Shamela026383.txt,0.82528,raw_ShamelaY19
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.82497,RELEASE
8981.json,0.82496,RAW_ABLibrary
2251.html,0.82484,RAWrabicaRafed
13059.json,0.82361,RAWrabicaShamAY2
Sham30K0038797,0.8235,RAWrabica025000
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.82292,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.JK000727-ara1,0.82261,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shamela0013179-ara1,0.82258,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.82249,RELEASE
21635.json,0.82215,RAWrabicaShamAY2
0460IbnFadlIsbahani.Amali.Shamela0021664-ara1,0.82203,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.82185,RELEASE
