unknown,TFIDF_cosine,libVar
13038.json,0.98366,RAWrabicaShamAY2
0385Daraqutni.Sifat.Shamela0011331-ara2,0.96772,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.92238,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.92231,RELEASE
Sham30K0008209,0.92231,RAWrabica010000
8243.json,0.92172,RAWrabicaShamAY1
Sham30K0008243,0.92156,RAWrabica010000
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.92124,RELEASE
8209.json,0.921,RAWrabicaShamAY1
1225.json,0.91942,RAWrabicaShamAY1
34002.json,0.9191,RAWrabicaShamAY2
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.91866,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.91853,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.91836,RELEASE
1453.json,0.91816,RAWrabicaShamAY1
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.91741,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.91738,RELEASE
32781.json,0.91682,RAWrabicaShamAY2
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.91676,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.9163,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.91619,RELEASE
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.91583,RELEASE
31639.json,0.91563,RAWrabicaShamAY2
32749.json,0.91554,RAWrabicaShamAY2
33948.json,0.91552,RAWrabicaShamAY2
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.91452,RELEASE
Sham30K0008237,0.91409,RAWrabica010000
13147.json,0.91403,RAWrabicaShamAY2
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.91385,RELEASE
32927.json,0.9134,RAWrabicaShamAY2
0360Tabarani.MusnadShamiyyin.Shamela0013162-ara1,0.91337,RELEASE
13162.bok.json,0.91311,RAWrabicaSham19Y
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.91292,RELEASE
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.91292,RELEASE
0273IbnMaja.Sunan.JK000141-ara1,0.91273,RELEASE
0360Tabarani.MusnadShamiyyin.JK000478-ara1,0.91263,RELEASE
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.91238,RELEASE
0360Tabarani.MusnadShamiyyin.Shia002069Vols-ara1,0.91229,RELEASE
Shamela029746.txt,0.91204,raw_ShamelaY19
0405HakimNaysaburi.Mustadrak.JK000467-ara1,0.91169,RELEASE
1733.json,0.91159,RAWrabicaShamAY1
13162.json,0.91132,RAWrabicaShamAY2
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.91122,RELEASE
12842.json,0.91118,RAWrabicaShamAY2
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.9108,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.91072,RELEASE
10490.json,0.91045,RAWrabicaShamAY1
10492.json,0.91014,RAWrabicaShamAY1
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.9099,RELEASE
0360Tabarani.Duca.Shamela0013016-ara1,0.90983,RELEASE
1714.json,0.90974,RAWrabicaShamAY1
Shamela029942.txt,0.90968,raw_ShamelaY19
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.90958,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90958,RELEASE
35235.json,0.90945,RAWrabicaShamAY3
0360Tabarani.MucjamKabir.JK000474-ara1,0.9092,RELEASE
2266.json,0.90916,RAWrabicaShamAY1
0360Tabarani.Duca.JK000675-ara1,0.90915,RELEASE
0360Tabarani.Duca.Shia002067-ara1,0.90889,RELEASE
