unknown,TFIDF_cosine,libVar
26517.json,0.99953,RAWrabicaShamAY2
Shamela026517.txt,0.99856,raw_ShamelaY19
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.94625,RELEASE
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.94614,RELEASE
Shamela026429.txt,0.94562,raw_ShamelaY19
26429.json,0.94524,RAWrabicaShamAY2
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.94481,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.94474,RELEASE
21476.bok.json,0.94453,RAWrabicaSham19Y
Shamela021476.txt,0.94427,raw_ShamelaY19
0371AhmadJurjani.Mucjam.JK000760-ara1,0.94417,RELEASE
35229.json,0.94395,RAWrabicaShamAY3
21476.json,0.94391,RAWrabicaShamAY2
1271.json,0.93877,RAWrabicaShamAY1
38094.json,0.93853,RAWrabicaShamAY3
Sham30K0039018,0.93736,RAWrabica025000
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.93716,RELEASE
9595.bok.json,0.93696,RAWrabicaSham19Y
9595.json,0.9368,RAWrabicaShamAY1
Sham30K0038957,0.93643,RAWrabica025000
1401.json,0.93628,RAWrabicaShamAY1
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.93521,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.93452,RELEASE
1325.json,0.93408,RAWrabicaShamAY1
Shamela026474.txt,0.93405,raw_ShamelaY19
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.93363,RELEASE
33567.json,0.93356,RAWrabicaShamAY2
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.9333,RELEASE
Sham30K0044088,0.93316,RAWrabica030000
38096.json,0.9324,RAWrabicaShamAY3
32931.json,0.9323,RAWrabicaShamAY2
0385IbnShahin.Fawaid.Shamela0022418-ara1,0.93228,RELEASE
Shamela022418.txt,0.93213,raw_ShamelaY19
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.93198,RELEASE
0430AbuNucaymIsbahani.ArbacunaCalaMadhhabMutahaqqiqin.Shamela0008246-ara1,0.93186,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.93131,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.93127,RELEASE
38139.json,0.93105,RAWrabicaShamAY3
Shamela098138.txt,0.93105,raw_ShamelaY19
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.93103,RELEASE
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.93056,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.92965,RELEASE
32784.json,0.92942,RAWrabicaShamAY2
33959.json,0.92892,RAWrabicaShamAY2
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.92859,RELEASE
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.92835,RELEASE
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.92785,RELEASE
Shamela021485.txt,0.92785,raw_ShamelaY19
Sham30K0008246,0.92733,RAWrabica010000
26564.bok.json,0.92729,RAWrabicaSham19Y
