unknown,TFIDF_cosine,libVar
0385IbnShahin.SharhMadhahib.Shamela0013124-ara1,0.97836,RELEASE
0385IbnShahin.SharhMadhahib.JK001143-ara1,0.97234,RELEASE
13124.json,0.97231,RAWrabicaShamAY2
Sham30K0008237,0.95218,RAWrabica010000
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.95053,RELEASE
8237.json,0.94995,RAWrabicaShamAY1
0430AbuNucaymIsbahani.FadailKhulafaRashidin.JK011558-ara1,0.94906,RELEASE
1225.json,0.94739,RAWrabicaShamAY1
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.94615,RELEASE
1733.json,0.93997,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.93871,RELEASE
10490.json,0.93839,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.JK000474-ara1,0.93809,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.93708,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.93675,RELEASE
0360Tabarani.MucjamKabir.Shia002045Vols-ara1,0.93565,RELEASE
Sham30K0008209,0.93438,RAWrabica010000
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.93335,RELEASE
8209.json,0.93308,RAWrabicaShamAY1
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.93306,RELEASE
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.93145,RELEASE
34002.json,0.93113,RAWrabicaShamAY2
004135Vols.automARkdown,0.93103,RAW_Masaha
32927.json,0.93093,RAWrabicaShamAY2
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.9307,RELEASE
1714.json,0.93068,RAWrabicaShamAY1
13059.json,0.9306,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.92902,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.92857,RELEASE
Sham30K0008243,0.92771,RAWrabica010000
8982.json,0.92767,RAW_ABLibrary
8243.json,0.92759,RAWrabicaShamAY1
2253.html,0.92661,RAWrabicaRafed
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.92645,RELEASE
0405HakimNaysaburi.Mustadrak.JK000467-ara1,0.92607,RELEASE
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.92605,RELEASE
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.92601,RELEASE
32781.json,0.92568,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.92566,RELEASE
Shia002045Vols,0.92506,RAWrabica040000
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.92476,RELEASE
Shamela026884.txt,0.92449,raw_ShamelaY19
2266.json,0.92426,RAWrabicaShamAY1
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.92388,RELEASE
33948.json,0.92355,RAWrabicaShamAY2
0327AbuBakrKharaiti.MasawiAkhlaq.JK011598-ara1,0.9233,RELEASE
26884.json,0.92311,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.92298,RELEASE
1453.json,0.92231,RAWrabicaShamAY1
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.92218,RELEASE
35235.json,0.92181,RAWrabicaShamAY3
0360Tabarani.MusnadShamiyyin.JK000478-ara1,0.92167,RELEASE
0360Tabarani.MusnadShamiyyin.Shia002069Vols-ara1,0.92164,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.92161,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.92109,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.92055,RELEASE
13162.bok.json,0.92045,RAWrabicaSham19Y
12842.json,0.92041,RAWrabicaShamAY2
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.92027,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.92012,RELEASE
0360Tabarani.MusnadShamiyyin.Shamela0013162-ara1,0.92005,RELEASE
0430AbuNucaymIsbahani.TathbitImama.JK011454-ara1,0.91966,RELEASE
13147.json,0.91937,RAWrabicaShamAY2
0465IbnMuhtadi.Juz.ShamAY0035235-ara1,0.91926,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.91903,RELEASE
13162.json,0.91901,RAWrabicaShamAY2
Shamela026878.txt,0.91891,raw_ShamelaY19
33945.json,0.91839,RAWrabicaShamAY2
31639.json,0.91813,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.91803,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.91798,RELEASE
Shamela029911.txt,0.91777,raw_ShamelaY19
26878.json,0.91733,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.Shia001750Vols-ara1,0.91726,RELEASE
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.91715,RELEASE
13146.bok.json,0.91702,RAWrabicaSham19Y
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.91681,RELEASE
0443IbnCaliBasri.HadithMalik.Shamela0021696-ara1,0.91657,RELEASE
0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida.JK009185-ara1,0.91647,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shamela0013146-ara1,0.91627,RELEASE
29911.json,0.91616,RAWrabicaShamAY2
0439IbnMuhammadKhallal.Amali.Shamela0009311-ara1,0.91572,RELEASE
Shamela029976.txt,0.91553,raw_ShamelaY19
Shamela021696.txt,0.91545,raw_ShamelaY19
13146.json,0.91543,RAWrabicaShamAY2
8981.json,0.91531,RAW_ABLibrary
0360Tabarani.MucjamKabir.Shamela0001353-ara1,0.91515,RELEASE
8233.json,0.91498,RAWrabicaShamAY1
Sham30K0008233,0.91485,RAWrabica010000
9311.json,0.91463,RAWrabicaShamAY1
Shamela029942.txt,0.91412,raw_ShamelaY19
5562.json,0.91388,RAWrabicaShamAY1
0393AbuTahirMukhallis.SabcatMajalis.Shamela0008233-ara1,0.91385,RELEASE
32924.json,0.91344,RAWrabicaShamAY2
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.91322,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.91311,RELEASE
2251.html,0.91306,RAWrabicaRafed
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.91293,RELEASE
5562.bok.json,0.91293,RAWrabicaSham19Y
0360Tabarani.Duca.Shamela0013016-ara1,0.91268,RELEASE
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.Shamela0005562-ara1,0.91259,RELEASE
Shia003488Vols,0.91257,RAWrabica045000
0360Tabarani.Duca.Shia002067-ara1,0.91257,RELEASE
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,0.91249,RELEASE
0273IbnMaja.Sunan.JK000141-ara1,0.91226,RELEASE
0360Tabarani.Duca.JK000675-ara1,0.91226,RELEASE
Shamela021635.txt,0.91213,raw_ShamelaY19
32841.json,0.91211,RAWrabicaShamAY2
10494.json,0.9121,RAWrabicaShamAY1
13016.json,0.91205,RAWrabicaShamAY2
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.91194,RELEASE
0344IbnSammak.Fawaid.Shamela0029940-ara1,0.91185,RELEASE
Shamela029746.txt,0.91156,raw_ShamelaY19
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.91126,RELEASE
21635.json,0.91117,RAWrabicaShamAY2
0386IbnCumarHarbi.Harbiyyat.Shamela0010494-ara1,0.91116,RELEASE
Shamela131336.txt,0.91116,raw_ShamelaY19
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.91107,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.91022,RELEASE
21696.json,0.91021,RAWrabicaShamAY2
Shamela029747.txt,0.91005,raw_ShamelaY19
1377.json,0.9098,RAWrabicaShamAY1
0439IbnMuhammadKhallal.FadailSuratIkhlas.Shamela0013138-ara1,0.90968,RELEASE
38063.json,0.90954,RAWrabicaShamAY3
29976.bok.json,0.90949,RAWrabicaSham19Y
9886.json,0.90946,RAWrabicaShamAY1
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.90944,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.90943,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.JK000600-ara1,0.90936,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.90932,RELEASE
13055.json,0.90922,RAWrabicaShamAY2
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.90911,RELEASE
4182.json,0.9089,RAWrabicaShamAY1
32749.json,0.90869,RAWrabicaShamAY2
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.90827,RELEASE
0430AbuNucaymIsbahani.HilyatAwliya.JK000022-ara1,0.90827,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.90776,RELEASE
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.90763,RELEASE
32761.json,0.9076,RAWrabicaShamAY2
Sham30K0044098,0.90751,RAWrabica030000
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.90751,RELEASE
0446AbuYaclaKhalili.Fawaid.Shamela0008240-ara1,0.9073,RELEASE
29747.json,0.90725,RAWrabicaShamAY2
Shamela029940.txt,0.90715,raw_ShamelaY19
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.90696,RELEASE
0485NizamMulkWazir.Amali.Shamela0009608-ara1,0.90682,RELEASE
9324.bok.json,0.90671,RAWrabicaSham19Y
13163.json,0.9066,RAWrabicaShamAY2
9324.json,0.90633,RAWrabicaShamAY1
0439IbnMuhammadKhallal.FadailSuratIkhlas.JK001026-ara1,0.90627,RELEASE
Shamela026921.txt,0.90626,raw_ShamelaY19
0430AbuNucaymIsbahani.MuntakhabMinShucara.Shamela0027105-ara1,0.90614,RELEASE
29942.bok.json,0.90602,RAWrabicaSham19Y
1375.json,0.90584,RAWrabicaShamAY1
Shia002067,0.90583,RAWrabica040000
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.90577,RELEASE
0439IbnMuhammadKhallal.Amali.JK011420-ara1,0.90551,RELEASE
Shamela027105.txt,0.90549,raw_ShamelaY19
0458Bayhaqi.SunanKubra.JK000484-ara1,0.90513,RELEASE
0550IbnCamrSamani.SahaifIthnaCashar.ShamAY0032761-ara1,0.90511,RELEASE
5803.json,0.90486,RAWrabicaShamAY1
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.90478,RELEASE
0360Tabarani.MakarimAkhlaq.JK011642-ara1,0.90468,RELEASE
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.90463,RELEASE
32757.json,0.90452,RAWrabicaShamAY2
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.90452,RELEASE
10492.json,0.90451,RAWrabicaShamAY1
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029984-ara1,0.90412,RELEASE
29746.json,0.90411,RAWrabicaShamAY2
0418AbuMansurIsfahani.Arbacuna.ShamAY0032757-ara1,0.90393,RELEASE
31640.json,0.90355,RAWrabicaShamAY2
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.90345,RELEASE
29942.json,0.90331,RAWrabicaShamAY2
0578IbnBashkuwal.GhawamidAsma.JK000726-ara1,0.90329,RELEASE
0458Bayhaqi.SunanKubra.Shia001754Vols-ara1,0.90305,RELEASE
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.90282,RELEASE
32946.json,0.90258,RAWrabicaShamAY2
0488AbuFadlIbnKhayrun.FawaidCawali.ShamAY0032946-ara1,0.90221,RELEASE
Shamela029734.txt,0.9021,raw_ShamelaY19
12992.json,0.9019,RAWrabicaShamAY2
Sham30K0038952,0.90189,RAWrabica025000
0458Bayhaqi.MadkhalIlaSunanKubra.Shamela0013061-ara1,0.90179,RELEASE
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.90165,RELEASE
32848.json,0.90165,RAWrabicaShamAY2
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.90161,RELEASE
0405HakimNaysaburi.Mustadrak.Shamela0002266-ara1,0.90159,RELEASE
27105.json,0.90153,RAWrabicaShamAY2
32885.json,0.90144,RAWrabicaShamAY2
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.90112,RELEASE
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.90104,RELEASE
0430AbuNucaymIsbahani.SifatJanna.JK009155-ara1,0.901,RELEASE
26665.json,0.90068,RAWrabicaShamAY2
0310IbnAhmadDulabi.KunaWaAsma.Shamela0013056-ara1,0.90058,RELEASE
Shamela029984.txt,0.90058,raw_ShamelaY19
0576AbuTahirSilafi.Hadith.ShamAY0038063-ara1,0.90057,RELEASE
0392IbnAbiShurayhHarawi.AhathidMia.Shamela0029734-ara1,0.90052,RELEASE
13056.json,0.9004,RAWrabicaShamAY2
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.90031,RELEASE
Shamela030586.txt,0.90002,raw_ShamelaY19
0310IbnAhmadDulabi.KunaWaAsma.JK007016-ara1,0.89984,RELEASE
13061.json,0.89961,RAWrabicaShamAY2
Shamela021703.txt,0.89961,raw_ShamelaY19
32840.json,0.89953,RAWrabicaShamAY2
Shamela026665.txt,0.8994,raw_ShamelaY19
Shamela021602.txt,0.8994,raw_ShamelaY19
0489IbnFadlIsbahani.FawaidCawali.ShamAY0032848-ara1,0.89939,RELEASE
0420IbnMuhammadDimashqi.ArbacunaBuldaniyya.Shamela0030586-ara1,0.89933,RELEASE
Shamela030609.txt,0.8993,raw_ShamelaY19
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.89916,RELEASE
