unknown,TFIDF_cosine,libVar
21476.json,0.99992,RAWrabicaShamAY2
Shamela021476.txt,0.99991,raw_ShamelaY19
21476.bok.json,0.99983,RAWrabicaSham19Y
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.97586,RELEASE
38096.json,0.97531,RAWrabicaShamAY3
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.97076,RELEASE
Shamela026429.txt,0.97072,raw_ShamelaY19
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.9706,RELEASE
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.97055,RELEASE
9595.json,0.97051,RAWrabicaShamAY1
9595.bok.json,0.97045,RAWrabicaSham19Y
26429.json,0.97029,RAWrabicaShamAY2
35229.json,0.96874,RAWrabicaShamAY3
38094.json,0.96862,RAWrabicaShamAY3
Sham30K0039018,0.96815,RAWrabica025000
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.96736,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.96736,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.96714,RELEASE
Sham30K0038957,0.96672,RAWrabica025000
1401.json,0.96649,RAWrabicaShamAY1
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.96475,RELEASE
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.96461,RELEASE
38139.json,0.96288,RAWrabicaShamAY3
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.96241,RELEASE
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.96235,RELEASE
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.96202,RELEASE
33567.json,0.96166,RAWrabicaShamAY2
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.9605,RELEASE
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.96014,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.95979,RELEASE
26564.json,0.95974,RAWrabicaShamAY2
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.95963,RELEASE
0360Tabarani.Duca.ShamAY0033982-ara1,0.95946,RELEASE
1271.json,0.95938,RAWrabicaShamAY1
26564.bok.json,0.95918,RAWrabicaSham19Y
33982.json,0.95906,RAWrabicaShamAY2
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.95905,RELEASE
Shamela026564.txt,0.95888,raw_ShamelaY19
1325.json,0.95853,RAWrabicaShamAY1
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.95852,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.95845,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.95837,RELEASE
