unknown,TFIDF_cosine,libVar
8430.json,0.65877,RAW_ABLibrary
6392.json,0.65059,RAWrabicaShamAY1
Shamela020643.txt,0.6495,raw_ShamelaY19
6854.json,0.64861,RAWrabicaShamAY1
33867.json,0.6475,RAWrabicaShamAY2
8506.json,0.64473,RAWrabicaShamAY1
1238.json,0.64377,RAWrabicaShamAY1
38316.json,0.64238,RAWrabicaShamAY3
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.64191,RELEASE
1658.html,0.63893,RAWrabicaRafed
8613.json,0.63708,RAWrabicaShamAY1
Shamela023631.txt,0.63632,raw_ShamelaY19
37720.json,0.63632,RAWrabicaShamAY3
2679.html,0.63614,RAWrabicaRafed
34078.json,0.63611,RAWrabicaShamAY2
12304.json,0.63587,RAWrabicaShamAY2
3150.html,0.63389,RAWrabicaRafed
3614.html,0.63344,RAWrabicaRafed
3616.html,0.63342,RAWrabicaRafed
1202.json,0.63336,RAWrabicaShamAY1
3267.html,0.63336,RAWrabicaRafed
1660.html,0.63307,RAWrabicaRafed
Shamela020986.txt,0.63303,raw_ShamelaY19
Shamela095660.txt,0.63298,raw_ShamelaY19
3496.html,0.6326,RAWrabicaRafed
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.63232,RELEASE
3457.html,0.63189,RAWrabicaRafed
Shamela096180.txt,0.63171,raw_ShamelaY19
8390.json,0.63142,RAW_ABLibrary
3931.html,0.63139,RAWrabicaRafed
3615.html,0.63116,RAWrabicaRafed
1572.json,0.631,RAWrabicaShamAY1
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.63065,RELEASE
8597.json,0.63038,RAW_ABLibrary
8593.json,0.63033,RAW_ABLibrary
Shamela023608.txt,0.63024,raw_ShamelaY19
23608.bok.json,0.63022,RAWrabicaSham19Y
3343.html,0.63019,RAWrabicaRafed
Shamela036571.txt,0.63006,raw_ShamelaY19
591.json,0.62983,RAWrabicaShamAY1
3902.html,0.62942,RAWrabicaRafed
001352Vols.automARkdown,0.62907,RAW_Masaha
1659.html,0.62904,RAWrabicaRafed
23608.json,0.62902,RAWrabicaShamAY2
12034.bok.json,0.62898,RAWrabicaSham19Y
Shamela023590.txt,0.62896,raw_ShamelaY19
Shamela123663.txt,0.62885,raw_ShamelaY19
1678.html,0.62878,RAWrabicaRafed
000998Vols.automARkdown,0.62836,RAW_Masaha
Shamela023794.txt,0.62824,raw_ShamelaY19
3233.html,0.62822,RAWrabicaRafed
38891.json,0.62799,RAWrabicaShamAY3
12034.json,0.62795,RAWrabicaShamAY2
1679.html,0.62793,RAWrabicaRafed
8349.json,0.62793,RAW_ABLibrary
Shamela029676.txt,0.62766,raw_ShamelaY19
3960.html,0.62764,RAWrabicaRafed
187.json,0.6275,RAWrabicaShamAY1
8685.json,0.62747,RAW_ABLibrary
8753.json,0.62677,RAW_ABLibrary
29.json,0.62665,RAWrabicaShamAY1
9690.json,0.62661,RAWrabicaShamAY1
986.json,0.62634,RAWrabicaShamAY1
23794.json,0.62628,RAWrabicaShamAY2
2905.html,0.62622,RAWrabicaRafed
Shamela037562.txt,0.62582,raw_ShamelaY19
1437.html,0.62575,RAWrabicaRafed
