unknown,TFIDF_cosine,libVar
32921.json,0.99983,RAWrabicaShamAY2
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.96638,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.96596,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.96568,RELEASE
31639.json,0.96562,RAWrabicaShamAY2
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.96452,RELEASE
5930.json,0.96441,RAWrabicaShamAY1
1375.json,0.96391,RAWrabicaShamAY1
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.96336,RELEASE
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.96335,RELEASE
Shamela026921.txt,0.9622,raw_ShamelaY19
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.9606,RELEASE
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.96026,RELEASE
10492.json,0.95985,RAWrabicaShamAY1
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.95974,RELEASE
0287IbnAbiCasim.Sunna.JK000630-ara1,0.95897,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.9587,RELEASE
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.95857,RELEASE
32749.json,0.95815,RAWrabicaShamAY2
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.9581,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.95809,RELEASE
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.95579,RELEASE
8243.json,0.95524,RAWrabicaShamAY1
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.95392,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.95392,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.9539,RELEASE
1453.json,0.95364,RAWrabicaShamAY1
13082.json,0.95352,RAWrabicaShamAY2
32924.json,0.95348,RAWrabicaShamAY2
Sham30K0008243,0.95336,RAWrabica010000
12842.json,0.95328,RAWrabicaShamAY2
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.95318,RELEASE
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.95315,RELEASE
32781.json,0.95312,RAWrabicaShamAY2
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.95311,RELEASE
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.95243,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.95235,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.95213,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.95167,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.95123,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.95075,RELEASE
8209.json,0.95059,RAWrabicaShamAY1
34002.json,0.95042,RAWrabicaShamAY2
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.95025,RELEASE
Sham30K0008209,0.95016,RAWrabica010000
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.94996,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.JK000600-ara1,0.94961,RELEASE
32752.json,0.94957,RAWrabicaShamAY2
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.94948,RELEASE
0273IbnMaja.Sunan.JK000141-ara1,0.94942,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.94919,RELEASE
26559.json,0.94907,RAWrabicaShamAY2
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.949,RELEASE
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.94898,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.94896,RELEASE
