unknown,TFIDF_cosine,libVar
10414.json,0.99998,RAWrabicaShamAY1
0395AbuHilalCaskari.FuruqLughawiyya.JK006960-ara1,0.99972,RELEASE
004742.automARkdown,0.94562,RAW_Masaha
0395AbuHilalCaskari.FuruqLughawiyya.Shia003912-ara1,0.91503,RELEASE
0395AbuHilalCaskari.FuruqLughawiyya.Shamela0001736-ara1,0.91405,RELEASE
1736.json,0.9046,RAWrabicaShamAY1
1736.bok.json,0.90437,RAWrabicaSham19Y
Shia003912,0.82755,RAWrabica045000
8657.json,0.79977,RAW_ABLibrary
Shamela037697.txt,0.78447,raw_ShamelaY19
0471CabdQahirJurjani.DalailIcjaz.JK001019-ara1,0.78282,RELEASE
0471CabdQahirJurjani.DalailIcjaz.ShamAY0034098-ara1,0.7823,RELEASE
34098.json,0.78179,RAWrabicaShamAY2
0471CabdQahirJurjani.DalailIcjaz.Shamela0037697-ara1,0.7811,RELEASE
8634.json,0.77944,RAW_ABLibrary
004743.automARkdown,0.77909,RAW_Masaha
1641.json,0.77785,RAWrabicaShamAY1
2081.html,0.7774,RAWrabicaRafed
3319.html,0.77735,RAWrabicaRafed
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.77654,RELEASE
3614.html,0.77571,RAWrabicaRafed
003448Vols.automARkdown,0.77515,RAW_Masaha
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.77502,RELEASE
Sham30K0014344,0.77496,RAWrabica015000
8633.json,0.77381,RAW_ABLibrary
1140.html,0.77356,RAWrabicaRafed
2070.html,0.77347,RAWrabicaRafed
2679.html,0.77347,RAWrabicaRafed
11498.json,0.77246,RAWrabicaShamAY2
1746.html,0.77183,RAWrabicaRafed
000998Vols.automARkdown,0.77177,RAW_Masaha
8402.json,0.77131,RAW_ABLibrary
1056.json,0.77122,RAWrabicaShamAY1
3615.html,0.77084,RAWrabicaRafed
7037.json,0.77081,RAWrabicaShamAY1
3616.html,0.77047,RAWrabicaRafed
8410.json,0.76956,RAW_ABLibrary
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.7693,RELEASE
7037.bok.json,0.76922,RAWrabicaSham19Y
Shamela122232.txt,0.76696,raw_ShamelaY19
8455.json,0.76687,RAW_ABLibrary
3424.html,0.76541,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.76514,RELEASE
002554Vols.automARkdown,0.76495,RAW_Masaha
001015.automARkdown,0.76457,RAW_Masaha
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.76444,RELEASE
38985.json,0.76436,RAWrabicaShamAY3
15619.automARkdown,0.76402,RAW_Ghbook
000150Vols.automARkdown,0.76369,RAW_Masaha
0513AbuWafaIbnCaqil.WadihFiUsulFiqh.Sham19Y0122232-ara1,0.76315,RELEASE
1040.json,0.76292,RAWrabicaShamAY1
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.76282,RELEASE
8681.json,0.76235,RAW_ABLibrary
3794.html,0.76181,RAWrabicaRafed
8349.json,0.76178,RAW_ABLibrary
802.json,0.76164,RAW_ABLibrary
Shamela022664.txt,0.76149,raw_ShamelaY19
0489IbnMuhammadSamcani.QawaticAdilla.JK001304-ara1,0.76144,RELEASE
0489IbnMuhammadSamcani.QawaticAdilla.Shamela0012049-ara1,0.76128,RELEASE
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.76038,RELEASE
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.75988,RELEASE
15918.automARkdown,0.75934,RAW_Ghbook
8311.json,0.759,RAW_ABLibrary
8647.json,0.75886,RAW_ABLibrary
12003.bok.json,0.75883,RAWrabicaSham19Y
3448.html,0.75873,RAWrabicaRafed
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.7586,RELEASE
3192.html,0.75853,RAWrabicaRafed
34433.json,0.75791,RAWrabicaShamAY3
34422.json,0.75767,RAWrabicaShamAY3
8635.json,0.75762,RAW_ABLibrary
1039.json,0.75755,RAWrabicaShamAY1
3798.html,0.75747,RAWrabicaRafed
8424.json,0.75731,RAW_ABLibrary
8403.json,0.75714,RAW_ABLibrary
3193.html,0.75712,RAWrabicaRafed
8458.json,0.75697,RAW_ABLibrary
7038.json,0.75685,RAWrabicaShamAY1
8522.json,0.75659,RAW_ABLibrary
0460ShaykhTusi.CiddatUsul.Shia002750Vols-ara1,0.75653,RELEASE
8636.json,0.75647,RAW_ABLibrary
1794.html,0.75628,RAWrabicaRafed
12055.bok.json,0.75593,RAWrabicaSham19Y
8187.json,0.75582,RAWrabicaShamAY1
Shamela022793.txt,0.75571,raw_ShamelaY19
12003.json,0.75566,RAWrabicaShamAY2
35972.json,0.75508,RAWrabicaShamAY3
7902.json,0.75506,RAW_ABLibrary
3474.html,0.75492,RAWrabicaRafed
122232.bok.json,0.75433,RAWrabicaSham19Y
8387.json,0.75426,RAW_ABLibrary
3178.html,0.75409,RAWrabicaRafed
8187.bok.json,0.75397,RAWrabicaSham19Y
8628.json,0.75364,RAW_ABLibrary
Shamela095565.txt,0.75361,raw_ShamelaY19
33778.json,0.75361,RAWrabicaShamAY2
3312.html,0.7533,RAWrabicaRafed
8398.json,0.75296,RAW_ABLibrary
8631.json,0.75284,RAW_ABLibrary
1547.json,0.75251,RAWrabicaShamAY1
Shamela096180.txt,0.75249,raw_ShamelaY19
803.json,0.7524,RAW_ABLibrary
0471CabdQahirJurjani.AsrarBalagha.Shamela0008187-ara1,0.75235,RELEASE
0471CabdQahirJurjani.AsrarBalagha.JK006906-ara1,0.75219,RELEASE
1803.html,0.75201,RAWrabicaRafed
3493.html,0.75194,RAWrabicaRafed
31699.json,0.75175,RAWrabicaShamAY2
3437.html,0.75159,RAWrabicaRafed
8480.json,0.75129,RAW_ABLibrary
Shamela021593.txt,0.75095,raw_ShamelaY19
3481.html,0.75083,RAWrabicaRafed
95565.bok.json,0.75063,RAWrabicaSham19Y
12318.bok.json,0.75027,RAWrabicaSham19Y
Shamela022835.txt,0.7502,raw_ShamelaY19
1793.html,0.75014,RAWrabicaRafed
Shamela020986.txt,0.75013,raw_ShamelaY19
Shamela020643.txt,0.74989,raw_ShamelaY19
0458AbuYaclaIbnFarra.CuddaFiUsulFiqh.Shamela0022793-ara1,0.7498,RELEASE
0436SharifMurtada.Rasail.Shia000019Vols-ara1,0.74979,RELEASE
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.74971,RELEASE
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.74946,RELEASE
8326.json,0.74945,RAW_ABLibrary
2022.json,0.74941,RAWrabicaShamAY1
3198.html,0.7494,RAWrabicaRafed
5459.json,0.74913,RAWrabicaShamAY1
3095.html,0.74899,RAWrabicaRafed
34187.json,0.74884,RAWrabicaShamAY3
0380IbnMuhammadBasili.TaqyidKabir.Shamela0095565-ara1,0.7488,RELEASE
0458AbuYaclaIbnFarra.CuddaFiUsulFiqh.ShamAY0038640-ara1,0.74871,RELEASE
8597.json,0.74871,RAW_ABLibrary
Shamela021506.txt,0.74846,raw_ShamelaY19
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.7484,RELEASE
2087.html,0.74814,RAWrabicaRafed
9062.json,0.74812,RAWrabicaShamAY1
Shamela148531.txt,0.74808,raw_ShamelaY19
34382.json,0.74798,RAWrabicaShamAY3
38891.json,0.74796,RAWrabicaShamAY3
38826.json,0.74775,RAWrabicaShamAY3
21593.bok.json,0.74775,RAWrabicaSham19Y
0400IbnTahirMaqdisi.BadWaTarikh.JK001289-ara1,0.74774,RELEASE
0466IbnSinanKhafaji.SirrFasaha.Shamela0011239-ara1,0.74773,RELEASE
34368.json,0.74772,RAWrabicaShamAY3
8641.json,0.74767,RAW_ABLibrary
34180.json,0.74763,RAWrabicaShamAY2
0505Ghazali.Mustasfa.JK000276-ara1,0.74758,RELEASE
3191.html,0.74755,RAWrabicaRafed
34056.json,0.74735,RAWrabicaShamAY2
8632.json,0.74732,RAW_ABLibrary
34055.json,0.74729,RAWrabicaShamAY2
004568Vols.automARkdown,0.74722,RAW_Masaha
3827.html,0.74721,RAWrabicaRafed
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.74711,RELEASE
0505Ghazali.Mustasfa.Shia002916-ara1,0.74711,RELEASE
12318.json,0.74711,RAWrabicaShamAY2
8430.json,0.74708,RAW_ABLibrary
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.74686,RELEASE
001039Vols.automARkdown,0.74674,RAW_Masaha
37987.json,0.74668,RAWrabicaShamAY3
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.74663,RELEASE
6309.json,0.74621,RAWrabicaShamAY1
3315.html,0.74577,RAWrabicaRafed
3196.html,0.74571,RAWrabicaRafed
002507Vols.automARkdown,0.7457,RAW_Masaha
8390.json,0.74567,RAW_ABLibrary
34373.json,0.74551,RAWrabicaShamAY3
Shamela018610.txt,0.74544,raw_ShamelaY19
Shamela021589.txt,0.74533,raw_ShamelaY19
7903.json,0.74533,RAW_ABLibrary
0505Ghazali.Mustasfa.Shamela0005459-ara1,0.74517,RELEASE
11071.bok.json,0.74511,RAWrabicaSham19Y
8648.json,0.74509,RAW_ABLibrary
Shamela021813.txt,0.74487,raw_ShamelaY19
31974.json,0.74481,RAWrabicaShamAY2
3496.html,0.74481,RAWrabicaRafed
21506.bok.json,0.74475,RAWrabicaSham19Y
21593.json,0.74474,RAWrabicaShamAY2
Shamela145410.txt,0.74465,raw_ShamelaY19
003234Vols.automARkdown,0.74453,RAW_Masaha
2864.json,0.74453,RAWrabicaShamAY1
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.74438,RELEASE
Shamela029600.txt,0.74434,raw_ShamelaY19
34194.json,0.74426,RAWrabicaShamAY3
10801.bok.json,0.74425,RAWrabicaSham19Y
6309.bok.json,0.74423,RAWrabicaSham19Y
Shamela037475.txt,0.74421,raw_ShamelaY19
34184.json,0.74371,RAWrabicaShamAY2
2416.html,0.7436,RAWrabicaRafed
865.json,0.74357,RAWrabicaShamAY1
722.json,0.74353,RAWrabicaShamAY1
9217.json,0.74337,RAWrabicaShamAY1
34199.json,0.74334,RAWrabicaShamAY3
11812.bok.json,0.74319,RAWrabicaSham19Y
Shamela029882.txt,0.74311,raw_ShamelaY19
3200.html,0.74301,RAWrabicaRafed
003567.automARkdown,0.7429,RAW_Masaha
37525.json,0.74271,RAWrabicaShamAY3
3179.html,0.74266,RAWrabicaRafed
470.json,0.74243,RAWrabicaShamAY1
8828.json,0.7424,RAW_ABLibrary
001263.automARkdown,0.74232,RAW_Masaha
0722.bok.json,0.74231,RAWrabicaSham19Y
0436SharifMurtada.ShafiFiImama.Shia003996Vols-ara1,0.74228,RELEASE
2864.bok.json,0.74228,RAWrabicaSham19Y
11071.json,0.7422,RAWrabicaShamAY2
5981.json,0.74195,RAWrabicaShamAY1
21506.json,0.74191,RAWrabicaShamAY2
38970.json,0.7418,RAWrabicaShamAY3
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.74164,RELEASE
10801.json,0.74118,RAWrabicaShamAY2
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.74095,RELEASE
0406SharifRadi.HaqaiqTawil.Shia002340-ara1,0.74092,RELEASE
11239.json,0.74088,RAWrabicaShamAY2
0421IbnMuhammadMarzuqi.AmaliMarzuqi.JK010722-ara1,0.74087,RELEASE
34366.json,0.74086,RAWrabicaShamAY3
Shamela133362.txt,0.74076,raw_ShamelaY19
21589.json,0.74074,RAWrabicaShamAY2
11812.json,0.74054,RAWrabicaShamAY2
0460ShaykhTusi.CiddatUsul.Shia002748Vols-ara1,0.74044,RELEASE
3203.html,0.74042,RAWrabicaRafed
11727.json,0.74035,RAWrabicaShamAY2
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.74005,RELEASE
3571.html,0.74001,RAWrabicaRafed
3147.html,0.74,RAWrabicaRafed
Shamela023582.txt,0.73988,raw_ShamelaY19
21813.json,0.73976,RAWrabicaShamAY2
0504IbnMuhammadCimadDinTabari.AhkamQuran.Shamela0023582-ara1,0.7397,RELEASE
23627.bok.json,0.73959,RAWrabicaSham19Y
1302.html,0.73953,RAWrabicaRafed
