unknown,TFIDF_cosine,libVar
0395IbnFarisQazwini.MucjamMaqayis.Shia003913Vols-ara1,0.999,RELEASE
21710.json,0.99838,RAWrabicaShamAY2
0395IbnFarisQazwini.MucjamMaqayis.Shamela0021710-ara1,0.99823,RELEASE
Shamela021710.txt,0.99805,raw_ShamelaY19
003703Vols.automARkdown,0.95682,RAW_Masaha
2889.html,0.84939,RAWrabicaRafed
Shia003913Vols,0.79117,RAWrabica045000
0395IbnFarisQazwini.MujmalLugha.Shamela0009252-ara1,0.77185,RELEASE
9252.bok.json,0.76843,RAWrabicaSham19Y
9252.json,0.76662,RAWrabicaShamAY1
34695.json,0.74263,RAWrabicaShamAY3
1967.html,0.73084,RAWrabicaRafed
2897.html,0.72987,RAWrabicaRafed
2883.html,0.72588,RAWrabicaRafed
0170KhalilFarahidi.Cayn.JK000930-ara1,0.72399,RELEASE
000961Vols.automARkdown,0.72228,RAW_Masaha
1687.bok.json,0.71869,RAWrabicaSham19Y
0170KhalilFarahidi.Cayn.Shamela0001682-ara1,0.71811,RELEASE
0170KhalilFarahidi.Cayn.Shia003887Vols-ara1,0.71762,RELEASE
1687.json,0.71694,RAWrabicaShamAY1
7322.automARkdown,0.71221,RAW_Ghbook
0291IbnYahyaThaclab.MajalisThaclab.JK010605-ara1,0.71006,RELEASE
0291IbnYahyaThaclab.MajalisThaclab.Shamela0000605-ara1,0.71005,RELEASE
605.json,0.70683,RAWrabicaShamAY1
2873.html,0.70632,RAWrabicaRafed
1939.html,0.70623,RAWrabicaRafed
2882.html,0.70594,RAWrabicaRafed
0370AbuMansurAzhari.TahdhibLugha.Shamela0007031-ara1,0.70567,RELEASE
0370AbuMansurAzhari.TahdhibLugha.JK007040-ara1,0.70554,RELEASE
1945.html,0.70543,RAWrabicaRafed
1938.html,0.70543,RAWrabicaRafed
Shia003936Vols,0.70405,RAWrabica045000
7031.json,0.70395,RAWrabicaShamAY1
1964.html,0.70388,RAWrabicaRafed
1937.html,0.70362,RAWrabicaRafed
Sham30K0034118,0.70283,RAWrabica020000
2875.html,0.69903,RAWrabicaRafed
1965.html,0.6965,RAWrabicaRafed
2874.html,0.69641,RAWrabicaRafed
1960.html,0.69547,RAWrabicaRafed
0356AbuCaliQali.AmaliFiLugha.JK000919-ara1,0.69436,RELEASE
32545.json,0.69421,RAWrabicaShamAY2
0487AbuCubaydBakri.FaslMaqal.JK000974-ara1,0.69347,RELEASE
0356AbuCaliQali.MaqsurWaMamdud.Sham19Y0020949-ara1,0.69264,RELEASE
1961.html,0.69253,RAWrabicaRafed
2881.html,0.69214,RAWrabicaRafed
1957.html,0.69207,RAWrabicaRafed
1962.html,0.68916,RAWrabicaRafed
Sham30K0034071,0.6888,RAWrabica020000
0487AbuCubaydBakri.FaslMaqal.Shamela0001025-ara1,0.68794,RELEASE
0284Bandaniji.Taqfiya.Sham19Y0014041-ara1,0.68735,RELEASE
Shamela020949.txt,0.68725,raw_ShamelaY19
0370AbuMansurAzhari.ZahirFiGharibAlfazShafici.Shamela0011319-ara1,0.68704,RELEASE
1958.html,0.68675,RAWrabicaRafed
2891.html,0.68597,RAWrabicaRafed
38881.json,0.68583,RAWrabicaShamAY3
16225Vols.automARkdown,0.6857,RAW_Ghbook
1963.html,0.6843,RAWrabicaRafed
0356AbuCaliQali.AmaliFiLugha.Shamela0009160-ara1,0.68248,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.68216,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.Shamela0001587-ara1,0.68204,RELEASE
0328IbnQasimAnbari.ZahirFiMacani.Shamela0005644-ara1,0.68074,RELEASE
1587.json,0.68026,RAWrabicaShamAY1
32676.json,0.68004,RAWrabicaShamAY2
9160.json,0.67872,RAWrabicaShamAY1
0244IbnSikkit.Alfaz.Sham19Y0013249-ara1,0.67645,RELEASE
0393IbnHammadJawhari.MuntakhabMinSihahJawhari.Shamela0028100-ara1,0.67622,RELEASE
0224QasimIbnSalam.GharibHadith.JK000718-ara1,0.67516,RELEASE
0510CawtabiSuhari.Ibana.Sham19Y0017879-ara1,0.67513,RELEASE
0337IbnIshaqZajjaji.IshtiqaqAsmaAllah.Sham19Y0014275-ara1,0.67476,RELEASE
14275.bok.json,0.67356,RAWrabicaSham19Y
Shamela028100.txt,0.67319,raw_ShamelaY19
0393IbnHammadJawhari.SihahTajLugha.Shamela0023235-ara1,0.67267,RELEASE
0393IbnHammadJawhari.SihahTajLugha.Shia003906Vols-ara1,0.6726,RELEASE
000955Vols.automARkdown,0.67258,RAW_Masaha
0401AbuCubaydHarawi.Gharibayn.Sham19Y0016782-ara1,0.67209,RELEASE
28100.json,0.67151,RAWrabicaShamAY2
0276IbnQutaybaDinawari.AdabKatib.JK000973-ara1,0.67145,RELEASE
16782.bok.json,0.67138,RAWrabicaSham19Y
31971.json,0.67124,RAWrabicaShamAY2
0276IbnQutaybaDinawari.AdabKatib.ShamAY0033771-ara1,0.67093,RELEASE
Shamela023235.txt,0.67089,raw_ShamelaY19
1959.html,0.67073,RAWrabicaRafed
3562.html,0.67039,RAWrabicaRafed
