unknown,TFIDF_cosine,libVar
0395IbnMandahMuhammad.RisalaFiFadlAkhbar.JK000714-ara1,0.99978,RELEASE
6015.json,0.99783,RAWrabicaShamAY1
0463IbnCabdBarr.Durar.Shamela0010695-ara1,0.87385,RELEASE
11036.bok.json,0.86971,RAWrabicaSham19Y
11036.json,0.86845,RAWrabicaShamAY2
Sham30K0033963,0.8673,RAWrabica020000
0456IbnHazm.JawamicSira.Shamela0001036-ara1,0.86639,RELEASE
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.86533,RELEASE
Shamela122397.txt,0.86502,raw_ShamelaY19
0463IbnCabdBarr.Durar.Shia002155-ara1,0.86424,RELEASE
9728.json,0.8632,RAWrabicaShamAY1
001959.automARkdown,0.8631,RAW_Masaha
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.86213,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.86146,RELEASE
7480.json,0.86084,RAW_ABLibrary
Shamela026484.txt,0.85998,raw_ShamelaY19
34667.json,0.85958,RAWrabicaShamAY3
26484.json,0.85925,RAWrabicaShamAY2
8926.json,0.85852,RAW_ABLibrary
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.85637,RELEASE
0230IbnSacd.TabaqatKubra.Shamela0007666-ara5,0.85604,RELEASE
Shia002155,0.85583,RAWrabica040000
34014.json,0.85541,RAWrabicaShamAY2
34580.json,0.84821,RAWrabicaShamAY3
0463IbnCabdBarr.Durar.JK000118-ara1,0.84799,RELEASE
9352.bok.json,0.84743,RAWrabicaSham19Y
0230IbnSacd.TabaqatKubra.Shamela0012416-ara3,0.84732,RELEASE
38025.json,0.84697,RAWrabicaShamAY3
0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1,0.84686,RELEASE
0230IbnSacd.TabaqatKubra.Shamela0009352-ara5,0.84624,RELEASE
Sham30K0033810,0.84605,RAWrabica020000
12416.json,0.84598,RAWrabicaShamAY2
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.84589,RELEASE
Sham30K0002649,0.84578,RAWrabica005000
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.84568,RELEASE
0562Samcani.Ansab.Sham30K0045603-ara1,0.8454,RELEASE
0562Samcani.Ansab.JK000952-ara1,0.84539,RELEASE
9352.json,0.84517,RAWrabicaShamAY1
0562Samcani.Ansab.Shia003430Vols-ara1,0.84494,RELEASE
0230IbnSacd.TabaqatKubra.JK000744-ara5,0.84466,RELEASE
0562Samcani.Ansab.ShamAY0034668-ara1,0.8443,RELEASE
6700.json,0.8442,RAWrabicaShamAY1
2890.html,0.84413,RAWrabicaRafed
0207Waqidi.Maghazi.JK009232-ara1,0.84399,RELEASE
Shamela096233.txt,0.84397,raw_ShamelaY19
0207Waqidi.Maghazi.Shamela0023680-ara1,0.84363,RELEASE
Shamela026726.txt,0.84342,raw_ShamelaY19
26726.json,0.84339,RAWrabicaShamAY2
0562Samcani.Ansab.Sham30K0002009-ara1,0.8427,RELEASE
30327.json,0.84237,RAWrabicaShamAY2
32198.json,0.84226,RAWrabicaShamAY2
0245MuhammadIbnHabib.Muhabbar.JK011200-ara1,0.84178,RELEASE
Shamela030327.txt,0.8416,raw_ShamelaY19
Shamela023700.txt,0.84156,raw_ShamelaY19
12205.bok.json,0.84055,RAWrabicaSham19Y
34668.json,0.84018,RAWrabicaShamAY3
23700.bok.json,0.84011,RAWrabicaSham19Y
Sham30K0044039,0.83983,RAWrabica030000
23700.json,0.83947,RAWrabicaShamAY2
12205.json,0.83921,RAWrabicaShamAY2
9793.json,0.83918,RAWrabicaShamAY1
9793.bok.json,0.83909,RAWrabicaSham19Y
1135.json,0.8389,RAWrabicaShamAY1
5893.json,0.83861,RAWrabicaShamAY1
Sham30K0033831,0.83852,RAWrabica020000
004774Vols.automARkdown,0.83784,RAW_Masaha
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.83697,RELEASE
0234AbuHasanSacdi.TasmiyatManRuwiya.Shamela0005893-ara1,0.83688,RELEASE
1110.json,0.83668,RAWrabicaShamAY1
0463IbnCabdBarr.IsticabFiMacrifatAshab.Shamela0012288-ara1,0.83665,RELEASE
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.83662,RELEASE
11686.json,0.83654,RAWrabicaShamAY2
1110.bok.json,0.83653,RAWrabicaSham19Y
0347IbnYunusSadafi.Tarikh.Shamela0011686-ara1,0.83651,RELEASE
002330.automARkdown,0.83648,RAW_Masaha
001960.automARkdown,0.83646,RAW_Masaha
34567.json,0.83641,RAWrabicaShamAY3
38004.json,0.83641,RAWrabicaShamAY3
0405HakimNaysaburi.TasmiyatManAkhrajahum.JK000759-ara1,0.83641,RELEASE
9076.json,0.8363,RAWrabicaShamAY1
1036.json,0.83629,RAWrabicaShamAY1
10695.json,0.8362,RAWrabicaShamAY1
Sham30K0044040,0.83619,RAWrabica030000
0405HakimNaysaburi.TasmiyatManAkhrajahum.Shamela0005853-ara1,0.83617,RELEASE
2718.html,0.83604,RAWrabicaRafed
1036.bok.json,0.83583,RAWrabicaSham19Y
Sham30K0002784,0.83571,RAWrabica005000
10695.bok.json,0.8357,RAWrabicaSham19Y
Shia003430Vols,0.83538,RAWrabica045000
3404.html,0.8353,RAWrabicaRafed
0456IbnHazm.JawamicSira.JK011036-ara1,0.83528,RELEASE
38027.json,0.83485,RAWrabicaShamAY3
0456IbnHazm.JamharatAnsab.Shamela0009793-ara1,0.83479,RELEASE
8349.json,0.83462,RAWrabicaShamAY1
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,0.83455,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.Shia003146Vols-ara1,0.83451,RELEASE
0276IbnQutaybaDinawari.Macarif.Shia003424-ara1,0.83403,RELEASE
8349.bok.json,0.83391,RAWrabicaSham19Y
0456IbnHazm.JamharatAnsab.JK009221-ara1,0.83337,RELEASE
35815.json,0.83272,RAWrabicaShamAY3
0562Samcani.Ansab.Shamela0012317-ara1,0.83259,RELEASE
0276IbnQutaybaDinawari.Macarif.JK001136-ara1,0.8322,RELEASE
0276IbnQutaybaDinawari.Macarif.Shamela0012129-ara1,0.8321,RELEASE
38181.json,0.83169,RAWrabicaShamAY3
31576.json,0.83158,RAWrabicaShamAY2
1143.json,0.83135,RAWrabicaShamAY1
Sham30K0008349,0.831,RAWrabica010000
Shamela028107.txt,0.83093,raw_ShamelaY19
0195MuarrijSadusi.HadhfMinNasabQuraysh.JK010496-ara1,0.83085,RELEASE
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1,0.8308,RELEASE
Sham30K0044036,0.83052,RAWrabica030000
0179MalikIbnAnas.Muwatta.Shamela0028107-ara1,0.82999,RELEASE
5794.json,0.82983,RAWrabicaShamAY1
3214.html,0.82973,RAWrabicaRafed
496.json,0.82944,RAWrabicaShamAY1
0496.bok.json,0.82933,RAWrabicaSham19Y
33699.json,0.82856,RAWrabicaShamAY2
6615.json,0.82845,RAWrabicaShamAY1
0240KhalifaIbnKhayyat.Tarikh.Shamela0006615-ara1,0.82825,RELEASE
2330.html,0.82787,RAWrabicaRafed
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,0.82781,RELEASE
2893.html,0.82773,RAWrabicaRafed
0365IbnCadiJurjani.AsamiManRawaCanhum.Shamela0005862-ara1,0.82762,RELEASE
7522.json,0.82759,RAW_ABLibrary
2904.html,0.82758,RAWrabicaRafed
26857.json,0.82668,RAWrabicaShamAY2
0514HibatAllahSajzi.MuntakhabMinSabciyyat.ShamAY0032843-ara1,0.82654,RELEASE
32843.json,0.82651,RAWrabicaShamAY2
2248.html,0.82651,RAWrabicaRafed
Shamela022659.txt,0.82646,raw_ShamelaY19
002348.automARkdown,0.82605,RAW_Masaha
0475IbnMakula.IkmalFiRafcIrtiyab.Shamela0022659-ara1,0.82591,RELEASE
0571IbnCasakir.ArbacunaBuldaniyya.Shia002174-ara1,0.82577,RELEASE
0498AbuCaliJayyani.TaqyidMuhmal.ShamAY0034577-ara1,0.82538,RELEASE
5853.json,0.82522,RAWrabicaShamAY1
Shamela026857.txt,0.82497,raw_ShamelaY19
122397.bok.json,0.82478,RAWrabicaSham19Y
30646.json,0.82476,RAWrabicaShamAY2
5862.json,0.82447,RAWrabicaShamAY1
Shamela026487.txt,0.82436,raw_ShamelaY19
5798.json,0.82433,RAWrabicaShamAY1
1676.json,0.82424,RAWrabicaShamAY1
12288.json,0.8242,RAWrabicaShamAY2
2894.html,0.82413,RAWrabicaRafed
31728.json,0.82403,RAWrabicaShamAY2
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.82387,RELEASE
96165.bok.json,0.82386,RAWrabicaSham19Y
0565IbnFunduqBayhaqi.LubabAnsab.JK010355-ara1,0.82382,RELEASE
0565IbnFunduqBayhaqi.LubabAnsab.Shamela0000355-ara1,0.8238,RELEASE
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.82369,RELEASE
Shamela096165.txt,0.82358,raw_ShamelaY19
34577.json,0.82352,RAWrabicaShamAY3
002044Vols.automARkdown,0.8234,RAW_Masaha
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.82317,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.82313,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.82311,RELEASE
355.json,0.82306,RAWrabicaShamAY1
Shia003457,0.82299,RAWrabica045000
0354IbnHibbanBusti.Sira.Shamela0009898-ara1,0.82295,RELEASE
5839.bok.json,0.82257,RAWrabicaSham19Y
26487.json,0.82249,RAWrabicaShamAY2
Shamela149213.txt,0.82216,raw_ShamelaY19
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.82211,RELEASE
5839.json,0.8219,RAWrabicaShamAY1
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.82153,RELEASE
12317.json,0.82138,RAWrabicaShamAY2
0463KhatibBaghdadi.TalkhisMutashabih.Shamela0021477-ara1,0.82128,RELEASE
5881.bok.json,0.82124,RAWrabicaSham19Y
Shamela021552.txt,0.82109,raw_ShamelaY19
2892.html,0.82105,RAWrabicaRafed
0240KhalifaIbnKhayyat.Tarikh.Shia003055-ara2,0.82102,RELEASE
2922.json,0.82083,RAWrabicaShamAY1
5881.json,0.82083,RAWrabicaShamAY1
0365IbnCadiJurjani.AsamiManRawaCanhum.JK000740-ara1,0.82073,RELEASE
15631.automARkdown,0.82065,RAW_Ghbook
Shamela021477.txt,0.82047,raw_ShamelaY19
2590.html,0.81989,RAWrabicaRafed
21552.json,0.81982,RAWrabicaShamAY2
0354IbnHibbanBusti.MashahirCulamaAmsar.Shia003104-ara1,0.81953,RELEASE
2283.html,0.81944,RAWrabicaRafed
0562Samcani.Ansab.Sham30K0012317-ara1,0.81943,RELEASE
5777.json,0.81933,RAWrabicaShamAY1
1306.json,0.81933,RAWrabicaShamAY1
0354IbnHibbanBusti.MashahirCulamaAmsar.Shamela0000896-ara1,0.81926,RELEASE
896.json,0.81919,RAWrabicaShamAY1
30606.json,0.81919,RAWrabicaShamAY2
Sham30K0033830,0.81909,RAWrabica020000
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.81897,RELEASE
Sham30K0039090,0.81892,RAWrabica025000
5777.bok.json,0.81877,RAWrabicaSham19Y
