unknown,TFIDF_cosine,libVar
32900.json,0.98845,RAWrabicaShamAY2
0430CabdMalikIbnBishranUmawi.Amali.Shamela0029888-ara1,0.88772,RELEASE
Shamela029888.txt,0.88566,raw_ShamelaY19
0442AbuHasanQazwini.Amali.ShamAY0032789-ara1,0.885,RELEASE
32789.json,0.87812,RAWrabicaShamAY2
29888.json,0.87689,RAWrabicaShamAY2
0527AbuGhalibIbnBanna.Mashyaka.ShamAY0032852-ara1,0.87295,RELEASE
Shamela029770.txt,0.8721,raw_ShamelaY19
0454AbuMuhammadJawhari.Amali.Shamela0029770-ara1,0.87168,RELEASE
32852.json,0.86616,RAWrabicaShamAY2
Shamela029979.txt,0.8658,raw_ShamelaY19
0386IbnCumarHarbi.Fawaid.Shamela0029979-ara1,0.86506,RELEASE
9379.json,0.85702,RAWrabicaShamAY1
29770.json,0.8545,RAWrabicaShamAY2
0442AbuHasanQazwini.Amali.ShamAY0032861-ara1,0.852,RELEASE
29979.json,0.85117,RAWrabicaShamAY2
32861.json,0.84832,RAWrabicaShamAY2
0360AbuBakrAnbari.Hadith.Shamela0029867-ara1,0.84804,RELEASE
0241IbnHanbal.FadailSahaba.JK000482-ara1,0.84753,RELEASE
Shamela029867.txt,0.84656,raw_ShamelaY19
0241IbnHanbal.FadailSahaba.Shamela0013136-ara1,0.83853,RELEASE
0379IbnMuzaffarBazzaz.Hadith.ShamAY0032751-ara1,0.83788,RELEASE
32960.json,0.83644,RAWrabicaShamAY2
29739.bok.json,0.83533,RAWrabicaSham19Y
0379IbnMuzaffarBazzaz.Hadith.Shamela0029739-ara1,0.83208,RELEASE
Shamela029739.txt,0.83198,raw_ShamelaY19
0454AbuMuhammadJawhari.Amali.Shamela0030071-ara1,0.83157,RELEASE
13136.json,0.83155,RAWrabicaShamAY2
32864.json,0.83138,RAWrabicaShamAY2
29867.json,0.8307,RAWrabicaShamAY2
Shamela029738.txt,0.83022,raw_ShamelaY19
32751.json,0.82878,RAWrabicaShamAY2
0360Tabarani.TuruqHadithManKadhdhabaCalayya.Shia002065-ara1,0.82873,RELEASE
32786.json,0.82767,RAWrabicaShamAY2
32813.json,0.82665,RAWrabicaShamAY2
0360AbuBakrAnbari.MuntaqaMinHadith.Shamela0029868-ara1,0.82596,RELEASE
0386IbnCumarHarbi.Mashyakha.Shamela0030075-ara1,0.82571,RELEASE
Shamela030075.txt,0.82546,raw_ShamelaY19
29739.json,0.82423,RAWrabicaShamAY2
Shamela030071.txt,0.82402,raw_ShamelaY19
Shamela029868.txt,0.8219,raw_ShamelaY19
29738.json,0.8186,RAWrabicaShamAY2
32758.json,0.81838,RAWrabicaShamAY2
30075.bok.json,0.81523,RAWrabicaSham19Y
0221IbnAbiIyasCasqalani.Juz.Shamela0029703-ara1,0.81486,RELEASE
32837.json,0.81402,RAWrabicaShamAY2
Shamela029703.txt,0.80757,raw_ShamelaY19
30071.bok.json,0.80634,RAWrabicaSham19Y
30075.json,0.80113,RAWrabicaShamAY2
29868.json,0.79873,RAWrabicaShamAY2
30071.json,0.7978,RAWrabicaShamAY2
32792.json,0.79392,RAWrabicaShamAY2
0442AbuHasanQazwini.Amali.ShamAY0032792-ara1,0.79008,RELEASE
29703.json,0.77834,RAWrabicaShamAY2
0461MuzaffarIbnHasan.Fawaid.ShamAY0032767-ara1,0.76724,RELEASE
Shia002065,0.76627,RAWrabica040000
32767.json,0.76391,RAWrabicaShamAY2
Shamela029751.txt,0.74616,raw_ShamelaY19
32774.json,0.74583,RAWrabicaShamAY2
0426IbnAhmadIbnShadhan.Juz.Shamela0029751-ara1,0.74015,RELEASE
29751.json,0.72519,RAWrabicaShamAY2
32744.json,0.71461,RAWrabicaShamAY2
1115.html,0.70896,RAWrabicaRafed
32950.json,0.70737,RAWrabicaShamAY2
Sham30K0002747,0.70492,RAWrabica005000
34332.json,0.7038,RAWrabicaShamAY3
30327.json,0.70129,RAWrabicaShamAY2
Shamela030327.txt,0.69394,raw_ShamelaY19
0497IbnIbnZahraTuraythithi.Hadith.Shamela0029777-ara1,0.69352,RELEASE
29777.json,0.672,RAWrabicaShamAY2
Shamela029777.txt,0.67149,raw_ShamelaY19
0281IbnAbiDunya.FadailRamadan.Shamela0010799-ara1,0.66911,RELEASE
10799.bok.json,0.66715,RAWrabicaSham19Y
10799.json,0.66323,RAWrabicaShamAY2
26641.json,0.65334,RAWrabicaShamAY2
Shamela026641.txt,0.64347,raw_ShamelaY19
32922.json,0.64171,RAWrabicaShamAY2
0281IbnAbiDunya.FadailRamadan.JK011568-ara1,0.64009,RELEASE
32803.json,0.63923,RAWrabicaShamAY2
