unknown,TFIDF_cosine,libVar
32795.json,0.98198,RAWrabicaShamAY2
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.845,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.84336,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.843,RELEASE
8209.json,0.84209,RAWrabicaShamAY1
Sham30K0008209,0.84115,RAWrabica010000
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.83996,RELEASE
0393AbuTahirMukhallis.SabcatMajalis.Shamela0008233-ara1,0.83917,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.83908,RELEASE
34002.json,0.83842,RAWrabicaShamAY2
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.83802,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.83775,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.83769,RELEASE
0393AbuTahirMukhallis.SabcatMajalis.Shamela0008233-ara1,0.83763,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.83747,RELEASE
8233.json,0.83685,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.8368,RELEASE
9886.json,0.83655,RAWrabicaShamAY1
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.83655,RELEASE
Sham30K0008233,0.83624,RAWrabica010000
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.83558,RELEASE
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.83533,RELEASE
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.83523,RELEASE
8243.json,0.83505,RAWrabicaShamAY1
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.83445,RELEASE
0344IbnSammak.Fawaid.Shamela0029940-ara1,0.83436,RELEASE
0273IbnMaja.Sunan.JK000141-ara1,0.83421,RELEASE
0392IbnAbiShurayhHarawi.AhathidMia.Shamela0029734-ara1,0.83418,RELEASE
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.83414,RELEASE
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.83398,RELEASE
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.83396,RELEASE
Sham30K0044098,0.8339,RAWrabica030000
Sham30K0008243,0.83381,RAWrabica010000
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.83365,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.83357,RELEASE
0487AbuQasimMasisi.HadithSabuni.ShamAY0032870-ara1,0.83355,RELEASE
31639.json,0.83322,RAWrabicaShamAY2
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.8332,RELEASE
0392IbnAbiShurayhHarawi.AhathidMia.Shamela0029734-ara1,0.83315,RELEASE
Shamela029734.txt,0.83311,raw_ShamelaY19
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.83283,RELEASE
0487AbuQasimMasisi.HadithSabuni.ShamAY0032870-ara1,0.83279,RELEASE
32924.json,0.83259,RAWrabicaShamAY2
0360Tabarani.Duca.Shia002067-ara1,0.83239,RELEASE
33948.json,0.83218,RAWrabicaShamAY2
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.83208,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.83207,RELEASE
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.83206,RELEASE
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.83186,RELEASE
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.83181,RELEASE
1225.json,0.8318,RAWrabicaShamAY1
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.83169,RELEASE
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.83167,RELEASE
0359AbuBakrNasibi.Fawaid.ShamAY0032824-ara1,0.83143,RELEASE
Shamela026884.txt,0.83133,raw_ShamelaY19
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.83121,RELEASE
Shamela029940.txt,0.8309,raw_ShamelaY19
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.83086,RELEASE
0360Tabarani.Duca.Shia002067-ara1,0.83079,RELEASE
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.83075,RELEASE
0578IbnBashkuwal.GhawamidAsma.JK000726-ara1,0.83065,RELEASE
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.83064,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.83057,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.83051,RELEASE
13081.bok.json,0.83044,RAWrabicaSham19Y
5803.json,0.8304,RAWrabicaShamAY1
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.83036,RELEASE
10492.json,0.83001,RAWrabicaShamAY1
0360Tabarani.Duca.JK000675-ara1,0.82988,RELEASE
29942.bok.json,0.82986,RAWrabicaSham19Y
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.82962,RELEASE
0360Tabarani.Duca.Shamela0013016-ara1,0.82958,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.8293,RELEASE
1453.json,0.829,RAWrabicaShamAY1
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.829,RELEASE
Shamela029942.txt,0.82879,raw_ShamelaY19
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.82874,RELEASE
Shamela029976.txt,0.82864,raw_ShamelaY19
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.82816,RELEASE
0359AbuHasanIkhmimi.Fawaid.ShamAY0032839-ara1,0.82803,RELEASE
32921.json,0.82785,RAWrabicaShamAY2
26884.json,0.8278,RAWrabicaShamAY2
32749.json,0.82769,RAWrabicaShamAY2
0313IbnIshaqSarraj.Musnad.Shamela0001383-ara1,0.82764,RELEASE
0372AbuBakrDaqqaq.Hadith.ShamAY0032754-ara1,0.82739,RELEASE
0359AbuHasanIkhmimi.Fawaid.ShamAY0032839-ara1,0.82732,RELEASE
0313IbnIshaqSarraj.Musnad.JK009385-ara1,0.82729,RELEASE
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.82719,RELEASE
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.82718,RELEASE
0372AbuBakrDaqqaq.Hadith.ShamAY0032754-ara1,0.82711,RELEASE
12992.json,0.82701,RAWrabicaShamAY2
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.82699,RELEASE
0364IbnSunniDinawari.CamalYawmWaLayl.JK000943-ara1,0.82698,RELEASE
29976.bok.json,0.82698,RAWrabicaSham19Y
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.82689,RELEASE
1377.json,0.8266,RAWrabicaShamAY1
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.82618,RELEASE
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.82616,RELEASE
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.82587,RELEASE
1733.json,0.82583,RAWrabicaShamAY1
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.8257,RELEASE
31636.json,0.8253,RAWrabicaShamAY2
13016.json,0.82529,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.8252,RELEASE
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.82519,RELEASE
29940.bok.json,0.82516,RAWrabicaSham19Y
32870.json,0.82514,RAWrabicaShamAY2
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.82444,RELEASE
29942.json,0.82432,RAWrabicaShamAY2
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.82423,RELEASE
32927.json,0.82415,RAWrabicaShamAY2
12842.json,0.82412,RAWrabicaShamAY2
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.82388,RELEASE
32781.json,0.82373,RAWrabicaShamAY2
