unknown,TFIDF_cosine,libVar
7548.json,0.46677,RAW_ABLibrary
0658IbnAbbar.IctabKitab.JK010583-ara1,0.45971,RELEASE
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.45621,RELEASE
0384IbnCaliTanukhi.FarajBacdaShidda.Shia001282Vols-ara1,0.45577,RELEASE
1574.html,0.4547,RAWrabicaRafed
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.45407,RELEASE
004073.automARkdown,0.45397,RAW_Masaha
8190.json,0.45368,RAWrabicaShamAY1
002351.automARkdown,0.45365,RAW_Masaha
0542IbnBassamShantarini.Dhakhira.Shamela0001035-ara1,0.45343,RELEASE
002224.automARkdown,0.45343,RAW_Masaha
0384IbnCaliTanukhi.NishwarMuhadara.JK009297-ara1,0.45297,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.Shamela0010275-ara1,0.4529,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.45277,RELEASE
7903.json,0.4519,RAW_ABLibrary
0384IbnCaliTanukhi.NishwarMuhadara.Shamela0010275-ara1,0.45137,RELEASE
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1,0.45135,RELEASE
66.html,0.4513,RAWrabicaRafed
1035.json,0.45085,RAWrabicaShamAY1
Sham30K0008190,0.45071,RAWrabica010000
0427AbuNasrCutbi.Yamini.ShamAY0033832-ara1,0.45035,RELEASE
0340IbnDaya.Mukafaa.ShamAY0034330-ara1,0.44982,RELEASE
6854.json,0.4497,RAWrabicaShamAY1
000515.automARkdown,0.44915,RAW_Masaha
0340IbnDaya.Mukafaa.ShamAY0034330-ara1,0.44903,RELEASE
001702.automARkdown,0.44863,RAW_Masaha
0427AbuNasrCutbi.Yamini.ShamAY0033832-ara1,0.44843,RELEASE
10275.json,0.44835,RAWrabicaShamAY1
7909.json,0.448,RAW_ABLibrary
002069Vols.automARkdown,0.44759,RAW_Masaha
7577.json,0.44752,RAW_ABLibrary
0709IbnTiqtaqa.FakhriFiAdab.Shamela0012400-ara1,0.44592,RELEASE
002964Vols.automARkdown,0.44571,RAW_Masaha
001940.automARkdown,0.44545,RAW_Masaha
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.44529,RELEASE
16411.automARkdown,0.44512,RAW_Ghbook
002494Vols.automARkdown,0.44496,RAW_Masaha
8392.json,0.44489,RAW_ABLibrary
1019NurAllahTustari.IhqaqHaqq.Shia004026-ara1,0.44481,RELEASE
0413ShaykhMufid.Jamal.Shia003687-ara1,0.44477,RELEASE
0413ShaykhMufid.Jamal.Shia003687-ara1,0.44474,RELEASE
001939.automARkdown,0.44401,RAW_Masaha
34599.json,0.44392,RAWrabicaShamAY3
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1,0.44362,RELEASE
0793AbuHasanMalaqi.TarikhQudat.Shamela0004363-ara1,0.44357,RELEASE
Sham30K0002744,0.44342,RAWrabica005000
002790Vols.automARkdown,0.44283,RAW_Masaha
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.44282,RELEASE
000368Vols.automARkdown,0.44281,RAW_Masaha
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.44259,RELEASE
1342MahmudShukriAlusi.Suyuf.Shamela0096337-ara1,0.44258,RELEASE
001854.automARkdown,0.44247,RAW_Masaha
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.44183,RELEASE
558.html,0.44179,RAWrabicaRafed
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.44166,RELEASE
473.json,0.44163,RAWrabicaShamAY1
004576.automARkdown,0.44146,RAW_Masaha
003390Vols.automARkdown,0.44146,RAW_Masaha
34330.json,0.44143,RAWrabicaShamAY3
3659.html,0.44134,RAWrabicaRafed
11353.automARkdown,0.44086,RAW_Ghbook
1577.html,0.44081,RAWrabicaRafed
001836Vols.automARkdown,0.44076,RAW_Masaha
5987.automARkdown,0.44025,RAW_Ghbook
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.44018,RELEASE
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.44015,RELEASE
8393.json,0.44006,RAW_ABLibrary
1041Maqqari.AzharRiyad.Shamela0026350-ara1,0.44,RELEASE
0580IbnCimrani.InbaFiTarikhKhulafa.Shamela0012289-ara1,0.43999,RELEASE
4363.json,0.43986,RAWrabicaShamAY1
Shia004026,0.43973,RAWrabica045000
6392.json,0.43959,RAWrabicaShamAY1
1783.json,0.43944,RAWrabicaShamAY1
0580IbnCimrani.InbaFiTarikhKhulafa.Shamela0012289-ara1,0.43911,RELEASE
1726.html,0.43909,RAWrabicaRafed
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.43907,RELEASE
001650Vols.automARkdown,0.43889,RAW_Masaha
8636.json,0.43859,RAW_ABLibrary
7773.json,0.43852,RAW_ABLibrary
0837IbnHijjaHamawi.TayyibMadhaq.JK009204-ara1,0.43846,RELEASE
12400.bok.json,0.43835,RAWrabicaSham19Y
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1,0.43819,RELEASE
0480IbnHilalSabi.HafawatNadira.Shamela0005363-ara1,0.43811,RELEASE
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.43804,RELEASE
33867.json,0.43801,RAWrabicaShamAY2
9797.json,0.43799,RAWrabicaShamAY1
002874.automARkdown,0.43796,RAW_Masaha
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.43789,RELEASE
0837IbnHijjaHamawi.ThamaratAwraq.Shamela0011056-ara1,0.43775,RELEASE
004065.automARkdown,0.43772,RAW_Masaha
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.43762,RELEASE
0460ShaykhTusi.Ghayba.Shia001335-ara1,0.43752,RELEASE
0480IbnHilalSabi.HafawatNadira.Shamela0005363-ara1,0.43741,RELEASE
0670AhmadDarjini.TabaqatMashayikhBiMaghrib.ShamIbadiyya0000107-ara1,0.43733,RELEASE
0220AbuJacfarIskafi.MicyarWaMuwazana.Shia001900-ara1,0.43732,RELEASE
001859Vols.automARkdown,0.43717,RAW_Masaha
003036Vols.automARkdown,0.43707,RAW_Masaha
10709.bok.json,0.43697,RAWrabicaSham19Y
