unknown,TFIDF_cosine,libVar
34176.json,0.99793,RAWrabicaShamAY2
0317IbnCammarShahid.CilalAhadith.ShamAY0034174-ara1,0.77945,RELEASE
0317IbnCammarShahid.CilalAhadith.ShamAY0034174-ara1,0.77385,RELEASE
34174.json,0.76778,RAWrabicaShamAY2
0311AbuBakrKhallal.MuntakhabMinCilal.ShamAY0034173-ara1,0.76299,RELEASE
0311AbuBakrKhallal.MuntakhabMinCilal.ShamAY0034173-ara1,0.76019,RELEASE
34173.json,0.75766,RAWrabicaShamAY2
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.75057,RELEASE
33975.json,0.74721,RAWrabicaShamAY2
38146.json,0.74677,RAWrabicaShamAY3
0909IbnCabdHadi.IkhtilafBaynaRuwatBukhari.Shamela0030358-ara1,0.74571,RELEASE
0699ShihabDinIshbiliLakhmi.MukhtasarKhilafiyyat.Shamela0006227-ara1,0.7456,RELEASE
30358.json,0.74143,RAWrabicaShamAY2
30358.bok.json,0.74133,RAWrabicaSham19Y
Shamela030358.txt,0.74073,raw_ShamelaY19
6227.json,0.73961,RAWrabicaShamAY1
Shamela096786.txt,0.73604,raw_ShamelaY19
96786.bok.json,0.73599,RAWrabicaSham19Y
0234CaliIbnMadini.Cilal.ShamAY0034150-ara1,0.73587,RELEASE
6049.bok.json,0.73443,RAWrabicaSham19Y
0234CaliIbnMadini.Cilal.ShamAY0034150-ara1,0.73352,RELEASE
0317IbnCammarShahid.CilalAhadith.JK001029-ara1,0.73135,RELEASE
2001.json,0.73097,RAWrabicaShamAY1
0317IbnCammarShahid.CilalAhadith.Shamela0006049-ara1,0.73089,RELEASE
6049.json,0.73084,RAWrabicaShamAY1
34171.json,0.73063,RAWrabicaShamAY2
0385Daraqutni.CilalWarida.Shamela0009082-ara1,0.73017,RELEASE
0852IbnHajarCasqalani.NukatZiraf.JK009256BK2-ara1,0.72945,RELEASE
34150.json,0.72899,RAWrabicaShamAY2
34177.json,0.7281,RAWrabicaShamAY2
10631.json,0.72794,RAWrabicaShamAY1
0261Muslim.Tamyiz.ShamAY0034142-ara1,0.72721,RELEASE
0385Daraqutni.IlzamatWaTatabbuc.Shamela0021474-ara1,0.72714,RELEASE
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.Shamela0006061-ara1,0.72622,RELEASE
0385Daraqutni.CilalWarida.ShamAY0034171-ara3,0.7253,RELEASE
26039.json,0.72515,RAWrabicaShamAY2
21474.bok.json,0.72513,RAWrabicaSham19Y
0385Daraqutni.CilalWarida.ShamAY0034177-ara2,0.72507,RELEASE
0385Daraqutni.CilalWarida.Shamela0009082-ara1,0.72468,RELEASE
Shamela021474.txt,0.72392,raw_ShamelaY19
21474.json,0.72352,RAWrabicaShamAY2
Shamela026039.txt,0.72333,raw_ShamelaY19
0261Muslim.Tamyiz.ShamAY0034142-ara1,0.72245,RELEASE
0327IbnAbiHatimRazi.CilalHadith.JK000682-ara1,0.7218,RELEASE
9082.json,0.72164,RAWrabicaShamAY1
Shamela096928.txt,0.72122,raw_ShamelaY19
0385Daraqutni.IlzamatWaTatabbuc.Shamela0021474-ara1,0.72112,RELEASE
2749.bok.json,0.72096,RAWrabicaSham19Y
0762IbnYusufZaylaci.NasbRaya.Shamela0011428-ara1,0.71981,RELEASE
34142.json,0.71862,RAWrabicaShamAY2
2749.json,0.7183,RAWrabicaShamAY1
0279Tirmidhi.CilalKabir.JK000679-ara1,0.7175,RELEASE
Sham30K0002749,0.7172,RAWrabica005000
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.71622,RELEASE
0385Daraqutni.CilalWarida.Shia003117Vols-ara1,0.71566,RELEASE
20868.bok.json,0.71563,RAWrabicaSham19Y
13131.json,0.71532,RAWrabicaShamAY2
96928.bok.json,0.71459,RAWrabicaSham19Y
0748Dhahabi.Muhadhdhab.Sham19Y0146127-ara1,0.71441,RELEASE
38860.json,0.7144,RAWrabicaShamAY3
0279Tirmidhi.CilalKabir.JK000679-ara1,0.7131,RELEASE
0742Mizzi.TuhfatAshraf.Shamela0011385-ara1,0.71249,RELEASE
2044.json,0.71229,RAWrabicaShamAY1
001995Vols.automARkdown,0.71201,RAW_Masaha
0279Tirmidhi.CilalKabir.Shamela0013131-ara1,0.71199,RELEASE
Shamela146127.txt,0.71105,raw_ShamelaY19
Sham30K0002559,0.71082,RAWrabica005000
5923.json,0.71049,RAWrabicaShamAY1
0774IbnKathir.MusnadCumarIbnKhattab.Sham19Y0016555-ara2,0.71026,RELEASE
11385.json,0.70998,RAWrabicaShamAY2
12756.json,0.70964,RAWrabicaShamAY2
Shamela026075.txt,0.70917,raw_ShamelaY19
37265.json,0.70799,RAWrabicaShamAY3
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.70772,RELEASE
1310.json,0.70713,RAWrabicaShamAY1
Shamela148896.txt,0.70672,raw_ShamelaY19
1420MuhammadNasirDinAlbani.SahihWaDacifSunanTirmidhi.Shia001735Vols-ara1,0.70638,RELEASE
7937.json,0.70594,RAW_ABLibrary
0620IbnQudamaMaqdisi.MuntakhabMinCilal.Shamela0026075-ara1,0.70523,RELEASE
34125.json,0.70508,RAWrabicaShamAY2
1104IbnHasanHurrCamili.WasailShica.Shia001187Vols-ara1,0.70505,RELEASE
Shamela038171.txt,0.70445,raw_ShamelaY19
Shamela036147.txt,0.7041,raw_ShamelaY19
0774IbnKathir.TafsirQuran.Shamela0008473-ara1,0.70406,RELEASE
1276.json,0.70337,RAWrabicaShamAY1
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.70259,RELEASE
11428.bok.json,0.70228,RAWrabicaSham19Y
0507IbnQaysarani.DhakhiratHuffaz.Shamela0006060-ara1,0.70226,RELEASE
1201.json,0.70127,RAWrabicaShamAY1
32191.json,0.70077,RAWrabicaShamAY2
0852IbnHajarCasqalani.NuzhatSamicin.JK001203-ara1,0.70004,RELEASE
