unknown,TFIDF_cosine,libVar
0405HakimNaysaburi.TasmiyatManAkhrajahum.Shamela0005853-ara1,0.99998,RELEASE
5853.json,0.99309,RAWrabicaShamAY1
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.98195,RELEASE
5881.json,0.97809,RAWrabicaShamAY1
5881.bok.json,0.97805,RAWrabicaSham19Y
Sham30K0039090,0.97482,RAWrabica025000
0385Daraqutni.DhikrAsmaTabicin.JK001323-ara1,0.96861,RELEASE
2612.html,0.96753,RAWrabicaRafed
34014.json,0.96672,RAWrabicaShamAY2
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.96593,RELEASE
5893.json,0.96258,RAWrabicaShamAY1
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.96258,RELEASE
0234AbuHasanSacdi.TasmiyatManRuwiya.Shamela0005893-ara1,0.96257,RELEASE
Sham30K0044040,0.96038,RAWrabica030000
2467.html,0.95506,RAWrabicaRafed
Shamela096233.txt,0.9479,raw_ShamelaY19
2235.html,0.94611,RAWrabicaRafed
3225.html,0.94379,RAWrabicaRafed
9147.json,0.94364,RAW_ABLibrary
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.94355,RELEASE
8945.json,0.94074,RAW_ABLibrary
8258.json,0.93886,RAW_ABLibrary
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.9387,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.Shamela0022659-ara1,0.93824,RELEASE
34667.json,0.9375,RAWrabicaShamAY3
Shamela022659.txt,0.93734,raw_ShamelaY19
8926.json,0.9355,RAW_ABLibrary
5777.bok.json,0.93436,RAWrabicaSham19Y
5777.json,0.93428,RAWrabicaShamAY1
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.93352,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.93257,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.ShamAY0034615-ara1,0.93242,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.JK000516-ara2,0.93237,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.JK007120-ara1,0.93084,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.Shamela0005777-ara1,0.93084,RELEASE
9352.bok.json,0.93062,RAWrabicaSham19Y
9352.json,0.93049,RAWrabicaShamAY1
34615.json,0.9303,RAWrabicaShamAY3
0230IbnSacd.TabaqatKubra.Shamela0009352-ara5,0.93007,RELEASE
38025.json,0.92637,RAWrabicaShamAY3
0230IbnSacd.TabaqatKubra.JK000744-ara5,0.92078,RELEASE
Shamela096165.txt,0.91888,raw_ShamelaY19
34594.json,0.91876,RAWrabicaShamAY3
31576.json,0.91805,RAWrabicaShamAY2
2890.html,0.91704,RAWrabicaRafed
2892.html,0.91561,RAWrabicaRafed
2900.html,0.91513,RAWrabicaRafed
5889.json,0.91423,RAWrabicaShamAY1
0230IbnSacd.TabaqatKubra.Shamela0007666-ara5,0.91312,RELEASE
2718.html,0.91194,RAWrabicaRafed
2857.html,0.91034,RAWrabicaRafed
0475IbnMakula.IkmalFiRafcIrtiyab.Shia003146Vols-ara1,0.90801,RELEASE
96165.bok.json,0.90724,RAWrabicaSham19Y
1676.json,0.90718,RAWrabicaShamAY1
Shia003056,0.90656,RAWrabica045000
Sham30K0044039,0.9064,RAWrabica030000
0456IbnHazm.JamharatAnsab.JK009221-ara1,0.90532,RELEASE
9230.json,0.90528,RAW_ABLibrary
001960.automARkdown,0.90482,RAW_Masaha
002330.automARkdown,0.90429,RAW_Masaha
5809.json,0.90409,RAWrabicaShamAY1
0456IbnHazm.JamharatAnsab.Shamela0009793-ara1,0.90393,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.9039,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.90375,RELEASE
0303Nasai.TasmiyatFuqahaAmsar.JK000510BK6-ara2,0.90345,RELEASE
2330.html,0.9029,RAWrabicaRafed
0303Nasai.TasmiyatFuqahaAmsar.JK000827-ara1,0.90282,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.JK000582-ara1,0.90273,RELEASE
2922.json,0.90265,RAWrabicaShamAY1
9793.bok.json,0.90254,RAWrabicaSham19Y
0550AbuHajjajAshcari.TacrifFiAnsab.JK010487-ara1,0.90241,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.90236,RELEASE
1731.json,0.90213,RAWrabicaShamAY1
9793.json,0.90212,RAWrabicaShamAY1
487.json,0.90178,RAWrabicaShamAY1
2465.html,0.90089,RAWrabicaRafed
2893.html,0.89933,RAWrabicaRafed
2703.html,0.899,RAWrabicaRafed
0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1,0.89845,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.89705,RELEASE
0378HakimKabir.AsamiWaKuna.ShamAY0034585-ara1,0.89695,RELEASE
2054.json,0.89501,RAWrabicaShamAY1
30646.json,0.89445,RAWrabicaShamAY2
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.8944,RELEASE
0204IbnKalbi.JamharatAnsab.JK010504-ara1,0.89438,RELEASE
0504.bok.json,0.89412,RAWrabicaSham19Y
38189.json,0.89379,RAWrabicaShamAY3
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.89336,RELEASE
504.json,0.89333,RAWrabicaShamAY1
2894.html,0.89306,RAWrabicaRafed
0412Sulami.SualatLiDaruqutni.Shamela0001680-ara1,0.89291,RELEASE
12581.bok.json,0.89243,RAWrabicaSham19Y
34585.json,0.89204,RAWrabicaShamAY3
5798.json,0.89202,RAWrabicaShamAY1
38186.json,0.89192,RAWrabicaShamAY3
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.89184,RELEASE
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.89163,RELEASE
7315.json,0.89161,RAWrabicaShamAY1
1293.json,0.89153,RAWrabicaShamAY1
2410.html,0.89018,RAWrabicaRafed
5804.bok.json,0.88949,RAWrabicaSham19Y
5804.json,0.88918,RAWrabicaShamAY1
2887.html,0.88906,RAWrabicaRafed
5837.bok.json,0.88868,RAWrabicaSham19Y
5797.bok.json,0.88849,RAWrabicaSham19Y
5797.json,0.88823,RAWrabicaShamAY1
0347IbnYunusSadafi.Tarikh.Shamela0011686-ara1,0.88798,RELEASE
0261Muslim.Munfaridat.JK000512-ara1,0.88791,RELEASE
0261Muslim.Munfaridat.Shamela0005837-ara1,0.88781,RELEASE
5837.json,0.88769,RAWrabicaShamAY1
004774Vols.automARkdown,0.8873,RAW_Masaha
5794.json,0.88726,RAWrabicaShamAY1
2713.html,0.88641,RAWrabicaRafed
11686.json,0.88616,RAWrabicaShamAY2
38191.json,0.88565,RAWrabicaShamAY3
0463KhatibBaghdadi.TalkhisMutashabih.Shamela0021477-ara1,0.88515,RELEASE
0456IbnHazm.JawamicSira.Shamela0001036-ara1,0.88513,RELEASE
2717.html,0.8844,RAWrabicaRafed
0261Muslim.Munfaridat.Shia001925-ara1,0.88431,RELEASE
38027.json,0.88398,RAWrabicaShamAY3
26857.json,0.88387,RAWrabicaShamAY2
Shamela021477.txt,0.88374,raw_ShamelaY19
4092.json,0.8837,RAWrabicaShamAY1
001959.automARkdown,0.88348,RAW_Masaha
12205.bok.json,0.88329,RAWrabicaSham19Y
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.88316,RELEASE
0463KhatibBaghdadi.TaliTalkhisMutashabih.JK000617-ara1,0.88296,RELEASE
9728.json,0.8828,RAWrabicaShamAY1
12205.json,0.8826,RAWrabicaShamAY2
1306.json,0.88238,RAWrabicaShamAY1
0245MuhammadIbnHabib.Muhabbar.JK011200-ara1,0.88238,RELEASE
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.88208,RELEASE
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.88206,RELEASE
0418WazirMaghribi.Inas.JK010492-ara1,0.88202,RELEASE
34665.json,0.88186,RAWrabicaShamAY3
492.json,0.8817,RAWrabicaShamAY1
30652.json,0.88149,RAWrabicaShamAY2
7480.json,0.88135,RAW_ABLibrary
30606.json,0.8812,RAWrabicaShamAY2
6003.json,0.88084,RAWrabicaShamAY1
Sham30K0002649,0.88073,RAWrabica005000
0507IbnQaysarani.AnsabMuttafiqa.Shamela0005794-ara1,0.8802,RELEASE
0507IbnQaysarani.AnsabMuttafiqa.JK000686-ara1,0.88018,RELEASE
0405AbuFadlHarawi.MucjamFiMushtabah.Shamela0005804-ara1,0.87998,RELEASE
0365IbnCadiJurjani.AsamiManRawaCanhum.Shamela0005862-ara1,0.87929,RELEASE
34580.json,0.8782,RAWrabicaShamAY3
96966.bok.json,0.87749,RAWrabicaSham19Y
2714.html,0.87733,RAWrabicaRafed
0584IbnMusaHazimi.CujalatMubtadi.Shamela0096966-ara1,0.87719,RELEASE
2060.json,0.87695,RAWrabicaShamAY1
Shamela026112.txt,0.87677,raw_ShamelaY19
0584IbnMusaHazimi.CujalatMubtadi.JK010497-ara1,0.87671,RELEASE
0303Nasai.TasmiyatFuqahaAmsar.Shamela0005820-ara1,0.87658,RELEASE
2899.html,0.8762,RAWrabicaRafed
0303Nasai.TasmiyatFuqahaAmsar.Shamela0005839BK6-ara2,0.8761,RELEASE
Shamela096966.txt,0.87609,raw_ShamelaY19
0303Nasai.TasmiyatFuqahaAmsar.PV0001-ara4,0.87466,RELEASE
5862.json,0.87426,RAWrabicaShamAY1
11036.bok.json,0.87421,RAWrabicaSham19Y
Shamela026857.txt,0.87409,raw_ShamelaY19
1766.html,0.8739,RAWrabicaRafed
0365IbnCadiJurjani.AsamiManRawaCanhum.JK000740-ara1,0.87385,RELEASE
Sham30K0002722,0.87361,RAWrabica005000
15631.automARkdown,0.87356,RAW_Ghbook
11036.json,0.87352,RAWrabicaShamAY2
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1,0.87276,RELEASE
0195MuarrijSadusi.HadhfMinNasabQuraysh.JK010496-ara1,0.87273,RELEASE
30327.json,0.87271,RAWrabicaShamAY2
Shamela021552.txt,0.87259,raw_ShamelaY19
0303Nasai.TasmiyatFuqahaAmsar.Shamela0006004BK1-ara3,0.87256,RELEASE
Sham30K0033963,0.87246,RAWrabica020000
1767.html,0.87239,RAWrabicaRafed
21552.json,0.87238,RAWrabicaShamAY2
Shia003457,0.87197,RAWrabica045000
26112.json,0.87163,RAWrabicaShamAY2
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.87159,RELEASE
496.json,0.87159,RAWrabicaShamAY1
32503.json,0.87149,RAWrabicaShamAY2
0395IbnMandahMuhammad.FathBab.JK007024-ara1,0.87103,RELEASE
0395IbnMandahMuhammad.FathBab.Shamela0005813-ara1,0.87097,RELEASE
Sham30K0033932,0.87088,RAWrabica020000
9076.json,0.87085,RAWrabicaShamAY1
2981.html,0.87079,RAWrabicaRafed
0303Nasai.TasmiyatFuqahaAmsar.Shia001971BK1-ara3,0.87079,RELEASE
0496.bok.json,0.87072,RAWrabicaSham19Y
2902.html,0.87068,RAWrabicaRafed
Shamela030327.txt,0.87045,raw_ShamelaY19
5860.json,0.87011,RAWrabicaShamAY1
5813.bok.json,0.87006,RAWrabicaSham19Y
2642.automARkdown,0.87,RAW_Ghbook
0428IbnManjuwayhIsbahani.RijalSahihMuslim.Shamela0005860-ara1,0.86936,RELEASE
Shamela030646.txt,0.86929,raw_ShamelaY19
0303Nasai.TasmiyatFuqahaAmsar.JK000697BK1-ara3,0.86928,RELEASE
30257.json,0.86895,RAWrabicaShamAY2
2904.html,0.86875,RAWrabicaRafed
5813.json,0.86862,RAWrabicaShamAY1
30594.json,0.8684,RAWrabicaShamAY2
30257.bok.json,0.86814,RAWrabicaSham19Y
2312.html,0.86781,RAWrabicaRafed
2283.html,0.86764,RAWrabicaRafed
5924.json,0.86756,RAWrabicaShamAY1
33580.json,0.8673,RAWrabicaShamAY2
0507IbnQaysarani.AnsabMuttafiqa.Shamela0021552-ara1,0.86729,RELEASE
1765.html,0.86719,RAWrabicaRafed
2332.html,0.86717,RAWrabicaRafed
