unknown,TFIDF_cosine,libVar
0412Sulami.TabaqatSufiyya.JK001243-ara1,0.98571,RELEASE
0412Sulami.TabaqatSufiyya.Shamela0006686-ara1,0.98566,RELEASE
6686.json,0.98521,RAWrabicaShamAY1
9953.json,0.88364,RAWrabicaShamAY1
0465IbnHawazinQushayri.RisalaQushayriyya.Shamela0009953-ara1,0.88362,RELEASE
0465IbnHawazinQushayri.RisalaQushayriyya.JK009321-ara1,0.88009,RELEASE
9356.bok.json,0.85385,RAWrabicaSham19Y
0275IbnMuhammadMarwazi.AkhbarShuyukh.Shamela0009356-ara1,0.85335,RELEASE
9356.json,0.85221,RAWrabicaShamAY1
8711.json,0.8165,RAW_ABLibrary
0405IbnHusaynHamadhani.FawaidWaAkhbar.Shamela0026505-ara1,0.80814,RELEASE
26505.json,0.80702,RAWrabicaShamAY2
5997.json,0.8069,RAWrabicaShamAY1
0405HakimNaysaburi.MadkhalIlaIklil.Shamela0005997-ara1,0.80638,RELEASE
5997.bok.json,0.80606,RAWrabicaSham19Y
0463KhatibBaghdadi.MuntakhabMinZuhdWaRaqaiq.Shamela0022551-ara1,0.80499,RELEASE
0463KhatibBaghdadi.MuntakhabMinZuhdWaRaqaiq.JK009186-ara1,0.80445,RELEASE
Shamela022551.txt,0.80409,raw_ShamelaY19
0405HakimNaysaburi.MadkhalIlaIklil.JK000804-ara1,0.80395,RELEASE
Shamela026505.txt,0.80156,raw_ShamelaY19
22551.json,0.80088,RAWrabicaShamAY2
Shamela022797.txt,0.79454,raw_ShamelaY19
0458Bayhaqi.ManaqibShafici.Sham19Y0022797-ara1,0.79433,RELEASE
31688.json,0.79387,RAWrabicaShamAY2
0454IbnAhmadRazi.AhadithFiDhammKalam.Shia004492-ara1,0.79311,RELEASE
0241IbnHanbal.Musnad.Shamela0098139-ara3,0.79205,RELEASE
0454IbnAhmadRazi.AhadithFiDhammKalam.JK008000-ara1,0.7908,RELEASE
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.78956,RELEASE
26462.json,0.78949,RAWrabicaShamAY2
Shamela098139.txt,0.78922,raw_ShamelaY19
Sham30K0008247,0.78904,RAWrabica010000
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.78886,RELEASE
0412IbnMuhammadHarawi.ArbacunaFiShuyukhSufiyya.Shamela0008247-ara1,0.78854,RELEASE
Shamela151099.txt,0.78846,raw_ShamelaY19
34809.json,0.78685,RAWrabicaShamAY3
33976.json,0.78609,RAWrabicaShamAY2
0454IbnAhmadRazi.AhadithFiDhammKalam.Shamela0026462-ara1,0.78525,RELEASE
0526IbnAbiYacla.TabaqatHanabila.Shamela0009543-ara1,0.7849,RELEASE
9543.json,0.78489,RAWrabicaShamAY1
Shamela026462.txt,0.7822,raw_ShamelaY19
Sham30K0033825,0.78201,RAWrabica020000
Sham30K0002659,0.78165,RAWrabica005000
26462.bok.json,0.78159,RAWrabicaSham19Y
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.78108,RELEASE
13035.bok.json,0.78055,RAWrabicaSham19Y
8247.json,0.78029,RAWrabicaShamAY1
98139.bok.json,0.78011,RAWrabicaSham19Y
13025.json,0.78003,RAWrabicaShamAY2
