unknown,TFIDF_cosine,libVar
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shamela0013146-ara1,0.99791,RELEASE
13146.json,0.99774,RAWrabicaShamAY2
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.99742,RELEASE
13146.bok.json,0.99665,RAWrabicaSham19Y
1453.json,0.97254,RAWrabicaShamAY1
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.97243,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.97208,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.97181,RELEASE
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.9717,RELEASE
12842.json,0.97142,RAWrabicaShamAY2
13147.json,0.97131,RAWrabicaShamAY2
32927.json,0.96301,RAWrabicaShamAY2
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.96282,RELEASE
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.9592,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.95813,RELEASE
Sham30K0008237,0.95804,RAWrabica010000
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.95779,RELEASE
26884.json,0.95758,RAWrabicaShamAY2
Shamela026884.txt,0.95753,raw_ShamelaY19
13163.json,0.95737,RAWrabicaShamAY2
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.95717,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.95613,RELEASE
9324.json,0.95524,RAWrabicaShamAY1
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.95502,RELEASE
32781.json,0.95472,RAWrabicaShamAY2
9324.bok.json,0.9547,RAWrabicaSham19Y
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.95411,RELEASE
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.95207,RELEASE
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.95184,RELEASE
Shamela026878.txt,0.95177,raw_ShamelaY19
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.95173,RELEASE
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.95172,RELEASE
26878.json,0.95141,RAWrabicaShamAY2
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.95066,RELEASE
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.95036,RELEASE
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.94999,RELEASE
5562.json,0.94998,RAWrabicaShamAY1
Shamela029746.txt,0.94992,raw_ShamelaY19
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.Shamela0005562-ara1,0.94971,RELEASE
5562.bok.json,0.94963,RAWrabicaSham19Y
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.94961,RELEASE
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,0.94957,RELEASE
32921.json,0.94855,RAWrabicaShamAY2
Shamela029911.txt,0.94833,raw_ShamelaY19
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.94817,RELEASE
29911.json,0.94802,RAWrabicaShamAY2
1375.json,0.94764,RAWrabicaShamAY1
Shamela029942.txt,0.94718,raw_ShamelaY19
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.94713,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.947,RELEASE
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.94659,RELEASE
10490.json,0.94656,RAWrabicaShamAY1
32841.json,0.9465,RAWrabicaShamAY2
35235.json,0.94644,RAWrabicaShamAY3
0439IbnMuhammadKhallal.Amali.Shamela0009311-ara1,0.94641,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.94617,RELEASE
Shamela026921.txt,0.94609,raw_ShamelaY19
0395IbnMandahMuhammad.Fawaid.Shamela0009347-ara1,0.94544,RELEASE
32757.json,0.94543,RAWrabicaShamAY2
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.94532,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.94532,RELEASE
0395IbnMandahMuhammad.Fawaid.JK000587-ara1,0.94528,RELEASE
0458Bayhaqi.MadkhalIlaSunanKubra.Shamela0013061-ara1,0.94445,RELEASE
Shamela029747.txt,0.94432,raw_ShamelaY19
0443IbnCaliBasri.HadithMalik.Shamela0021696-ara1,0.94427,RELEASE
12992.json,0.94421,RAWrabicaShamAY2
32749.json,0.944,RAWrabicaShamAY2
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.94395,RELEASE
Shamela131336.txt,0.94395,raw_ShamelaY19
0418AbuMansurIsfahani.Arbacuna.ShamAY0032757-ara1,0.94392,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.94338,RELEASE
8237.json,0.94319,RAWrabicaShamAY1
32752.json,0.94314,RAWrabicaShamAY2
13061.json,0.94244,RAWrabicaShamAY2
1225.json,0.94172,RAWrabicaShamAY1
26559.json,0.94162,RAWrabicaShamAY2
0430AbuNucaymIsbahani.ArbacunaMinTibb.Shamela0029766-ara1,0.94155,RELEASE
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.94142,RELEASE
0485NizamMulkWazir.Amali.Shamela0009608-ara1,0.94138,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.94129,RELEASE
Shamela029766.txt,0.94128,raw_ShamelaY19
32924.json,0.94128,RAWrabicaShamAY2
29746.json,0.94121,RAWrabicaShamAY2
9311.json,0.941,RAWrabicaShamAY1
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.94098,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.94077,RELEASE
31639.json,0.94075,RAWrabicaShamAY2
1319.json,0.94068,RAWrabicaShamAY1
