unknown,TFIDF_cosine,libVar
34245.json,0.99996,RAWrabicaShamAY3
7262.json,0.99946,RAWrabicaShamAY1
0422QadiCabdWahhabThaclabi.TalqinFiFiqh.Shamela0007262-ara1,0.99945,RELEASE
34228.json,0.87931,RAWrabicaShamAY3
0381IbnZarbQadi.Khisal.ShamAY0034241-ara1,0.87552,RELEASE
001010.automARkdown,0.87445,RAW_Masaha
0386IbnAbiZaydQayrawani.Risala.Shia000903-ara1,0.87086,RELEASE
0386IbnAbiZaydQayrawani.Risala.JK000171-ara1,0.86986,RELEASE
0386IbnAbiZaydQayrawani.Risala.Shamela0011373-ara1,0.8695,RELEASE
11373.bok.json,0.8682,RAWrabicaSham19Y
11373.json,0.86691,RAWrabicaShamAY2
0450AbuHasanMawardi.IqnacFiFiqh.JK000290-ara1,0.86046,RELEASE
0450AbuHasanMawardi.IqnacFiFiqh.Shamela0006120-ara1,0.86005,RELEASE
6120.bok.json,0.85789,RAWrabicaSham19Y
6120.json,0.85714,RAWrabicaShamAY1
34241.json,0.85187,RAWrabicaShamAY3
Shamela021516.txt,0.84973,raw_ShamelaY19
21516.json,0.84356,RAWrabicaShamAY2
000984.automARkdown,0.84163,RAW_Masaha
Shamela037344.txt,0.83999,raw_ShamelaY19
619.json,0.83978,RAWrabicaShamAY1
000621.automARkdown,0.83933,RAW_Masaha
2977.json,0.83794,RAWrabicaShamAY1
37992.json,0.8348,RAWrabicaShamAY3
0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.Shamela0002977-ara1,0.83227,RELEASE
Shamela019233.txt,0.83225,raw_ShamelaY19
Shamela026094.txt,0.83106,raw_ShamelaY19
0510AbuKhattabKalwadhani.Hidaya.Sham19Y0026094-ara1,0.83084,RELEASE
000616Vols.automARkdown,0.82972,RAW_Masaha
Shamela035120.txt,0.82887,raw_ShamelaY19
0463IbnCabdBarr.KafiFiFiqh.Shamela0007367-ara1,0.82881,RELEASE
229.json,0.82852,RAWrabicaShamAY1
0463IbnCabdBarr.KafiFiFiqh.Shia002157-ara1,0.82847,RELEASE
7367.json,0.82827,RAWrabicaShamAY1
0463IbnCabdBarr.KafiFiFiqh.JK000881-ara1,0.82806,RELEASE
0463IbnCabdBarr.KafiFiFiqh.ShamAY0034246-ara1,0.82792,RELEASE
1256.html,0.82716,RAWrabicaRafed
11315.bok.json,0.8255,RAWrabicaSham19Y
34246.json,0.82524,RAWrabicaShamAY3
1293.html,0.82482,RAWrabicaRafed
11315.json,0.82451,RAWrabicaShamAY2
0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.JK000428-ara1,0.82439,RELEASE
003673Vols.automARkdown,0.82429,RAW_Masaha
34242.json,0.82334,RAWrabicaShamAY3
0560IbnCaliIbnHamzaTusi.Wasila.Shia000046-ara1,0.82305,RELEASE
000627.automARkdown,0.82204,RAW_Masaha
34270.json,0.82099,RAWrabicaShamAY3
0448SallarIbnCabdCaziz.MarasimCalawiyya.Shia000024-ara1,0.82083,RELEASE
001265.automARkdown,0.8208,RAW_Masaha
000622.automARkdown,0.81869,RAW_Masaha
0428AbuHusaynQuduri.Mukhtasar.Sham19Y0124336-ara1,0.81862,RELEASE
000582.automARkdown,0.81792,RAW_Masaha
Shamela124336.txt,0.81771,raw_ShamelaY19
Sham30K0034019,0.81707,RAWrabica020000
11230.json,0.81699,RAWrabicaShamAY2
31948.json,0.81632,RAWrabicaShamAY2
34260.json,0.81618,RAWrabicaShamAY3
Shia002157,0.81391,RAWrabica040000
32574.json,0.8139,RAWrabicaShamAY2
000722Vols.automARkdown,0.81385,RAW_Masaha
9766.json,0.81145,RAW_ABLibrary
3616.html,0.81013,RAWrabicaRafed
001017.automARkdown,0.80895,RAW_Masaha
1390AhmadIbnQasimCanasi.TajMudhhab.Zaydiyya0000061-ara1,0.80876,RELEASE
0481IbnBarrajTarabulusi.Muhadhdhib.Shia000043Vols-ara1,0.80735,RELEASE
005140.automARkdown,0.80605,RAW_Masaha
Shamela036111.txt,0.80584,raw_ShamelaY19
0363QadiNucman.Iqtisar.Tess21020914-ara1,0.8049,RELEASE
34267.json,0.80448,RAWrabicaShamAY3
1276.html,0.80428,RAWrabicaRafed
0447AbuSalahHalabi.Kafi.Shia000023-ara1,0.80191,RELEASE
001521.automARkdown,0.80134,RAW_Masaha
6146.json,0.80133,RAWrabicaShamAY1
9775.json,0.80064,RAW_ABLibrary
003639.automARkdown,0.80002,RAW_Masaha
14386.bok.json,0.79938,RAWrabicaSham19Y
32418.json,0.79929,RAWrabicaShamAY2
9666.json,0.79815,RAW_ABLibrary
1269.html,0.79797,RAWrabicaRafed
001162Vols.automARkdown,0.79789,RAW_Masaha
37375.json,0.79755,RAWrabicaShamAY3
147311.bok.json,0.79693,RAWrabicaSham19Y
000918.automARkdown,0.79574,RAW_Masaha
004950Vols.automARkdown,0.79514,RAW_Masaha
11196.bok.json,0.79479,RAWrabicaSham19Y
Shamela147311.txt,0.794,raw_ShamelaY19
0458AbuYaclaIbnFarra.AhkamSultaniyya.Shamela0022877-ara1,0.79385,RELEASE
Shamela022877.txt,0.79353,raw_ShamelaY19
7360.json,0.79314,RAWrabicaShamAY1
Shamela096876.txt,0.79288,raw_ShamelaY19
000953.automARkdown,0.7926,RAW_Masaha
11196.json,0.79259,RAWrabicaShamAY2
802.html,0.79253,RAWrabicaRafed
0460ShaykhTusi.Nihaya.Shia000041-ara1,0.79205,RELEASE
001073.automARkdown,0.79192,RAW_Masaha
22877.json,0.7919,RAWrabicaShamAY2
000982.automARkdown,0.79188,RAW_Masaha
6309.json,0.79146,RAWrabicaShamAY1
6309.bok.json,0.79115,RAWrabicaSham19Y
002313.automARkdown,0.79111,RAW_Masaha
000719Vols.automARkdown,0.79106,RAW_Masaha
34232.json,0.79089,RAWrabicaShamAY3
32017.json,0.7908,RAWrabicaShamAY2
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.79065,RELEASE
000998Vols.automARkdown,0.79002,RAW_Masaha
3614.html,0.79,RAWrabicaRafed
001030Vols.automARkdown,0.78962,RAW_Masaha
001078Vols.automARkdown,0.78877,RAW_Masaha
0460ShaykhTusi.Mabsut.Shia000033Vols-ara1,0.78866,RELEASE
34810.json,0.78863,RAWrabicaShamAY3
Shamela026535.txt,0.78853,raw_ShamelaY19
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.78851,RELEASE
005110Vols.automARkdown,0.78832,RAW_Masaha
Shamela096180.txt,0.78827,raw_ShamelaY19
506.json,0.78734,RAWrabicaShamAY1
000751.automARkdown,0.78648,RAW_Masaha
001062.automARkdown,0.78563,RAW_Masaha
000598Vols.automARkdown,0.78548,RAW_Masaha
8430.json,0.78518,RAW_ABLibrary
001129Vols.automARkdown,0.78498,RAW_Masaha
000614.automARkdown,0.78495,RAW_Masaha
Shamela021802.txt,0.78492,raw_ShamelaY19
0364AbuHasanBisyawi.Mukhtasar.ShamIbadiyya0000473-ara1,0.78474,RELEASE
36516.json,0.78467,RAWrabicaShamAY3
1282.html,0.78346,RAWrabicaRafed
Shamela018353.txt,0.78328,raw_ShamelaY19
34196.json,0.7832,RAWrabicaShamAY3
2025.json,0.78284,RAWrabicaShamAY1
34195.json,0.78278,RAWrabicaShamAY3
001460.automARkdown,0.78276,RAW_Masaha
12078.automARkdown,0.78206,RAW_Ghbook
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.78197,RELEASE
21802.json,0.78144,RAWrabicaShamAY2
Shamela020986.txt,0.78139,raw_ShamelaY19
33199.json,0.78097,RAWrabicaShamAY2
0513AbuWafaIbnCaqil.TadhkiraFiFiqh.Sham19Y0017363-ara1,0.78093,RELEASE
11142.automARkdown,0.78077,RAW_Ghbook
7725.json,0.7807,RAWrabicaShamAY1
6193.json,0.78018,RAWrabicaShamAY1
6170.json,0.77989,RAWrabicaShamAY1
11400.json,0.77986,RAWrabicaShamAY2
Shamela029577.txt,0.77974,raw_ShamelaY19
38891.json,0.77969,RAWrabicaShamAY3
1267.html,0.77946,RAWrabicaRafed
000724Vols.automARkdown,0.77942,RAW_Masaha
10526.json,0.77911,RAWrabicaShamAY1
Shamela122232.txt,0.77909,raw_ShamelaY19
9615.json,0.77903,RAW_ABLibrary
1300.html,0.77882,RAWrabicaRafed
0513AbuWafaIbnCaqil.WadihFiUsulFiqh.Sham19Y0122232-ara1,0.77824,RELEASE
0381IbnBabawayh.Muqnic.Shia000003-ara1,0.77792,RELEASE
1387MuhammadIbnSalimRuqayshi.NurWaqqad.ShamIbadiyya0000237-ara1,0.77788,RELEASE
1315.html,0.77777,RAWrabicaRafed
000713.automARkdown,0.77773,RAW_Masaha
0460ShaykhTusi.RasailCashar.Shia000032-ara1,0.77752,RELEASE
6185.json,0.77727,RAWrabicaShamAY1
Sham30K0033888,0.77711,RAWrabica020000
001263.automARkdown,0.77674,RAW_Masaha
17500.bok.json,0.77659,RAWrabicaSham19Y
1250.html,0.77648,RAWrabicaRafed
7037.json,0.77636,RAWrabicaShamAY1
000994.automARkdown,0.77629,RAW_Masaha
34214.json,0.77589,RAWrabicaShamAY3
7037.bok.json,0.77569,RAWrabicaSham19Y
001142Vols.automARkdown,0.77561,RAW_Masaha
0450AbuHasanMawardi.AhkamSultaniyya.JK001309-ara2,0.77536,RELEASE
Shamela123663.txt,0.77489,raw_ShamelaY19
1312.html,0.77484,RAWrabicaRafed
000626.automARkdown,0.77468,RAW_Masaha
7441.json,0.77467,RAWrabicaShamAY1
Shamela018610.txt,0.77464,raw_ShamelaY19
897.json,0.77431,RAWrabicaShamAY1
32289.json,0.77431,RAWrabicaShamAY2
0476AbuIshaqShirazi.TanbihFiFiqhShafici.JK000303-ara1,0.77418,RELEASE
7589.json,0.77395,RAWrabicaShamAY1
11370.automARkdown,0.7739,RAW_Ghbook
1264.html,0.77385,RAWrabicaRafed
37720.json,0.77372,RAWrabicaShamAY3
0450AbuHasanMawardi.AhkamSultaniyya.Shamela0022881-ara1,0.77369,RELEASE
12056.automARkdown,0.77334,RAW_Ghbook
0476AbuIshaqShirazi.TanbihFiFiqhShafici.Shamela0007589-ara1,0.77333,RELEASE
1602.json,0.77328,RAWrabicaShamAY1
0428AbuCaliHashimi.IrshadIlaSabilRashad.Sham19Y0013571-ara1,0.77324,RELEASE
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.77312,RELEASE
13664.bok.json,0.77303,RAWrabicaSham19Y
001149.automARkdown,0.77299,RAW_Masaha
0329IbnBabawayh.FiqhRida.Shia000002-ara1,0.77291,RELEASE
13088.json,0.77284,RAWrabicaShamAY2
1717.json,0.77263,RAWrabicaShamAY1
3319.html,0.77243,RAWrabicaRafed
32675.json,0.77242,RAWrabicaShamAY2
1040.json,0.77237,RAWrabicaShamAY1
6392.json,0.77235,RAWrabicaShamAY1
Shamela022881.txt,0.77202,raw_ShamelaY19
6136.json,0.77189,RAWrabicaShamAY1
001566Vols.automARkdown,0.77185,RAW_Masaha
000601Vols.automARkdown,0.77178,RAW_Masaha
38907.json,0.77178,RAWrabicaShamAY3
001443.automARkdown,0.77165,RAW_Masaha
Shamela021496.txt,0.77159,raw_ShamelaY19
3615.html,0.77153,RAWrabicaRafed
0415IbnMuhammadMahamili.LubabFiFiqhShafici.Shamela0008534-ara1,0.77146,RELEASE
Shamela019230.txt,0.77145,raw_ShamelaY19
001498.automARkdown,0.77142,RAW_Masaha
31845.json,0.77129,RAWrabicaShamAY2
6356.json,0.77121,RAWrabicaShamAY1
Shamela021735.txt,0.77117,raw_ShamelaY19
0520IbnRushdJadd.Muqaddimat.Shamela0021735-ara1,0.77116,RELEASE
Shamela147658.txt,0.77113,raw_ShamelaY19
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.77108,RELEASE
3372.html,0.77095,RAWrabicaRafed
Shamela022664.txt,0.77093,raw_ShamelaY19
31929.json,0.77067,RAWrabicaShamAY2
6115.json,0.77038,RAWrabicaShamAY1
1302.html,0.77034,RAWrabicaRafed
001193Vols.automARkdown,0.77026,RAW_Masaha
32011.json,0.77023,RAWrabicaShamAY2
37372.json,0.77003,RAWrabicaShamAY3
0362IbnBaraka.Jamic.ShamIbadiyya0000204-ara1,0.76998,RELEASE
33867.json,0.76987,RAWrabicaShamAY2
002399.automARkdown,0.76968,RAW_Masaha
000587Vols.automARkdown,0.76958,RAW_Masaha
Sham30K0033880,0.76955,RAWrabica020000
8402.json,0.76928,RAW_ABLibrary
Sham30K0039089,0.76909,RAWrabica025000
10428.json,0.7689,RAWrabicaShamAY1
8506.json,0.76884,RAWrabicaShamAY1
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.76862,RELEASE
2007.html,0.76841,RAWrabicaRafed
000989.automARkdown,0.76837,RAW_Masaha
9973.json,0.7681,RAWrabicaShamAY1
005018.automARkdown,0.76797,RAW_Masaha
649.json,0.76776,RAWrabicaShamAY1
22842.bok.json,0.76753,RAWrabicaSham19Y
Shamela021595.txt,0.7674,raw_ShamelaY19
15619.automARkdown,0.76739,RAW_Ghbook
000814Vols.automARkdown,0.76737,RAW_Masaha
Shamela029570.txt,0.76733,raw_ShamelaY19
Shamela133369.txt,0.76727,raw_ShamelaY19
Shamela022842.txt,0.76713,raw_ShamelaY19
2081.html,0.76677,RAWrabicaRafed
0499IbnSimnani.RawdatQudat.Sham19Y0018608-ara1,0.76675,RELEASE
001023.automARkdown,0.76664,RAW_Masaha
Shamela018608.txt,0.7666,raw_ShamelaY19
7377.json,0.76658,RAWrabicaShamAY1
