unknown,TFIDF_cosine,libVar
26533.json,0.99964,RAWrabicaShamAY2
Shamela026533.txt,0.99847,raw_ShamelaY19
35229.json,0.95142,RAWrabicaShamAY3
0423AbuQasimHurfi.Fawaid.Shamela0026584-ara1,0.93107,RELEASE
1401.json,0.93071,RAWrabicaShamAY1
Shamela026584.txt,0.93017,raw_ShamelaY19
0273IbnMaja.Sunan.Shamela0098138-ara1,0.93014,RELEASE
Shamela098138.txt,0.92998,raw_ShamelaY19
Sham30K0038957,0.92959,RAWrabica025000
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.92919,RELEASE
26584.json,0.92908,RAWrabicaShamAY2
0371AhmadJurjani.Mucjam.JK000760-ara1,0.92866,RELEASE
Sham30K0039018,0.92759,RAWrabica025000
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.92743,RELEASE
38094.json,0.92722,RAWrabicaShamAY3
0405HakimNaysaburi.Mustadrak.ShamAY0033941-ara3,0.92676,RELEASE
33941.json,0.92661,RAWrabicaShamAY2
1271.json,0.92494,RAWrabicaShamAY1
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.92471,RELEASE
33567.json,0.92449,RAWrabicaShamAY2
26564.bok.json,0.92426,RAWrabicaSham19Y
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.92425,RELEASE
21476.bok.json,0.92408,RAWrabicaSham19Y
Shamela021476.txt,0.92357,raw_ShamelaY19
Shamela026564.txt,0.92355,raw_ShamelaY19
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.9234,RELEASE
33959.json,0.92324,RAWrabicaShamAY2
21476.json,0.92306,RAWrabicaShamAY2
26564.json,0.92303,RAWrabicaShamAY2
9595.json,0.92292,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.92286,RELEASE
9595.bok.json,0.92283,RAWrabicaSham19Y
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.92282,RELEASE
