unknown,TFIDF_cosine,libVar
0428IbnSina.Nafs.ALCorpus00004-ara1,0.80663,RELEASE
0428IbnSina.Nafs.ALCorpus00004-ara1,0.80595,RELEASE
0428IbnSina.AfcalWaInficalat.ALCorpus00001-ara2,0.79553,RELEASE
0428IbnSina.AfcalWaInficalat.ALCorpus00001-ara2,0.79412,RELEASE
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.78382,RELEASE
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.78222,RELEASE
904.html,0.78144,RAWrabicaRafed
0595IbnRushdHafid.TalkhisKawnWaFasad.DARE00021-ara1,0.7806,RELEASE
1722.html,0.77671,RAWrabicaRafed
9879.json,0.7757,RAW_ABLibrary
9878.json,0.77127,RAW_ABLibrary
1050SadrDinShirazi.HikmaMutacaliya.Shia004695Vols-ara1,0.76945,RELEASE
3070.html,0.7663,RAWrabicaRafed
8586.json,0.75634,RAW_ABLibrary
0683IbnMansurIbnKammuna.JadidFiHikma.JK007008-ara1,0.75152,RELEASE
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.74829,RELEASE
33849.json,0.74737,RAWrabicaShamAY2
8519.json,0.74725,RAW_ABLibrary
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.7465,RELEASE
0505Ghazali.MacarijQuds.JK000061-ara1,0.74647,RELEASE
6494.json,0.74619,RAWrabicaShamAY1
8650.json,0.74589,RAW_ABLibrary
1723.html,0.74487,RAWrabicaRafed
8657.json,0.74095,RAW_ABLibrary
8316.json,0.74011,RAW_ABLibrary
3670.html,0.73737,RAWrabicaRafed
8522.json,0.7372,RAW_ABLibrary
3591.html,0.73675,RAWrabicaRafed
8646.json,0.73628,RAW_ABLibrary
0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1,0.73455,RELEASE
7950.automARkdown,0.73439,RAW_Ghbook
9981.json,0.73402,RAW_ABLibrary
34687.json,0.73364,RAWrabicaShamAY3
0471CabdQahirJurjani.DalailIcjaz.JK001019-ara1,0.73164,RELEASE
0471CabdQahirJurjani.DalailIcjaz.ShamAY0034098-ara1,0.73142,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0037697-ara1,0.73105,RELEASE
Shamela037697.txt,0.73078,raw_ShamelaY19
1128.html,0.72934,RAWrabicaRafed
8633.json,0.72901,RAW_ABLibrary
34098.json,0.72892,RAWrabicaShamAY2
2081.html,0.72781,RAWrabicaRafed
8647.json,0.72746,RAW_ABLibrary
8311.json,0.72727,RAW_ABLibrary
3481.html,0.72711,RAWrabicaRafed
3405.html,0.72691,RAWrabicaRafed
8326.json,0.72639,RAW_ABLibrary
8673.json,0.7263,RAW_ABLibrary
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.72585,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.72511,RELEASE
8480.json,0.72503,RAW_ABLibrary
1040.json,0.72446,RAWrabicaShamAY1
8634.json,0.72416,RAW_ABLibrary
9816.json,0.72378,RAW_ABLibrary
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.72373,RELEASE
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.72281,RELEASE
0595IbnRushdHafid.TalkhisSamaWaCalam.DARE00109-ara1,0.72279,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.72251,RELEASE
8635.json,0.72251,RAW_ABLibrary
8328.json,0.72248,RAW_ABLibrary
8455.json,0.72222,RAW_ABLibrary
Shamela096180.txt,0.72209,raw_ShamelaY19
Shamela022664.txt,0.72117,raw_ShamelaY19
Sham30K0014344,0.71989,RAWrabica015000
12834.json,0.71983,RAWrabicaShamAY2
8465.json,0.71938,RAW_ABLibrary
3315.html,0.71918,RAWrabicaRafed
8613.json,0.7186,RAW_ABLibrary
3319.html,0.71841,RAWrabicaRafed
8641.json,0.71831,RAW_ABLibrary
8668.json,0.718,RAW_ABLibrary
3312.html,0.71796,RAWrabicaRafed
8394.json,0.71762,RAW_ABLibrary
1056.json,0.71758,RAWrabicaShamAY1
8474.json,0.71754,RAW_ABLibrary
0631SayyidDinAmidiThaclabi.GhayatMaram.JK000324-ara1,0.71662,RELEASE
6364.json,0.71643,RAWrabicaShamAY1
3583.html,0.71581,RAWrabicaRafed
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.71567,RELEASE
003448Vols.automARkdown,0.71559,RAW_Masaha
8424.json,0.71559,RAW_ABLibrary
8187.json,0.71525,RAWrabicaShamAY1
8403.json,0.71519,RAW_ABLibrary
6364.bok.json,0.71519,RAWrabicaSham19Y
8402.json,0.71496,RAW_ABLibrary
35972.json,0.71492,RAWrabicaShamAY3
3614.html,0.71482,RAWrabicaRafed
8187.bok.json,0.71427,RAWrabicaSham19Y
8593.json,0.71405,RAW_ABLibrary
0471CabdQahirJurjani.AsrarBalagha.Shamela0008187-ara1,0.71393,RELEASE
12720.bok.json,0.71345,RAWrabicaSham19Y
0471CabdQahirJurjani.AsrarBalagha.JK006906-ara1,0.71327,RELEASE
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.71297,RELEASE
0505Ghazali.MahkNazar.Shamela0026538-ara1,0.71294,RELEASE
0421Miskawayh.TahdhibAkhlaq.JK010252-ara1,0.71293,RELEASE
0428IbnSina.Mantiq.JK010704-ara1,0.71261,RELEASE
Shamela026538.txt,0.71257,raw_ShamelaY19
4135.json,0.71244,RAWrabicaShamAY1
3370.html,0.71229,RAWrabicaRafed
0421Miskawayh.HawamilWaShawamil.Shamela0004135-ara1,0.7122,RELEASE
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.71199,RELEASE
8335.json,0.71193,RAW_ABLibrary
000998Vols.automARkdown,0.71184,RAW_Masaha
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.71179,RELEASE
12318.bok.json,0.71174,RAWrabicaSham19Y
4135.bok.json,0.7117,RAWrabicaSham19Y
0428IbnSina.Mantiq.ShamAY0035934-ara1,0.71169,RELEASE
3424.html,0.71161,RAWrabicaRafed
0505Ghazali.MahkNazar.Shamela0026538-ara1,0.71133,RELEASE
8612.json,0.71094,RAW_ABLibrary
8622.json,0.71087,RAW_ABLibrary
0428IbnSina.Mantiq.JK010704-ara1,0.71084,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.71077,RELEASE
8632.json,0.71076,RAW_ABLibrary
12720.json,0.71072,RAWrabicaShamAY2
0421Miskawayh.HawamilWaShawamil.Shamela0004135-ara1,0.71069,RELEASE
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.71054,RELEASE
35934.json,0.71054,RAWrabicaShamAY3
0421Miskawayh.HawamilWaShawamil.JK009255-ara1,0.71039,RELEASE
0505Ghazali.MicyarCilm.Shamela0026575-ara1,0.71016,RELEASE
0400IbnTahirMaqdisi.BadWaTarikh.JK001289-ara1,0.71015,RELEASE
3570.html,0.70992,RAWrabicaRafed
0259HunaynIbnIshaq.JalinusFiUstuqussat.GRAR000041-ara1,0.70982,RELEASE
34078.json,0.70975,RAWrabicaShamAY2
3515.html,0.70963,RAWrabicaRafed
8387.json,0.70962,RAW_ABLibrary
12318.json,0.70951,RAWrabicaShamAY2
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.70886,RELEASE
26575.bok.json,0.70858,RAWrabicaSham19Y
3457.html,0.70839,RAWrabicaRafed
8577.json,0.70832,RAW_ABLibrary
26538.json,0.70824,RAWrabicaShamAY2
Shamela026575.txt,0.70823,raw_ShamelaY19
9217.json,0.70779,RAWrabicaShamAY1
0505Ghazali.MicyarCilm.JK010716-ara1,0.70768,RELEASE
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.7076,RELEASE
0505Ghazali.MicyarCilm.Shamela0026575-ara1,0.70754,RELEASE
3641.html,0.70738,RAWrabicaRafed
0259HunaynIbnIshaq.JalinusFiUstuqussat.GRAR000041-ara1,0.70729,RELEASE
0505Ghazali.Iqtisad.Shamela0009217-ara1,0.70716,RELEASE
0456IbnHazm.TaqribLiHaddMantiq.Shamela0001028-ara1,0.70694,RELEASE
8573.json,0.70692,RAW_ABLibrary
005089Vols.automARkdown,0.70676,RAW_Masaha
3450.html,0.70675,RAWrabicaRafed
8520.json,0.70669,RAW_ABLibrary
8769.json,0.70649,RAW_ABLibrary
3616.html,0.70636,RAWrabicaRafed
0505Ghazali.Tahafut.Shamela0011055-ara1,0.70617,RELEASE
1039.json,0.70613,RAWrabicaShamAY1
26575.json,0.70593,RAWrabicaShamAY2
0505Ghazali.Iqtisad.JK009219-ara1,0.7057,RELEASE
0505Ghazali.Iqtisad.Shamela0009217-ara1,0.70562,RELEASE
1028.json,0.70561,RAWrabicaShamAY1
34796.json,0.70548,RAWrabicaShamAY3
8464.json,0.7054,RAW_ABLibrary
12055.bok.json,0.7054,RAWrabicaSham19Y
004743.automARkdown,0.70534,RAW_Masaha
0456IbnHazm.TaqribLiHaddMantiq.Shamela0001028-ara1,0.70529,RELEASE
0436SharifMurtada.ShafiFiImama.Shia003996Vols-ara1,0.70487,RELEASE
0581IbnTufayl.HayyIbnYaqzan.Shamela0009734-ara1,0.70486,RELEASE
0505Ghazali.Tahafut.Shamela0011055-ara1,0.70457,RELEASE
8631.json,0.70433,RAW_ABLibrary
8430.json,0.70422,RAW_ABLibrary
9734.json,0.70414,RAWrabicaShamAY1
0581IbnTufayl.HayyIbnYaqzan.Shamela0009734-ara1,0.70413,RELEASE
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.70353,RELEASE
001015.automARkdown,0.70334,RAW_Masaha
0436SharifMurtada.ShafiFiImama.Shia003996Vols-ara1,0.70316,RELEASE
8409.json,0.703,RAW_ABLibrary
0505Ghazali.Mustasfa.Shia002916-ara1,0.70283,RELEASE
0456IbnHazm.TaqribLiHaddMantiq.JK009305-ara1,0.70263,RELEASE
5459.json,0.70253,RAWrabicaShamAY1
7918.json,0.70253,RAW_ABLibrary
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.70252,RELEASE
Shia004695Vols,0.70249,RAWrabica045000
0505Ghazali.Mustasfa.JK000276-ara1,0.70227,RELEASE
9734.bok.json,0.70202,RAWrabicaSham19Y
8649.json,0.70195,RAW_ABLibrary
11055.json,0.7019,RAWrabicaShamAY2
3592.html,0.70188,RAWrabicaRafed
0260IbnSahlTabari.FirdawsHikmaFiTibb.Shia004667-ara1,0.70183,RELEASE
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.70173,RELEASE
002326.automARkdown,0.70166,RAW_Masaha
3636.html,0.70162,RAWrabicaRafed
3615.html,0.70144,RAWrabicaRafed
8610.json,0.70126,RAW_ABLibrary
0260IbnSahlTabari.FirdawsHikmaFiTibb.Shia004667-ara1,0.70107,RELEASE
2022.json,0.70098,RAWrabicaShamAY1
37987.json,0.70092,RAWrabicaShamAY3
8759.json,0.70092,RAW_ABLibrary
0505Ghazali.Mustasfa.Shamela0005459-ara1,0.70081,RELEASE
8390.json,0.70046,RAW_ABLibrary
8603.json,0.70041,RAW_ABLibrary
34180.json,0.70037,RAWrabicaShamAY2
35258.json,0.70034,RAWrabicaShamAY3
0533IbnBajja.RasailFalsafiyya.Shamela0008301-ara1,0.70033,RELEASE
Shamela022874.txt,0.70025,raw_ShamelaY19
3474.html,0.7001,RAWrabicaRafed
0728IbnTaymiyya.Safadiyya.JK000368-ara1,0.70001,RELEASE
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.69987,RELEASE
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.69964,RELEASE
34797.json,0.69924,RAWrabicaShamAY3
3672.html,0.69923,RAWrabicaRafed
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.69921,RELEASE
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.69919,RELEASE
9805.json,0.69912,RAW_ABLibrary
8398.json,0.69911,RAW_ABLibrary
1200CabdNabiAhmadnakari.DusturCulama.Shamela0007038-ara1,0.699,RELEASE
2679.html,0.69883,RAWrabicaRafed
8628.json,0.69876,RAW_ABLibrary
0533IbnBajja.RasailFalsafiyya.Shamela0008301-ara1,0.69858,RELEASE
34368.json,0.69854,RAWrabicaShamAY3
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.69829,RELEASE
38985.json,0.69808,RAWrabicaShamAY3
7038.json,0.69798,RAWrabicaShamAY1
8611.json,0.69778,RAW_ABLibrary
3571.html,0.69775,RAWrabicaRafed
22874.json,0.69756,RAWrabicaShamAY2
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.69722,RELEASE
0699IbnMaythamBahrani.SharhMiatKalima.Shia001379-ara1,0.69722,RELEASE
3705.html,0.69713,RAWrabicaRafed
15619.automARkdown,0.69709,RAW_Ghbook
34382.json,0.69705,RAWrabicaShamAY3
8431.json,0.69666,RAW_ABLibrary
8609.json,0.69644,RAW_ABLibrary
3462.html,0.69628,RAWrabicaRafed
3900.automARkdown,0.69613,RAW_Ghbook
8614.json,0.6956,RAW_ABLibrary
2050.html,0.6955,RAWrabicaRafed
9977.json,0.6954,RAW_ABLibrary
0350Anonymous.AristutalisFiNafs.GRAR000020-ara1,0.69528,RELEASE
8301.json,0.69468,RAWrabicaShamAY1
0350Anonymous.AristutalisFiNafs.GRAR000020-ara1,0.69463,RELEASE
8315.json,0.69444,RAW_ABLibrary
003774Vols.automARkdown,0.69434,RAW_Masaha
003642Vols.automARkdown,0.6943,RAW_Masaha
753.json,0.69412,RAW_ABLibrary
Sham30K0008301,0.69406,RAWrabica010000
0672NasirDinTusi.TafsirIsharat.Shamela0006534BK2-ara1,0.6936,RELEASE
11071.bok.json,0.69341,RAWrabicaSham19Y
1746.html,0.69287,RAWrabicaRafed
0450Anonymous.NukatMughni.JMIHE03-ara1,0.6928,RELEASE
Shamela021784.txt,0.69268,raw_ShamelaY19
3830.html,0.69268,RAWrabicaRafed
002507Vols.automARkdown,0.69261,RAW_Masaha
8636.json,0.6925,RAW_ABLibrary
8671.json,0.6924,RAW_ABLibrary
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.69219,RELEASE
8521.json,0.69197,RAW_ABLibrary
0536IbnCaliMazariTamimi.Idah.Sham19Y0016974-ara1,0.69193,RELEASE
1356MustafaSadiqRafici.TahtaRayatQuran.Shamela0021784-ara1,0.69183,RELEASE
0595IbnRushdHafid.DaruriFiUsulFiqh.Shamela0001703-ara1,0.69173,RELEASE
8422.json,0.69173,RAW_ABLibrary
3634.html,0.69164,RAWrabicaRafed
8595.json,0.69162,RAW_ABLibrary
0450Anonymous.NukatMughni.JMIHE03-ara1,0.69145,RELEASE
36730.json,0.69144,RAWrabicaShamAY3
8449.json,0.69142,RAW_ABLibrary
11071.json,0.69116,RAWrabicaShamAY2
8828.json,0.69087,RAW_ABLibrary
8608.json,0.69084,RAW_ABLibrary
0536IbnCaliMazariTamimi.Idah.Sham19Y0016974-ara1,0.69074,RELEASE
3891.html,0.69065,RAWrabicaRafed
Shia002916,0.69061,RAWrabica045000
16974.bok.json,0.69057,RAWrabicaSham19Y
33256.json,0.69046,RAWrabicaShamAY2
1703.json,0.69039,RAWrabicaShamAY1
21784.bok.json,0.69033,RAWrabicaSham19Y
0436SharifMurtada.ShafiFiImama.Zaydiyya0000119-ara1,0.69028,RELEASE
34196.json,0.69003,RAWrabicaShamAY3
3698.html,0.68989,RAWrabicaRafed
8675.json,0.68986,RAW_ABLibrary
8525.json,0.68983,RAW_ABLibrary
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.68981,RELEASE
0656IbnAbiHadid.FalakDair.Shamela0010550-ara1,0.68976,RELEASE
2070.html,0.68974,RAWrabicaRafed
0436SharifMurtada.Rasail.Shia000019Vols-ara1,0.68968,RELEASE
8648.json,0.68934,RAW_ABLibrary
0595IbnRushdHafid.SharhMaBacdTabica.DARE00024-ara1,0.6893,RELEASE
9942.json,0.68922,RAW_ABLibrary
3514.html,0.68908,RAWrabicaRafed
0403AbuBakrBaqillani.TamhidAwail.Shia002526-ara1,0.68899,RELEASE
0780IbnHasanQurashi.MinhajMuttaqin.Zaydiyya0000263-ara1,0.68894,RELEASE
8458.json,0.68893,RAW_ABLibrary
0456IbnHazm.FisalFiMilal.JK000343-ara1,0.6888,RELEASE
6521.json,0.68876,RAWrabicaShamAY1
35259.json,0.68868,RAWrabicaShamAY3
6389.json,0.68867,RAWrabicaShamAY1
31974.json,0.68843,RAWrabicaShamAY2
21784.json,0.68821,RAWrabicaShamAY2
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.68821,RELEASE
0403AbuBakrBaqillani.TamhidAwail.Shia002526-ara1,0.68807,RELEASE
8337.json,0.688,RAW_ABLibrary
0403AbuBakrBaqillani.TamhidAwail.JK001262-ara1,0.68795,RELEASE
0403AbuBakrBaqillani.TamhidAwail.Shamela0006389-ara1,0.68791,RELEASE
8000.automARkdown,0.68783,RAW_Ghbook
32514.json,0.68779,RAWrabicaShamAY2
8345.json,0.68773,RAW_ABLibrary
8443.json,0.68771,RAW_ABLibrary
6521.bok.json,0.68768,RAWrabicaSham19Y
823.html,0.68764,RAWrabicaRafed
003767.automARkdown,0.68763,RAW_Masaha
986.json,0.68761,RAWrabicaShamAY1
004768Vols.automARkdown,0.68758,RAW_Masaha
0699IbnMaythamBahrani.QawacidMaram.Shia004010-ara1,0.68756,RELEASE
9880.json,0.68752,RAW_ABLibrary
8718.json,0.68734,RAW_ABLibrary
0456IbnHazm.FisalFiMilal.Shamela0006521-ara1,0.68727,RELEASE
0456IbnHazm.FisalFiMilal.JK000343-ara1,0.68725,RELEASE
8784.json,0.68723,RAW_ABLibrary
3794.html,0.68713,RAWrabicaRafed
Shamela150962.txt,0.68702,raw_ShamelaY19
8349.json,0.68696,RAW_ABLibrary
0436SharifMurtada.Rasail.Shia000019Vols-ara1,0.68696,RELEASE
8514.json,0.68681,RAW_ABLibrary
