unknown,TFIDF_cosine,libVar
0429AbuMansurThacalibi.FiqhLugha.Shamela0011235-ara1,0.99406,RELEASE
11235.json,0.92529,RAWrabicaShamAY2
004557.automARkdown,0.88838,RAW_Masaha
16222.automARkdown,0.79972,RAW_Ghbook
1116.html,0.66614,RAWrabicaRafed
10283.json,0.57642,RAWrabicaShamAY1
003070Vols.automARkdown,0.5695,RAW_Masaha
Shamela026349.txt,0.56894,raw_ShamelaY19
0276IbnQutaybaDinawari.Jarathim.Shamela0009228-ara1,0.56868,RELEASE
9228.json,0.56617,RAWrabicaShamAY1
0276IbnQutaybaDinawari.AdabKatib.Shamela0026349-ara1,0.56545,RELEASE
002345.automARkdown,0.56522,RAW_Masaha
26349.json,0.56389,RAWrabicaShamAY2
1293.html,0.56001,RAWrabicaRafed
0276IbnQutaybaDinawari.AdabKatib.ShamAY0033771-ara1,0.55989,RELEASE
33771.json,0.55712,RAWrabicaShamAY2
0276IbnQutaybaDinawari.AdabKatib.JK000973-ara1,0.5569,RELEASE
6589.json,0.55103,RAWrabicaShamAY1
2007.html,0.55078,RAWrabicaRafed
757.json,0.54611,RAW_ABLibrary
Shamela096844.txt,0.54554,raw_ShamelaY19
771.json,0.54432,RAWrabicaShamAY1
3151.html,0.54362,RAWrabicaRafed
2006.json,0.54261,RAWrabicaShamAY1
8593.json,0.54197,RAW_ABLibrary
3457.html,0.54154,RAWrabicaRafed
96844.bok.json,0.54072,RAWrabicaSham19Y
12077.json,0.54034,RAWrabicaShamAY2
1064.html,0.54021,RAWrabicaRafed
9218.json,0.53693,RAW_ABLibrary
0387KatibKhwarizmi.MafatihCulum.JK001148-ara1,0.53682,RELEASE
8753.json,0.53661,RAW_ABLibrary
Shamela020986.txt,0.53657,raw_ShamelaY19
1985.html,0.53507,RAWrabicaRafed
788.json,0.53495,RAWrabicaShamAY1
38891.json,0.53383,RAWrabicaShamAY3
12028.json,0.53376,RAWrabicaShamAY2
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.53341,RELEASE
10551.json,0.53338,RAWrabicaShamAY1
Shamela023794.txt,0.53326,raw_ShamelaY19
345.html,0.53285,RAWrabicaRafed
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.53244,RELEASE
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.53173,RELEASE
0414AbuHayyanTawhidi.Imtac.JK009314-ara2,0.53171,RELEASE
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.53098,RELEASE
34797.json,0.53088,RAWrabicaShamAY3
10541.json,0.53066,RAWrabicaShamAY1
32338.json,0.53055,RAWrabicaShamAY2
758.json,0.53044,RAW_ABLibrary
1587.json,0.53029,RAWrabicaShamAY1
37720.json,0.53008,RAWrabicaShamAY3
