unknown,TFIDF_cosine,libVar
0429AbuMansurThacalibi.LubabAdab.Shamela0000418-ara1,0.99994,RELEASE
418.json,0.99319,RAWrabicaShamAY1
0429AbuMansurThacalibi.IcjazWaIjaz.JK009260-ara1,0.84728,RELEASE
0429AbuMansurThacalibi.IcjazWaIjaz.Shamela0023741-ara1,0.845,RELEASE
0429AbuMansurThacalibi.KhassKhass.JK009322-ara1,0.82913,RELEASE
0429AbuMansurThacalibi.KhassKhass.Shamela0007830-ara1,0.82897,RELEASE
7830.json,0.82619,RAWrabicaShamAY1
23741.bok.json,0.8115,RAWrabicaSham19Y
Shamela023741.txt,0.8101,raw_ShamelaY19
23741.json,0.80972,RAWrabicaShamAY2
0429AbuMansurThacalibi.SihrBalagha.Shamela0008279-ara1,0.79713,RELEASE
0429AbuMansurThacalibi.SihrBalagha.JK009267-ara1,0.79702,RELEASE
8279.json,0.797,RAWrabicaShamAY1
Sham30K0008279,0.79252,RAWrabica010000
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.78058,RELEASE
0429AbuMansurThacalibi.Tamthil.JK010529-ara1,0.78058,RELEASE
5683.json,0.78039,RAWrabicaShamAY1
5683.bok.json,0.78038,RAWrabicaSham19Y
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.76081,RELEASE
10768.bok.json,0.76052,RAWrabicaSham19Y
0453AbuIshaqHusri.NurTaraf.Shamela0005351-ara1,0.76027,RELEASE
9194.json,0.75933,RAW_ABLibrary
1571.json,0.75874,RAWrabicaShamAY1
5351.json,0.75716,RAWrabicaShamAY1
10768.json,0.75707,RAWrabicaShamAY2
0542IbnMunjibTajRiyasaIbnSayrafi.Afdaliyyat.Shamela0005432-ara1,0.75324,RELEASE
7401.json,0.7519,RAW_ABLibrary
1522.json,0.75145,RAWrabicaShamAY1
361.html,0.75126,RAWrabicaRafed
579.json,0.75094,RAWrabicaShamAY1
Sham30K0034079,0.75056,RAWrabica020000
5432.bok.json,0.75046,RAWrabicaSham19Y
0515IbnQattac.DurraKhatira.Shamela0005424-ara1,0.7502,RELEASE
5432.json,0.74999,RAWrabicaShamAY1
12815.json,0.74902,RAWrabicaShamAY2
13666.bok.json,0.74782,RAWrabicaSham19Y
318.html,0.74777,RAWrabicaRafed
12856.json,0.7472,RAWrabicaShamAY2
0453AbuIshaqHusri.ZuhrAdab.JK009230-ara1,0.74695,RELEASE
0514.bok.json,0.74688,RAWrabicaSham19Y
514.json,0.74678,RAWrabicaShamAY1
37720.json,0.74665,RAWrabicaShamAY3
Shamela021505.txt,0.74648,raw_ShamelaY19
0395AbuHilalCaskari.Sinacatayn.Shamela0023787-ara1,0.74641,RELEASE
623.json,0.74579,RAWrabicaShamAY1
Sham30K0033844,0.74531,RAWrabica020000
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.74528,RELEASE
0395AbuHilalCaskari.DiwanMacani.JK006921-ara1,0.7444,RELEASE
298.json,0.74435,RAWrabicaShamAY1
0395AbuHilalCaskari.Sinacatayn.JK006910-ara1,0.74434,RELEASE
Shamela023787.txt,0.74426,raw_ShamelaY19
