unknown,TFIDF_cosine,libVar
Shia002096,0.88674,RAWrabica040000
0430AbuNucaymIsbahani.MajlisMinAmali.Shamela0013080-ara1,0.88654,RELEASE
0430AbuNucaymIsbahani.MajlisMinAmali.Shamela0013080-ara1,0.88374,RELEASE
0430AbuNucaymIsbahani.MajlisMinAmali.JK000750-ara1,0.87539,RELEASE
0430AbuNucaymIsbahani.MajlisMinAmali.Shamela0005709-ara1,0.86935,RELEASE
5709.json,0.86456,RAWrabicaShamAY1
13080.json,0.86332,RAWrabicaShamAY2
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.8551,RELEASE
33678.json,0.85261,RAWrabicaShamAY2
Shamela022301.txt,0.85231,raw_ShamelaY19
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.85109,RELEASE
22301.bok.json,0.85037,RAWrabicaSham19Y
347.json,0.84904,RAWrabicaShamAY1
22301.json,0.84881,RAWrabicaShamAY2
0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,0.84873,RELEASE
0347.bok.json,0.84806,RAWrabicaSham19Y
Shamela029911.txt,0.84661,raw_ShamelaY19
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.84564,RELEASE
32766.json,0.84556,RAWrabicaShamAY2
Shamela026487.txt,0.84473,raw_ShamelaY19
Shamela026878.txt,0.84462,raw_ShamelaY19
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.84457,RELEASE
29911.json,0.84451,RAWrabicaShamAY2
0430AbuNucaymIsbahani.MajlisMinAmali.JK000505-ara1,0.84442,RELEASE
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.84423,RELEASE
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.84388,RELEASE
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.84382,RELEASE
26878.json,0.84269,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.84226,RELEASE
8981.json,0.84223,RAW_ABLibrary
004135Vols.automARkdown,0.84167,RAW_Masaha
2251.html,0.84136,RAWrabicaRafed
26487.json,0.84026,RAWrabicaShamAY2
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.83935,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.83791,RELEASE
2241.html,0.83786,RAWrabicaRafed
2194.html,0.83773,RAWrabicaRafed
7397.json,0.83766,RAW_ABLibrary
13055.json,0.83733,RAWrabicaShamAY2
0489IbnFadlIsbahani.FawaidCawali.Shamela0010514-ara1,0.83682,RELEASE
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.83682,RELEASE
10514.json,0.83628,RAWrabicaShamAY1
Shamela029976.txt,0.83602,raw_ShamelaY19
0734IbnSayyidNas.AhadithCawal.ShamAY0033538-ara1,0.83593,RELEASE
2196.html,0.83524,RAWrabicaRafed
0489IbnFadlIsbahani.FawaidCawali.Shamela0010514-ara1,0.83523,RELEASE
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.83511,RELEASE
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.83466,RELEASE
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.83457,RELEASE
0571IbnCasakir.ArbacunaBuldaniyya.Shia002174-ara1,0.83444,RELEASE
Shamela026665.txt,0.8341,raw_ShamelaY19
001831.automARkdown,0.83397,RAW_Masaha
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.83323,RELEASE
33538.json,0.83313,RAWrabicaShamAY2
34134.json,0.83309,RAWrabicaShamAY2
0571IbnCasakir.ArbacunaBuldaniyya.Shia002174-ara1,0.833,RELEASE
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.83262,RELEASE
1714.json,0.83244,RAWrabicaShamAY1
33582.json,0.83217,RAWrabicaShamAY2
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.83174,RELEASE
11331.json,0.83119,RAWrabicaShamAY2
2253.html,0.83073,RAWrabicaRafed
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.8307,RELEASE
8982.json,0.83055,RAW_ABLibrary
26665.json,0.83052,RAWrabicaShamAY2
0571IbnCasakir.ArbacunaMinMusawat.Shamela0009371-ara1,0.83049,RELEASE
29976.bok.json,0.83048,RAWrabicaSham19Y
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.83038,RELEASE
0563IbnCaliTamidhi.Juz.ShamAY0033582-ara1,0.83037,RELEASE
0475IbnMandahCabdWahhabIsbahani.Fawaid.Shia002163-ara1,0.83018,RELEASE
Shamela131336.txt,0.83005,raw_ShamelaY19
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.83005,RELEASE
Shamela021635.txt,0.83,raw_ShamelaY19
0458Bayhaqi.SunanKubra.JK000484-ara1,0.82993,RELEASE
0643DiyaDinMuqaddasi.MuntaqaMinMasmucatMarw.Shamela0021635-ara1,0.82989,RELEASE
10441.json,0.82988,RAWrabicaShamAY1
Shamela026566.txt,0.82983,raw_ShamelaY19
0744IbnCabdHadi.TacliqaCalaCilal.Shamela0011569-ara1,0.82954,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.82951,RELEASE
21635.json,0.82909,RAWrabicaShamAY2
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.82907,RELEASE
0459IbnMuhammadDimashqi.Fawaid.Shamela0026566-ara1,0.82905,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.82897,RELEASE
0576AbuTahirSilafi.Hadith.ShamAY0038063-ara1,0.82884,RELEASE
