unknown,TFIDF_cosine,libVar
0434AnonymousDruze.RasailHikma.eScr20102915-ara1,0.98706,RELEASE
0434AnonymousDruze.RasailHikma.eScr20102915-ara1,0.98683,RELEASE
0434MultipleDruze.RasailHikmaBK1.Kraken210830163545-ara1,0.96341,RELEASE
0434MultipleDruze.RasailHikmaBK1.Kraken210830163545-ara1,0.96109,RELEASE
0730ShaficIbnCali.FadlMathur.GVDB20200701-ara1,0.682,RELEASE
8430.json,0.67482,RAW_ABLibrary
0465IbnHawazinQushayri.LataifIsharat.JK009257-ara1,0.67353,RELEASE
8753.json,0.66648,RAW_ABLibrary
8461.json,0.66542,RAW_ABLibrary
0465IbnHawazinQushayri.LataifIsharat.Tafsir03031-ara1,0.66532,RELEASE
0465IbnHawazinQushayri.LataifIsharat.Shamela0023629-ara1,0.66501,RELEASE
0465IbnHawazinQushayri.LataifIsharat.Shamela0023629-ara1,0.65964,RELEASE
8760.json,0.65941,RAW_ABLibrary
962.json,0.65935,RAW_ABLibrary
8597.json,0.65831,RAW_ABLibrary
8479.json,0.65649,RAW_ABLibrary
8351.json,0.65626,RAW_ABLibrary
8349.json,0.65548,RAW_ABLibrary
964.json,0.65511,RAW_ABLibrary
963.json,0.65476,RAW_ABLibrary
Shamela023629.txt,0.65363,raw_ShamelaY19
3440.html,0.65351,RAWrabicaRafed
3431.html,0.65174,RAWrabicaRafed
8593.json,0.65173,RAW_ABLibrary
001352Vols.automARkdown,0.65096,RAW_Masaha
8590.json,0.65067,RAW_ABLibrary
8798.json,0.65019,RAW_ABLibrary
8480.json,0.65018,RAW_ABLibrary
8818.json,0.64828,RAW_ABLibrary
7903.json,0.64822,RAW_ABLibrary
8784.json,0.64754,RAW_ABLibrary
8525.json,0.6474,RAW_ABLibrary
8828.json,0.64709,RAW_ABLibrary
8514.json,0.64638,RAW_ABLibrary
3700.html,0.64594,RAWrabicaRafed
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.64589,RELEASE
0360IbnCaliQassab.NukatDalla.Shamela0009065-ara1,0.64588,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.64579,RELEASE
8733.json,0.64533,RAW_ABLibrary
8861.json,0.64527,RAW_ABLibrary
23629.json,0.64492,RAWrabicaShamAY2
8390.json,0.64489,RAW_ABLibrary
8373.json,0.64478,RAW_ABLibrary
3496.html,0.64455,RAWrabicaRafed
1660.html,0.6444,RAWrabicaRafed
8513.json,0.64394,RAW_ABLibrary
8757.json,0.64377,RAW_ABLibrary
8460.json,0.64372,RAW_ABLibrary
8751.json,0.64359,RAW_ABLibrary
8685.json,0.64322,RAW_ABLibrary
8789.json,0.6432,RAW_ABLibrary
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.64305,RELEASE
1081MuhammadSalihMazandarani.SharhUsulKafi.Shia001174Vols-ara1,0.64257,RELEASE
1658.html,0.64251,RAWrabicaRafed
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.64243,RELEASE
8910.json,0.64234,RAW_ABLibrary
3616.html,0.6423,RAWrabicaRafed
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.64226,RELEASE
8358.json,0.64107,RAW_ABLibrary
8702.json,0.64103,RAW_ABLibrary
298.json,0.6409,RAWrabicaShamAY1
2679.html,0.64072,RAWrabicaRafed
0360IbnCaliQassab.NukatDalla.Shamela0009065-ara1,0.64033,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.64029,RELEASE
993.json,0.63964,RAW_ABLibrary
3150.html,0.63953,RAWrabicaRafed
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.63947,RELEASE
8747.json,0.63924,RAW_ABLibrary
3699.html,0.63911,RAWrabicaRafed
1406.html,0.63905,RAWrabicaRafed
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.63897,RELEASE
0692IbnCabdZahir.TashrifAyyam.GVDB20200720-ara1,0.6387,RELEASE
9065.json,0.6386,RAWrabicaShamAY1
