unknown,TFIDF_cosine,libVar
34519.json,0.98714,RAWrabicaShamAY3
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.98693,RELEASE
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.96767,RELEASE
Shamela020937.txt,0.96604,raw_ShamelaY19
003390Vols.automARkdown,0.96033,RAW_Masaha
7903.json,0.88389,RAW_ABLibrary
004568Vols.automARkdown,0.87083,RAW_Masaha
0449AbuFathKarajiki.KanzFawaid.Shia001332-ara1,0.866,RELEASE
7902.json,0.86466,RAW_ABLibrary
0449AbuFathKarajiki.KanzFawaid.Zaydiyya0000201-ara1,0.86406,RELEASE
Sham30K0034053,0.8606,RAWrabica020000
002790Vols.automARkdown,0.85697,RAW_Masaha
3897.html,0.85486,RAWrabicaRafed
0414AbuHayyanTawhidi.Basair.JK009288-ara1,0.85382,RELEASE
0414AbuHayyanTawhidi.Basair.Shamela0026423-ara1,0.85365,RELEASE
26423.bok.json,0.85346,RAWrabicaSham19Y
0520IbnMuhammadTurtushi.SirajMuluk.JK010572-ara2,0.8533,RELEASE
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.85325,RELEASE
0520IbnMuhammadTurtushi.SirajMuluk.Shamela0001585-ara1,0.85322,RELEASE
Shamela026423.txt,0.85315,raw_ShamelaY19
1585.json,0.85283,RAWrabicaShamAY1
002334.automARkdown,0.8525,RAW_Masaha
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.85209,RELEASE
10511.bok.json,0.85153,RAWrabicaSham19Y
0384IbnCaliTanukhi.FarajBacdaShidda.Shia001282Vols-ara1,0.85149,RELEASE
10511.json,0.85133,RAWrabicaShamAY1
26423.json,0.85108,RAWrabicaShamAY2
002985Vols.automARkdown,0.85098,RAW_Masaha
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.85033,RELEASE
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.8498,RELEASE
819.json,0.84923,RAWrabicaShamAY1
1987.html,0.8482,RAWrabicaRafed
Shamela036072.txt,0.8481,raw_ShamelaY19
0370IbnCaliJassas.AhkamQuran.Shia002514Vols-ara1,0.84785,RELEASE
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.84768,RELEASE
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.84761,RELEASE
23789.json,0.84758,RAWrabicaShamAY2
Shamela023789.txt,0.84749,raw_ShamelaY19
8829.json,0.84743,RAW_ABLibrary
0370IbnCaliJassas.AhkamQuran.Shamela0007370-ara1,0.8473,RELEASE
000150Vols.automARkdown,0.84719,RAW_Masaha
7370.json,0.84714,RAWrabicaShamAY1
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.84702,RELEASE
1349.json,0.84574,RAWrabicaShamAY1
3896.html,0.84512,RAWrabicaRafed
0370IbnCaliJassas.AhkamQuran.Shamela0023579-ara1,0.84506,RELEASE
0370IbnCaliJassas.AhkamQuran.JK000871-ara1,0.84439,RELEASE
8513.json,0.8441,RAW_ABLibrary
33781.json,0.84369,RAWrabicaShamAY2
3798.html,0.84338,RAWrabicaRafed
824.json,0.84321,RAW_ABLibrary
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.8432,RELEASE
23579.json,0.84307,RAWrabicaShamAY2
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.84264,RELEASE
Shamela023579.txt,0.84254,raw_ShamelaY19
3493.html,0.84247,RAWrabicaRafed
3537.html,0.84245,RAWrabicaRafed
0415QadiCabdJabbar.ManiyyaWaAmal.ShamAY0037746-ara1,0.84224,RELEASE
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.84185,RELEASE
8392.json,0.84181,RAW_ABLibrary
3914.html,0.84118,RAWrabicaRafed
Sham30K0033843,0.84118,RAWrabica020000
5906.json,0.84117,RAWrabicaShamAY1
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.84093,RELEASE
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.84077,RELEASE
35866.json,0.84076,RAWrabicaShamAY3
Shamela023802.txt,0.84014,raw_ShamelaY19
23802.json,0.84002,RAWrabicaShamAY2
0629.bok.json,0.83998,RAWrabicaSham19Y
473.json,0.83974,RAWrabicaShamAY1
1746.html,0.83958,RAWrabicaRafed
629.json,0.83952,RAWrabicaShamAY1
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.83943,RELEASE
004743.automARkdown,0.83933,RAW_Masaha
000368Vols.automARkdown,0.83914,RAW_Masaha
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.83861,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.Shamela0007301-ara1,0.83853,RELEASE
32109.json,0.83842,RAWrabicaShamAY2
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.83816,RELEASE
0395AbuHilalCaskari.Sinacatayn.Shamela0023787-ara1,0.83811,RELEASE
0255Jahiz.Bukhala.JK007061-ara1,0.83785,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.83777,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.83777,RELEASE
7301.json,0.8375,RAWrabicaShamAY1
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.83735,RELEASE
Shamela021582.txt,0.83729,raw_ShamelaY19
002494Vols.automARkdown,0.83728,RAW_Masaha
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.83728,RELEASE
0255Jahiz.Bukhala.JK009201-ara1,0.83713,RELEASE
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1,0.83707,RELEASE
38873.json,0.83703,RAWrabicaShamAY3
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.83693,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.83678,RELEASE
6820.json,0.83662,RAWrabicaShamAY1
3902.html,0.83654,RAWrabicaRafed
10501.bok.json,0.83653,RAWrabicaSham19Y
7240.json,0.83651,RAWrabicaShamAY1
8393.json,0.83638,RAW_ABLibrary
6820.bok.json,0.83636,RAWrabicaSham19Y
10496.json,0.83635,RAWrabicaShamAY1
10768.bok.json,0.83631,RAWrabicaSham19Y
21582.json,0.83612,RAWrabicaShamAY2
10501.json,0.83611,RAWrabicaShamAY1
002554Vols.automARkdown,0.83611,RAW_Masaha
Shamela023787.txt,0.83567,raw_ShamelaY19
0395AbuHilalCaskari.Sinacatayn.JK006910-ara1,0.83523,RELEASE
33801.json,0.8352,RAWrabicaShamAY2
Sham30K0033802,0.8351,RAWrabica020000
33779.json,0.8349,RAWrabicaShamAY2
23787.json,0.83489,RAWrabicaShamAY2
8482.json,0.83488,RAW_ABLibrary
7908.json,0.83488,RAW_ABLibrary
3602.html,0.83482,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.83453,RELEASE
23790.json,0.8345,RAWrabicaShamAY2
23631.json,0.83445,RAWrabicaShamAY2
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.83433,RELEASE
1803.html,0.83422,RAWrabicaRafed
Sham30K0033824,0.83418,RAWrabica020000
35000.json,0.83418,RAWrabicaShamAY3
12021.bok.json,0.83416,RAWrabicaSham19Y
5981.json,0.83415,RAWrabicaShamAY1
10768.json,0.83398,RAWrabicaShamAY2
3616.html,0.8339,RAWrabicaRafed
3192.html,0.83379,RAWrabicaRafed
Shamela023790.txt,0.83364,raw_ShamelaY19
5448.json,0.83358,RAWrabicaShamAY1
3293.html,0.83353,RAWrabicaRafed
Sham30K0033834,0.83352,RAWrabica020000
0335Suli.AdabKuttab.Shamela0001601-ara1,0.83348,RELEASE
0453AbuIshaqHusri.JamcJawahir.JK010621-ara1,0.83346,RELEASE
7414.bok.json,0.83345,RAWrabicaSham19Y
0453AbuIshaqHusri.JamcJawahir.Shamela0000621-ara1,0.83344,RELEASE
0285IbnYazidMubarrad.KamilFiLugha.ShamIbadiyya0000642-ara1,0.83337,RELEASE
7414.json,0.83337,RAWrabicaShamAY1
0335Suli.AdabKuttab.JK009312-ara1,0.83328,RELEASE
1760.json,0.83321,RAWrabicaShamAY1
96278.bok.json,0.83316,RAWrabicaSham19Y
