unknown,TFIDF_cosine,libVar
0441IbnCaliSuri.FawaidMuntaqat.Shamela0005693-ara1,0.99964,RELEASE
5693.json,0.99923,RAWrabicaShamAY1
0441IbnCaliSuri.FawaidMuntaqat.Shia002100-ara1,0.97119,RELEASE
2890.html,0.93811,RAWrabicaRafed
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.93729,RELEASE
0463KhatibBaghdadi.TaliTalkhisMutashabih.JK000617-ara1,0.93702,RELEASE
6003.json,0.93682,RAWrabicaShamAY1
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.9357,RELEASE
6025.json,0.93516,RAWrabicaShamAY1
13177.json,0.93162,RAWrabicaShamAY2
5728.bok.json,0.92893,RAWrabicaSham19Y
0576AbuTahirSilafi.Mashyakha.JK000649-ara1,0.92864,RELEASE
0576AbuTahirSilafi.Mashyakha.Shamela0005728-ara1,0.92855,RELEASE
5728.json,0.92801,RAWrabicaShamAY1
2330.html,0.92699,RAWrabicaRafed
0344IbnSammak.Fawaid.JK007019-ara1,0.92693,RELEASE
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.92671,RELEASE
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.92651,RELEASE
2894.html,0.92638,RAWrabicaRafed
9076.json,0.92631,RAWrabicaShamAY1
9642.json,0.9253,RAWrabicaShamAY1
26857.json,0.92282,RAWrabicaShamAY2
26726.json,0.92271,RAWrabicaShamAY2
Shamela026726.txt,0.9224,raw_ShamelaY19
2717.html,0.92151,RAWrabicaRafed
2332.html,0.92147,RAWrabicaRafed
2892.html,0.92079,RAWrabicaRafed
Shamela026857.txt,0.92035,raw_ShamelaY19
2887.html,0.92033,RAWrabicaRafed
2899.html,0.91995,RAWrabicaRafed
33699.json,0.91969,RAWrabicaShamAY2
2718.html,0.91769,RAWrabicaRafed
30594.json,0.91365,RAWrabicaShamAY2
30620.json,0.91354,RAWrabicaShamAY2
2893.html,0.91202,RAWrabicaRafed
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.91133,RELEASE
Shamela122397.txt,0.91083,raw_ShamelaY19
2642.automARkdown,0.90993,RAW_Ghbook
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.90989,RELEASE
0476IbnAbiSaqrAnbari.Mashyakha.Sham19Y0005725-ara1,0.90984,RELEASE
12581.bok.json,0.90963,RAWrabicaSham19Y
1293.json,0.9096,RAWrabicaShamAY1
Shamela030620.txt,0.90875,raw_ShamelaY19
Shamela030594.txt,0.90864,raw_ShamelaY19
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.90783,RELEASE
0395IbnMandahMuhammad.MacrifatSahaba.Shamela0021481-ara1,0.9069,RELEASE
Shamela021481.txt,0.90633,raw_ShamelaY19
21481.json,0.90615,RAWrabicaShamAY2
0463KhatibBaghdadi.TaqyidCilm.Shamela0013089-ara1,0.90546,RELEASE
13089.bok.json,0.90522,RAWrabicaSham19Y
5725.json,0.90512,RAWrabicaShamAY1
13089.json,0.90511,RAWrabicaShamAY2
0581AbuMusaMadini.DhikrIbnMandah.Shamela0009523-ara1,0.90497,RELEASE
38099.json,0.90468,RAWrabicaShamAY3
2714.html,0.90466,RAWrabicaRafed
003295.automARkdown,0.90434,RAW_Masaha
Shamela029639.txt,0.90426,raw_ShamelaY19
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.90345,RELEASE
9523.json,0.90334,RAWrabicaShamAY1
Shamela026456.txt,0.90293,raw_ShamelaY19
79.json,0.90282,RAWrabicaShamAY1
29639.json,0.90035,RAWrabicaShamAY2
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.Shamela0012993-ara1,0.89992,RELEASE
Shamela026579.txt,0.89955,raw_ShamelaY19
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.JK000732-ara1,0.89945,RELEASE
0378HakimKabir.AsamiWaKuna.ShamAY0034585-ara1,0.89932,RELEASE
Sham30K0033941,0.89912,RAWrabica020000
0463KhatibBaghdadi.TaqyidCilm.JK000627-ara1,0.89883,RELEASE
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.89864,RELEASE
1330.json,0.89822,RAWrabicaShamAY1
0549CabdKhaliqShahhami.Arbacun.ShamAY0033549-ara1,0.89819,RELEASE
2904.html,0.89806,RAWrabicaRafed
0458AbuYaclaIbnFarra.Amali.Shamela0026579-ara1,0.89772,RELEASE
0581AbuMusaMadini.NuzhatHuffaz.Shamela0005995-ara1,0.8974,RELEASE
Shamela039268.txt,0.89735,raw_ShamelaY19
0262IbnCasimIsbahani.Juz.Shia001926-ara1,0.89698,RELEASE
12993.json,0.89693,RAWrabicaShamAY2
0427Sahmi.TarikhJurjan.JK000496-ara1,0.89622,RELEASE
34585.json,0.89622,RAWrabicaShamAY3
0427Sahmi.TarikhJurjan.Shia003487-ara1,0.89614,RELEASE
2138.html,0.89605,RAWrabicaRafed
0427Sahmi.TarikhJurjan.Shamela0011077-ara1,0.89574,RELEASE
002198.automARkdown,0.89522,RAW_Masaha
0581AbuMusaMadini.NuzhatHuffaz.JK000614-ara1,0.89425,RELEASE
26471.bok.json,0.89405,RAWrabicaSham19Y
0419IbnMuhammadBushanji.Hadith.Shamela0029749-ara1,0.89395,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.Shamela0012579-ara1,0.89377,RELEASE
0481AnsariHarawi.DhammKalam.ShamAY0033886-ara1,0.89362,RELEASE
812.json,0.89353,RAW_ABLibrary
Shamela030487.txt,0.89337,raw_ShamelaY19
9389.json,0.89335,RAWrabicaShamAY1
0450Najashi.Rijal.Shia002931-ara1,0.89327,RELEASE
26471.json,0.89305,RAWrabicaShamAY2
12579.json,0.89242,RAWrabicaShamAY2
30487.json,0.89239,RAWrabicaShamAY2
Sham30K0002696,0.89235,RAWrabica005000
0481AnsariHarawi.DhammKalam.Shamela0001427-ara1,0.89234,RELEASE
33886.json,0.89224,RAWrabicaShamAY2
12579.bok.json,0.89223,RAWrabicaSham19Y
0481AnsariHarawi.DhammKalam.JK001006-ara1,0.89221,RELEASE
0510IbnCaliAbuGhanaimNursi.FawaidKufiyyin.Shamela0026588-ara1,0.89219,RELEASE
33674.json,0.89215,RAWrabicaShamAY2
574.html,0.89204,RAWrabicaRafed
0571IbnCasakir.MadhTawaduc.Shamela0012747-ara1,0.89155,RELEASE
32905.json,0.89135,RAWrabicaShamAY2
004497.automARkdown,0.89084,RAW_Masaha
Shamela026588.txt,0.8908,raw_ShamelaY19
Shamela029749.txt,0.89079,raw_ShamelaY19
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.89077,RELEASE
32912.json,0.89064,RAWrabicaShamAY2
26588.json,0.89048,RAWrabicaShamAY2
0458AbuYaclaIbnFarra.FawaidSihah.ShamAY0032912-ara1,0.89039,RELEASE
9074.bok.json,0.89031,RAWrabicaSham19Y
1302.json,0.89028,RAWrabicaShamAY1
1271.json,0.89027,RAWrabicaShamAY1
0256Bukhari.TarikhKabir.JK000133-ara1,0.89015,RELEASE
11077.bok.json,0.89003,RAWrabicaSham19Y
33549.json,0.89002,RAWrabicaShamAY2
0489IbnFadlIsbahani.FawaidCawali.ShamAY0032905-ara1,0.88944,RELEASE
1427.json,0.8893,RAWrabicaShamAY1
1779.html,0.88917,RAWrabicaRafed
11077.json,0.88907,RAWrabicaShamAY2
30500.bok.json,0.88897,RAWrabicaSham19Y
2410.html,0.88888,RAWrabicaRafed
5995.json,0.88862,RAWrabicaShamAY1
Shamela026565.txt,0.88843,raw_ShamelaY19
2902.html,0.88841,RAWrabicaRafed
0450Najashi.Rijal.Zaydiyya0000188-ara1,0.88838,RELEASE
39268.bok.json,0.88833,RAWrabicaSham19Y
Shamela030500.txt,0.88797,raw_ShamelaY19
38210.json,0.88794,RAWrabicaShamAY3
2713.html,0.88788,RAWrabicaRafed
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.88787,RELEASE
1420.json,0.88762,RAWrabicaShamAY1
Shamela148486.txt,0.88746,raw_ShamelaY19
