unknown,TFIDF_cosine,libVar
458.json,0.99995,RAWrabicaShamAY1
Shamela037327.txt,0.99974,raw_ShamelaY19
0441IbnIflili.SharhShicrMutanabbi.ShamAY0000458-ara1,0.99955,RELEASE
0441IbnIflili.SharhShicrMutanabbi.ShamAY0000454-ara1,0.85177,RELEASE
0441IbnIflili.SharhShicrMutanabbi.Shamela0037065-ara1,0.85161,RELEASE
454.json,0.85136,RAWrabicaShamAY1
Shamela037065.txt,0.8499,raw_ShamelaY19
8430.json,0.77785,RAW_ABLibrary
6854.json,0.77649,RAWrabicaShamAY1
37720.json,0.7763,RAWrabicaShamAY3
1250Shawkani.AdabTalab.JK006955-ara1,0.77577,RELEASE
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.77575,RELEASE
622.json,0.7751,RAWrabicaShamAY1
Shamela037345.txt,0.7735,raw_ShamelaY19
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.77306,RELEASE
10428.json,0.77284,RAWrabicaShamAY1
Shamela021505.txt,0.77224,raw_ShamelaY19
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.77223,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.77139,RELEASE
6392.json,0.7713,RAWrabicaShamAY1
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.77,RELEASE
21505.json,0.76921,RAWrabicaShamAY2
1031BahaDinCamili.Kashkul.JK009365-ara1,0.76828,RELEASE
33867.json,0.76781,RAWrabicaShamAY2
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.76765,RELEASE
0255Jahiz.Hayawan.Shamela0023775-ara1,0.76716,RELEASE
0449AbuCalaMacarri.RisalatGhifran.Shamela0001589-ara1,0.7666,RELEASE
1589.json,0.76646,RAWrabicaShamAY1
0449AbuCalaMacarri.RisalatGhifran.JK009234-ara1,0.76522,RELEASE
0255Jahiz.Hayawan.Shamela0023775-ara1,0.76506,RELEASE
35859.json,0.76458,RAWrabicaShamAY3
1571.json,0.76455,RAWrabicaShamAY1
002972Vols.automARkdown,0.76378,RAW_Masaha
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.76376,RELEASE
11400.json,0.76364,RAWrabicaShamAY2
8506.json,0.76326,RAWrabicaShamAY1
10518.json,0.76306,RAWrabicaShamAY1
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.76304,RELEASE
0456IbnHazm.TawqHamama.JK009337-ara1,0.76269,RELEASE
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.76261,RELEASE
0255Jahiz.Bukhala.JK009201-ara1,0.76257,RELEASE
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.76199,RELEASE
5375.json,0.76191,RAWrabicaShamAY1
0255Jahiz.Bukhala.Shamela0010501-ara1,0.7618,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.76168,RELEASE
23775.json,0.76134,RAWrabicaShamAY2
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.76101,RELEASE
0255Jahiz.Bukhala.JK007061-ara1,0.76082,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.76052,RELEASE
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.76042,RELEASE
0414AbuHayyanTawhidi.Imtac.JK009314-ara2,0.75993,RELEASE
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.75981,RELEASE
10501.json,0.75971,RAWrabicaShamAY1
10501.bok.json,0.75922,RAWrabicaSham19Y
0542IbnBassamShantarini.Dhakhira.Shamela0001035-ara1,0.75908,RELEASE
1035.json,0.75902,RAWrabicaShamAY1
0414AbuHayyanTawhidi.AkhlaqWazirayn.Shamela0012541-ara1,0.75876,RELEASE
12726.json,0.75867,RAWrabicaShamAY2
Shamela023775.txt,0.75854,raw_ShamelaY19
Shamela023794.txt,0.75815,raw_ShamelaY19
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.75767,RELEASE
0255Jahiz.Hayawan.ShamAY0033772-ara1,0.75764,RELEASE
10551.json,0.75741,RAWrabicaShamAY1
23794.json,0.75721,RAWrabicaShamAY2
0255Jahiz.Hayawan.JK007068-ara1,0.75711,RELEASE
5418.json,0.75697,RAWrabicaShamAY1
0414AbuHayyanTawhidi.AkhlaqWazirayn.JK009310-ara2,0.75659,RELEASE
1356MustafaSadiqRafici.Masakin.Shamela0005418-ara1,0.75646,RELEASE
0414AbuHayyanTawhidi.AkhlaqWazirayn.Shamela0012541-ara1,0.75575,RELEASE
5683.json,0.75563,RAWrabicaShamAY1
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.75561,RELEASE
0429AbuMansurThacalibi.Tamthil.JK010529-ara1,0.75531,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.75524,RELEASE
0429AbuMansurThacalibi.YatimatDahr.Shia004644Vols-ara1,0.75509,RELEASE
0429AbuMansurThacalibi.YatimatDahr.JK001317-ara1,0.75508,RELEASE
6743.json,0.75501,RAWrabicaShamAY1
0429AbuMansurThacalibi.YatimatDahr.Shamela0006743-ara1,0.75501,RELEASE
0429AbuMansurThacalibi.YatimatDahr.Shamela0006743-ara1,0.75498,RELEASE
5683.bok.json,0.75489,RAWrabicaSham19Y
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.75436,RELEASE
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.75381,RELEASE
0542IbnMunjibTajRiyasaIbnSayrafi.Afdaliyyat.Shamela0005432-ara1,0.75381,RELEASE
0896IbnCaliIbnAzraqGharnati.BadaicSilk.JK001412-ara1,0.75372,RELEASE
0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0.75365,RELEASE
33772.json,0.75365,RAWrabicaShamAY2
809.json,0.75364,RAW_ABLibrary
002332.automARkdown,0.75363,RAW_Masaha
7236.json,0.75357,RAWrabicaShamAY1
0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0.75331,RELEASE
0542IbnMunjibTajRiyasaIbnSayrafi.Afdaliyyat.Shamela0005432-ara1,0.75305,RELEASE
0764Safadi.NusratThair.Shamela0000514-ara1,0.75285,RELEASE
12541.json,0.75268,RAWrabicaShamAY2
0456IbnHazm.AkhlaqWaSiyar.ShamAY0033746-ara1,0.75257,RELEASE
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.75253,RELEASE
514.json,0.75234,RAWrabicaShamAY1
Shamela095660.txt,0.75189,raw_ShamelaY19
Shamela020643.txt,0.75163,raw_ShamelaY19
5432.json,0.75139,RAWrabicaShamAY1
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.75137,RELEASE
0514.bok.json,0.75134,RAWrabicaSham19Y
0456IbnHazm.AkhlaqWaSiyar.ShamAY0033746-ara1,0.75115,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.75097,RELEASE
8753.json,0.75095,RAW_ABLibrary
5432.bok.json,0.75076,RAWrabicaSham19Y
6832.json,0.75058,RAWrabicaShamAY1
0854IbnCarabshah.FakihatKhulafa.JK010770-ara1,0.75057,RELEASE
3457.html,0.75038,RAWrabicaRafed
8751.json,0.75034,RAW_ABLibrary
563.json,0.7503,RAWrabicaShamAY1
Shamela123663.txt,0.75029,raw_ShamelaY19
1572.json,0.74993,RAWrabicaShamAY1
464.json,0.74969,RAWrabicaShamAY1
8593.json,0.74963,RAW_ABLibrary
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.74924,RELEASE
32247.json,0.74855,RAWrabicaShamAY2
Shamela073348.txt,0.74854,raw_ShamelaY19
10521.json,0.74835,RAWrabicaShamAY1
33746.json,0.74828,RAWrabicaShamAY2
34503.json,0.74806,RAWrabicaShamAY3
1041Maqqari.AzharRiyad.Shamela0026350-ara1,0.74793,RELEASE
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.7479,RELEASE
298.json,0.74783,RAWrabicaShamAY1
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.7476,RELEASE
