unknown,TFIDF_cosine,libVar
Shamela124334.txt,1.0,raw_ShamelaY19
124334.bok.json,0.99989,RAWrabicaSham19Y
31946.json,0.99973,RAWrabicaShamAY2
0681IbnIyyazNahwi.SharhTacrif.Sham19Y0018277-ara1,0.83265,RELEASE
38987.json,0.83025,RAWrabicaShamAY3
18277.bok.json,0.82983,RAWrabicaSham19Y
1853.html,0.76965,RAWrabicaRafed
0392IbnJinniMawsili.Munsif.Shamela0010545-ara1,0.75993,RELEASE
0392IbnJinniMawsili.Munsif.Shamela0010545-ara1,0.75979,RELEASE
0285IbnYazidMubarrad.Muqtadab.JK006706-ara1,0.75218,RELEASE
0285IbnYazidMubarrad.Muqtadab.Shamela0006965-ara1,0.7521,RELEASE
0285IbnYazidMubarrad.Muqtadab.Shamela0006965-ara1,0.75209,RELEASE
0285IbnYazidMubarrad.Muqtadab.ShamIbadiyya0000063-ara1,0.75174,RELEASE
6965.json,0.75127,RAWrabicaShamAY1
2849.html,0.73942,RAWrabicaRafed
0392IbnJinniMawsili.SirrSinacatIcrab.Shamela0012017-ara1,0.73665,RELEASE
0392IbnJinniMawsili.SirrSinacatIcrab.Shamela0012017-ara1,0.73622,RELEASE
0392IbnJinniMawsili.SirrSinacatIcrab.ShamAY0034702-ara1,0.7351,RELEASE
0392IbnJinniMawsili.SirrSinacatIcrab.JK001326-ara1,0.7345,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Shamela0012817-ara1,0.73313,RELEASE
0672IbnMalikJayyaniTai.IjazTacrif.Shamela0010915-ara1,0.73312,RELEASE
34702.json,0.73124,RAWrabicaShamAY3
12817.json,0.72829,RAWrabicaShamAY2
38986.json,0.72754,RAWrabicaShamAY3
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.72596,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.72522,RELEASE
16312.automARkdown,0.70734,RAW_Ghbook
10545.json,0.70624,RAWrabicaShamAY1
1971.html,0.70447,RAWrabicaRafed
37090.json,0.69808,RAWrabicaShamAY3
1851.html,0.69509,RAWrabicaRafed
Shamela023140.txt,0.69153,raw_ShamelaY19
2173.html,0.69153,RAWrabicaRafed
0855ShamsDinDikunquz.SharhCalaMarahArwah.Shamela0023140-ara1,0.69047,RELEASE
2089.html,0.68747,RAWrabicaRafed
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.68304,RELEASE
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.6823,RELEASE
1849.html,0.67669,RAWrabicaRafed
0686RadiDinAstarabadhi.SharhShafiyaIbnHajib.Shia003932Vols-ara1,0.67555,RELEASE
003068Vols.automARkdown,0.6751,RAW_Masaha
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.67487,RELEASE
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.67437,RELEASE
0392IbnJinniMawsili.Khasais.Shamela0009986-ara1,0.67379,RELEASE
Shamela021567.txt,0.67269,raw_ShamelaY19
2072.html,0.67057,RAWrabicaRafed
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.66906,RELEASE
Sham30K0014321,0.66883,RAWrabica015000
Shamela037680.txt,0.6684,raw_ShamelaY19
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.66811,RELEASE
15386.automARkdown,0.66766,RAW_Ghbook
Shamela035101.txt,0.66752,raw_ShamelaY19
3562.html,0.66524,RAWrabicaRafed
2846.html,0.66519,RAWrabicaRafed
1291IbnShaykhNasrAzhariHurini.MatalicNasriyya.Shamela0097799-ara1,0.66517,RELEASE
21567.json,0.66486,RAWrabicaShamAY2
Shamela097799.txt,0.66403,raw_ShamelaY19
12017.bok.json,0.66193,RAWrabicaSham19Y
11243.bok.json,0.66089,RAWrabicaSham19Y
0715RuknDinAstarabadhi.SharhShafiya.Shamela0011750-ara1,0.66089,RELEASE
003162Vols.automARkdown,0.66015,RAW_Masaha
12017.json,0.66004,RAWrabicaShamAY2
2058.html,0.65908,RAWrabicaRafed
11243.json,0.65897,RAWrabicaShamAY2
23140.json,0.65822,RAWrabicaShamAY2
2817.html,0.65676,RAWrabicaRafed
16323.automARkdown,0.6524,RAW_Ghbook
1068.json,0.65222,RAWrabicaShamAY1
1798.html,0.64959,RAWrabicaRafed
0669IbnCusfurHadramiIshbili.MumticKabirFiTasrif.Shamela0008667-ara1,0.64942,RELEASE
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.64915,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.64903,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.JK010722-ara1,0.64893,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.64889,RELEASE
0722.bok.json,0.64818,RAWrabicaSham19Y
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.64813,RELEASE
722.json,0.6481,RAWrabicaShamAY1
Shamela147312.txt,0.64788,raw_ShamelaY19
0643MuntajibHamadhani.FaridFiIcrab.Sham19Y0147312-ara1,0.64778,RELEASE
1894.html,0.6467,RAWrabicaRafed
0745AbuHayyanGharnati.Irtishaf.Sham19Y0016595-ara1,0.64425,RELEASE
9986.json,0.64341,RAWrabicaShamAY1
9986.bok.json,0.64323,RAWrabicaSham19Y
Sham30K0033937,0.64294,RAWrabica020000
1878.html,0.64241,RAWrabicaRafed
32697.json,0.642,RAWrabicaShamAY2
8660.json,0.64076,RAWrabicaShamAY1
8660.bok.json,0.64003,RAWrabicaSham19Y
0510CawtabiSuhari.Ibana.Sham19Y0017879-ara1,0.63902,RELEASE
2782.html,0.63882,RAWrabicaRafed
0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,0.63872,RELEASE
0510CawtabiSuhari.Ibana.Sham19Y0017879-ara1,0.63802,RELEASE
Shamela020985.txt,0.63751,raw_ShamelaY19
0669IbnCusfurHadramiIshbili.SharhJumalZajjaji.ShamAY0037074-ara1,0.63724,RELEASE
32670.json,0.63568,RAWrabicaShamAY2
0643CaliSakhawi.SafarSacada.Sham19Y0017823-ara1,0.63551,RELEASE
16288.automARkdown,0.63536,RAW_Ghbook
7362.json,0.63485,RAWrabicaShamAY1
38966.json,0.63479,RAWrabicaShamAY3
7362.bok.json,0.63477,RAWrabicaSham19Y
0672IbnMalikJayyaniTai.SharhTashilFawaid.Sham19Y0013257-ara1,0.63446,RELEASE
0368Sirafi.SharhKitabSibawayh.Sham19Y0017726-ara1,0.63442,RELEASE
32545.json,0.63414,RAWrabicaShamAY2
0368Sirafi.SharhKitabSibawayh.Sham19Y0017726-ara1,0.63346,RELEASE
2564.html,0.6332,RAWrabicaRafed
37074.json,0.63245,RAWrabicaShamAY3
32580.json,0.63229,RAWrabicaShamAY2
2629.html,0.63175,RAWrabicaRafed
0377IbnAhmadFarisi.Baghdadiyyat.ShamAY0037111-ara1,0.63125,RELEASE
1913.html,0.63102,RAWrabicaRafed
0377IbnAhmadFarisi.MasailCaskariyyat.Sham19Y0018267-ara1,0.63037,RELEASE
0377IbnAhmadFarisi.Baghdadiyyat.ShamAY0037111-ara1,0.63027,RELEASE
