unknown,TFIDF_cosine,libVar
10918.json,0.9994,RAWrabicaShamAY2
10014.json,0.71795,RAWrabicaShamAY1
36795.json,0.70975,RAWrabicaShamAY3
1090IbnCabdWahidAndalusiFasi.TanbihKhillan.Shamela0010011-ara1,0.70842,RELEASE
10011.bok.json,0.69455,RAWrabicaSham19Y
10011.json,0.69352,RAWrabicaShamAY1
0500AhmadAndarabi.IdahFiQiraat.ShamAY0036795-ara1,0.69305,RELEASE
0500AhmadAndarabi.IdahFiQiraat.ShamAY0036795-ara1,0.69125,RELEASE
3568.html,0.6583,RAWrabicaRafed
14255.bok.json,0.64721,RAWrabicaSham19Y
0328IbnQasimAnbari.IdahWaqfWaIbtida.Sham19Y0014255-ara1,0.64632,RELEASE
0328IbnQasimAnbari.IdahWaqfWaIbtida.Sham19Y0014255-ara1,0.64555,RELEASE
32507.json,0.6429,RAWrabicaShamAY2
0496IbnNajahAndalusi.MukhtasarTabyin.Shamela0029988-ara1,0.62525,RELEASE
Shamela029988.txt,0.62429,raw_ShamelaY19
0496IbnNajahAndalusi.MukhtasarTabyin.Shamela0029988-ara1,0.62387,RELEASE
7608.json,0.62266,RAW_ABLibrary
37997.json,0.61863,RAWrabicaShamAY3
7897.json,0.6176,RAW_ABLibrary
2722.html,0.6127,RAWrabicaRafed
43.json,0.61257,RAWrabicaShamAY1
1601.json,0.60802,RAWrabicaShamAY1
7301.json,0.60763,RAWrabicaShamAY1
0705AbuMuhammadMalaqi.DurrNathir.Sham19Y0016999-ara1,0.60718,RELEASE
0335Suli.AdabKuttab.Shamela0001601-ara1,0.60533,RELEASE
Shamela037834.txt,0.60509,raw_ShamelaY19
0335Suli.AdabKuttab.JK009312-ara1,0.60482,RELEASE
0335Suli.AdabKuttab.Shamela0001601-ara1,0.60433,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.60408,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.Shamela0007301-ara1,0.60403,RELEASE
1527.json,0.60356,RAWrabicaShamAY1
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.60355,RELEASE
0224QasimIbnSalam.NasikhWaMansukh.Shamela0037834-ara1,0.60268,RELEASE
2228.json,0.60265,RAWrabicaShamAY1
2228.bok.json,0.60261,RAWrabicaSham19Y
0310Tabari.JamicBayan.JK000164-ara1,0.6021,RELEASE
0224QasimIbnSalam.NasikhWaMansukh.Shamela0037834-ara1,0.60207,RELEASE
0316IbnAbiDawudSijistani.Masahif.JK009180-ara1,0.60031,RELEASE
0316IbnAbiDawudSijistani.Masahif.Shamela0013067-ara1,0.60005,RELEASE
Shamela122406.txt,0.59999,raw_ShamelaY19
0316IbnAbiDawudSijistani.Masahif.JK009180-ara1,0.59909,RELEASE
1719.json,0.59899,RAWrabicaShamAY1
7798.json,0.59882,RAWrabicaShamAY1
0310Tabari.JamicBayan.Shia002468Vols-ara1,0.59821,RELEASE
1669.html,0.59811,RAWrabicaRafed
0310Tabari.JamicBayan.Shamela0000043-ara1,0.59737,RELEASE
