unknown,TFIDF_cosine,libVar
32871.json,0.99181,RAWrabicaShamAY2
1714.json,0.91076,RAWrabicaShamAY1
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.91049,RELEASE
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.90989,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90875,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.90794,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.90769,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90766,RELEASE
10490.json,0.90743,RAWrabicaShamAY1
004135Vols.automARkdown,0.90658,RAW_Masaha
32841.json,0.90517,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.90308,RELEASE
2253.html,0.90308,RAWrabicaRafed
Shamela026878.txt,0.90264,raw_ShamelaY19
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.90261,RELEASE
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.9022,RELEASE
8982.json,0.90206,RAW_ABLibrary
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90193,RELEASE
Shamela029911.txt,0.90184,raw_ShamelaY19
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.9018,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.90164,RELEASE
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.90149,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.90134,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90097,RELEASE
26878.json,0.90096,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.90094,RELEASE
13147.json,0.90056,RAWrabicaShamAY2
29911.json,0.90034,RAWrabicaShamAY2
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.90007,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.90006,RELEASE
12842.json,0.89999,RAWrabicaShamAY2
1225.json,0.89995,RAWrabicaShamAY1
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.8997,RELEASE
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.89959,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.89953,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.89949,RELEASE
