unknown,TFIDF_cosine,libVar
0446AbuYaclaKhalili.Fawaid.Shamela0008240-ara1,0.98834,RELEASE
Sham30K0008240,0.98138,RAWrabica010000
8240.json,0.97921,RAWrabicaShamAY1
8240.bok.json,0.97641,RAWrabicaSham19Y
Shamela0008240,0.94526,RAWrabica035000
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.94399,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.94352,RELEASE
10490.json,0.94097,RAWrabicaShamAY1
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.94086,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.94054,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.9403,RELEASE
1714.json,0.93852,RAWrabicaShamAY1
Shia003488Vols,0.93287,RAWrabica045000
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.93178,RELEASE
8982.json,0.92931,RAW_ABLibrary
0430AbuNucaymIsbahani.FadailKhulafaRashidin.JK011558-ara1,0.92866,RELEASE
2253.html,0.92859,RAWrabicaRafed
004135Vols.automARkdown,0.9281,RAW_Masaha
5562.json,0.92737,RAWrabicaShamAY1
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,0.92684,RELEASE
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.Shamela0005562-ara1,0.92676,RELEASE
5562.bok.json,0.92665,RAWrabicaSham19Y
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.92407,RELEASE
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.9234,RELEASE
0439IbnMuhammadKhallal.Amali.JK011420-ara1,0.92311,RELEASE
32841.json,0.9229,RAWrabicaShamAY2
Shamela026878.txt,0.92253,raw_ShamelaY19
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.92219,RELEASE
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.9214,RELEASE
26878.json,0.92048,RAWrabicaShamAY2
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.92012,RELEASE
0430AbuNucaymIsbahani.MusnadAbiHanifa.Shamela0006721-ara1,0.91962,RELEASE
6721.json,0.91961,RAWrabicaShamAY1
0388IbnBukayrSayrafi.FadailTasmiyya.Shia002090-ara1,0.91899,RELEASE
Shamela029911.txt,0.91898,raw_ShamelaY19
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.91892,RELEASE
13163.json,0.91851,RAWrabicaShamAY2
29911.json,0.91777,RAWrabicaShamAY2
0475IbnMandahCabdWahhabIsbahani.Fawaid.JK010938-ara1,0.91634,RELEASE
0430AbuNucaymIsbahani.MusnadAbiHanifa.Shia002099-ara1,0.91624,RELEASE
Sham30K0002613,0.91602,RAWrabica005000
0388IbnBukayrSayrafi.FadailTasmiyya.Shamela0013135-ara1,0.91521,RELEASE
0430AbuNucaymIsbahani.DhikrManIsmuhuShucba.JK001241-ara1,0.91489,RELEASE
0430AbuNucaymIsbahani.SifatJanna.JK009155-ara1,0.91459,RELEASE
