unknown,TFIDF_cosine,libVar
Shamela029591.txt,1.0,raw_ShamelaY19
38969.json,0.99849,RAWrabicaShamAY3
32513.json,0.81618,RAWrabicaShamAY2
449.json,0.8098,RAWrabicaShamAY1
Shamela037057.txt,0.80729,raw_ShamelaY19
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.80152,RELEASE
0421IbnMuhammadMarzuqi.SharhDiwanHamasa.JK010521-ara1,0.79995,RELEASE
0421IbnMuhammadMarzuqi.SharhDiwanHamasa.Shamela0026536-ara1,0.79987,RELEASE
Shamela026536.txt,0.79774,raw_ShamelaY19
32581.json,0.79687,RAWrabicaShamAY2
26536.json,0.79652,RAWrabicaShamAY2
0455IbnHamdBarujirdi.FathCalaAbiFath.Shamela0037025-ara1,0.79564,RELEASE
Sham30K0033935,0.79524,RAWrabica020000
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.79522,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.Shamela0001587-ara1,0.79511,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.79489,RELEASE
1587.json,0.7936,RAWrabicaShamAY1
386.json,0.79356,RAWrabicaShamAY1
Shamela037025.txt,0.79132,raw_ShamelaY19
0392IbnJinniMawsili.TamamFiTafsirAshcarHudhayl.ShamAY0031951-ara1,0.79125,RELEASE
0392IbnJinniMawsili.TamamFiTafsirAshcarHudhayl.JK010668-ara1,0.78631,RELEASE
0392IbnJinniMawsili.TamamFiTafsirAshcarHudhayl.Shamela0000668-ara1,0.78618,RELEASE
31951.json,0.78574,RAWrabicaShamAY2
Shamela029600.txt,0.7828,raw_ShamelaY19
2081.html,0.78073,RAWrabicaRafed
32584.json,0.78031,RAWrabicaShamAY2
38970.json,0.77963,RAWrabicaShamAY3
002554Vols.automARkdown,0.7788,RAW_Masaha
3562.html,0.7783,RAWrabicaRafed
0502IbnCaliTabriziShaybani.SharhQasaid.Shamela0037488-ara1,0.7783,RELEASE
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.77768,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.7766,RELEASE
0449AbuCalaMacarri.TafsirAbyat.JK010780-ara1,0.77655,RELEASE
0449AbuCalaMacarri.TafsirAbyat.Shamela0000780-ara1,0.77634,RELEASE
1854.html,0.77586,RAWrabicaRafed
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.77581,RELEASE
780.json,0.77552,RAWrabicaShamAY1
867.json,0.77546,RAWrabicaShamAY1
0542IbnCaliDiyaDinIbnShajari.MalamYunshar.Shamela0005354-ara1,0.77501,RELEASE
1056.json,0.77469,RAWrabicaShamAY1
23634.json,0.77446,RAWrabicaShamAY2
Shamela037488.txt,0.7739,raw_ShamelaY19
000150Vols.automARkdown,0.77352,RAW_Masaha
0207IbnZiyadFarra.MacaniQuran.Shamela0023634-ara1,0.77331,RELEASE
396.json,0.77291,RAWrabicaShamAY1
