unknown,TFIDF_cosine,libVar
Shamela029952.txt,0.99467,raw_ShamelaY19
29952.json,0.99105,RAWrabicaShamAY2
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.93453,RELEASE
Shamela029960.txt,0.93403,raw_ShamelaY19
29960.json,0.93271,RAWrabicaShamAY2
0451AbuCuthmanBuhayri.Fawaid.Shamela0029959-ara1,0.92534,RELEASE
Shamela029959.txt,0.9223,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029951-ara1,0.92139,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.91779,RELEASE
29959.json,0.91758,RAWrabicaShamAY2
Shamela029953.txt,0.91498,raw_ShamelaY19
Shamela029951.txt,0.91447,raw_ShamelaY19
29953.json,0.91429,RAWrabicaShamAY2
0426IbnAhmadIbnShadhan.Hadith.Shamela0029972-ara1,0.91081,RELEASE
29951.json,0.90991,RAWrabicaShamAY2
Shamela029972.txt,0.90931,raw_ShamelaY19
33907.json,0.90809,RAWrabicaShamAY2
29951.bok.json,0.90741,RAWrabicaSham19Y
29972.bok.json,0.90092,RAWrabicaSham19Y
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.89981,RELEASE
12842.json,0.89893,RAWrabicaShamAY2
29972.json,0.89887,RAWrabicaShamAY2
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.89728,RELEASE
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.89701,RELEASE
26884.json,0.89612,RAWrabicaShamAY2
Shamela026884.txt,0.89599,raw_ShamelaY19
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.89579,RELEASE
9292.json,0.89508,RAWrabicaShamAY1
0458Bayhaqi.BacthWaNushur.ShamAY0034010-ara1,0.89507,RELEASE
0458Bayhaqi.BacthWaNushur.Shamela0009292-ara1,0.89505,RELEASE
9292.bok.json,0.89502,RAWrabicaSham19Y
32921.json,0.89492,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.Shia001754Vols-ara1,0.89478,RELEASE
32781.json,0.89461,RAWrabicaShamAY2
34010.json,0.89449,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.89445,RELEASE
1384.json,0.89444,RAWrabicaShamAY1
Shamela038202.txt,0.89385,raw_ShamelaY19
31640.json,0.89345,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.ShamAY0033917-ara1,0.89058,RELEASE
0458Bayhaqi.IthbatCadhabQabr.ShamAY0034008-ara1,0.89017,RELEASE
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.88981,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.88929,RELEASE
33917.json,0.88883,RAWrabicaShamAY2
1375.json,0.88832,RAWrabicaShamAY1
Shamela026921.txt,0.88831,raw_ShamelaY19
13163.json,0.88799,RAWrabicaShamAY2
0458Bayhaqi.IthbatCadhabQabr.Shamela0008258-ara1,0.88794,RELEASE
0458Bayhaqi.SunanKubra.JK000484-ara1,0.88697,RELEASE
0550IbnBahramHarami.Fawaid.ShamAY0032764-ara1,0.88683,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.88683,RELEASE
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.88609,RELEASE
34008.json,0.88606,RAWrabicaShamAY2
33704.json,0.885,RAWrabicaShamAY2
1453.json,0.88486,RAWrabicaShamAY1
0465IbnHawazinQushayri.Arbacina.ShamAY0033704-ara1,0.88451,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.88425,RELEASE
8258.json,0.88384,RAWrabicaShamAY1
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.88347,RELEASE
Sham30K0008258,0.8833,RAWrabica010000
32752.json,0.88273,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.88266,RELEASE
13147.json,0.88264,RAWrabicaShamAY2
