unknown,TFIDF_cosine,libVar
1297.json,0.99984,RAWrabicaShamAY1
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.94639,RELEASE
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.94579,RELEASE
Shamela021476.txt,0.94573,raw_ShamelaY19
21476.bok.json,0.94528,RAWrabicaSham19Y
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.94501,RELEASE
21476.json,0.94495,RAWrabicaShamAY2
Shamela026429.txt,0.94462,raw_ShamelaY19
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.9443,RELEASE
26429.json,0.94364,RAWrabicaShamAY2
Sham30K0039018,0.94268,RAWrabica025000
38096.json,0.93255,RAWrabicaShamAY3
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.9318,RELEASE
38094.json,0.9311,RAWrabicaShamAY3
0402MuhammadSaydawi.MucjamShuyukh.Shamela0013177-ara1,0.92912,RELEASE
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.928,RELEASE
Shamela021485.txt,0.92784,raw_ShamelaY19
35229.json,0.92759,RAWrabicaShamAY3
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.92737,RELEASE
0430AbuNucaymIsbahani.ArbacunaCalaMadhhabMutahaqqiqin.Shamela0008246-ara1,0.92638,RELEASE
9595.json,0.92579,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.92552,RELEASE
9595.bok.json,0.92536,RAWrabicaSham19Y
32934.json,0.92505,RAWrabicaShamAY2
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.92405,RELEASE
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.92385,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.92374,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.92369,RELEASE
0423AbuQasimHurfi.Amali.ShamAY0033567-ara1,0.92333,RELEASE
Sham30K0008246,0.92333,RAWrabica010000
33567.json,0.9225,RAWrabicaShamAY2
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.91976,RELEASE
38055.json,0.91953,RAWrabicaShamAY3
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.91931,RELEASE
Sham30K0038957,0.91899,RAWrabica025000
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.9187,RELEASE
38139.json,0.91863,RAWrabicaShamAY3
32931.json,0.91848,RAWrabicaShamAY2
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038055-ara3,0.91824,RELEASE
1401.json,0.91803,RAWrabicaShamAY1
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.9179,RELEASE
1271.json,0.91705,RAWrabicaShamAY1
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.91565,RELEASE
Shamela098138.txt,0.91553,raw_ShamelaY19
33959.json,0.91526,RAWrabicaShamAY2
0273IbnMaja.Sunan.Shamela0098138-ara1,0.91517,RELEASE
21485.bok.json,0.91497,RAWrabicaSham19Y
Sham30K0044088,0.91412,RAWrabica030000
21485.json,0.91387,RAWrabicaShamAY2
Shamela026577.txt,0.91362,raw_ShamelaY19
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.91329,RELEASE
1325.json,0.9132,RAWrabicaShamAY1
0425Anonymous.FawaidIbnSaltWaAbiAhmadFaradi.Sham19Y0027098-ara1,0.91313,RELEASE
0576AbuTahirSilafi.JuzBiIntikhab.Shamela0029790-ara1,0.91309,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.91281,RELEASE
Shamela026474.txt,0.91278,raw_ShamelaY19
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.91272,RELEASE
33941.json,0.9123,RAWrabicaShamAY2
0576AbuTahirSilafi.JuzBiIntikhab.Shamela0029790-ara1,0.91219,RELEASE
0425Anonymous.FawaidIbnSaltWaAbiAhmadFaradi.Sham19Y0027098-ara1,0.91215,RELEASE
0385IbnShahin.JuzHadith.Shamela0026517-ara1,0.91206,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.91186,RELEASE
Shamela029857.txt,0.91185,raw_ShamelaY19
Shamela027098.txt,0.91163,raw_ShamelaY19
0408IbnCabdCazizTaymi.JuzHadith.Shamela0012852-ara1,0.91159,RELEASE
26517.json,0.91146,RAWrabicaShamAY2
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.91116,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033941-ara3,0.91111,RELEASE
0408IbnCabdCazizTaymi.JuzHadith.Shamela0012852-ara1,0.91055,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.91043,RELEASE
Shamela029790.txt,0.90981,raw_ShamelaY19
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.90971,RELEASE
8246.json,0.90946,RAWrabicaShamAY1
27098.json,0.90918,RAWrabicaShamAY2
29790.json,0.90898,RAWrabicaShamAY2
0576AbuTahirSilafi.Tuyurat.Shamela0009634-ara1,0.90875,RELEASE
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.90864,RELEASE
0385IbnShahin.Fawaid.Shamela0022418-ara1,0.90846,RELEASE
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.90831,RELEASE
0385IbnShahin.Fawaid.Shamela0022418-ara1,0.90827,RELEASE
Shamela026517.txt,0.90785,raw_ShamelaY19
38104.json,0.90754,RAWrabicaShamAY3
0369AbuShaykhIsbahani.Cawali.Shamela0026572-ara1,0.90721,RELEASE
Sham30K0038949,0.90715,RAWrabica025000
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.90701,RELEASE
Shamela026572.txt,0.90685,raw_ShamelaY19
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.90662,RELEASE
26572.bok.json,0.90653,RAWrabicaSham19Y
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.90648,RELEASE
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.90644,RELEASE
0369AbuShaykhIsbahani.Cawali.Shamela0026572-ara1,0.90639,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.90631,RELEASE
22418.json,0.90612,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.90599,RELEASE
0360Tabarani.Duca.ShamAY0033982-ara1,0.90595,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.90582,RELEASE
38153.json,0.90563,RAWrabicaShamAY3
33982.json,0.9056,RAWrabicaShamAY2
26564.json,0.90546,RAWrabicaShamAY2
26564.bok.json,0.90512,RAWrabicaSham19Y
Shamela026564.txt,0.90497,raw_ShamelaY19
13075.json,0.90485,RAWrabicaShamAY2
32784.json,0.90475,RAWrabicaShamAY2
8246.bok.json,0.90457,RAWrabicaSham19Y
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.90446,RELEASE
1405.json,0.9042,RAWrabicaShamAY1
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.90355,RELEASE
26572.json,0.90342,RAWrabicaShamAY2
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.90333,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.90328,RELEASE
0498IbnMuhammadAbuBakrIsbahani.Juz.Shamela0013105-ara1,0.90309,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.90306,RELEASE
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.90298,RELEASE
0317AbuQasimBaghawi.JuzThalathaWaThalathina.Shamela0013101-ara1,0.90293,RELEASE
0377IbnAhmadJurjani.JuzIbnGhitrif.Shamela0013096-ara1,0.90289,RELEASE
Shamela022418.txt,0.90266,raw_ShamelaY19
0377IbnAhmadJurjani.JuzIbnGhitrif.JK000646-ara1,0.90262,RELEASE
13034.bok.json,0.90254,RAWrabicaSham19Y
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.90199,RELEASE
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.90189,RELEASE
32905.json,0.90175,RAWrabicaShamAY2
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.90167,RELEASE
0377IbnAhmadJurjani.JuzIbnGhitrif.JK000646-ara1,0.90163,RELEASE
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.90142,RELEASE
0430AbuNucaymIsbahani.TasmiyatRuwatCanFadlIbnDakin.Shamela0009312-ara1,0.90132,RELEASE
26577.json,0.9013,RAWrabicaShamAY2
13034.json,0.90115,RAWrabicaShamAY2
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.90095,RELEASE
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.90087,RELEASE
13177.json,0.90085,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TasmiyatRuwatCanFadlIbnDakin.Shamela0009312-ara1,0.90078,RELEASE
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.90057,RELEASE
4003.json,0.9003,RAWrabicaShamAY1
0365IbnCadiJurjani.KamilFiDucafa.ShamAY0034661-ara1,0.90022,RELEASE
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.90017,RELEASE
1381.json,0.90009,RAWrabicaShamAY1
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.89981,RELEASE
38082.json,0.89978,RAWrabicaShamAY3
4003.bok.json,0.89977,RAWrabicaSham19Y
Shamela029991.txt,0.89974,raw_ShamelaY19
34661.json,0.89963,RAWrabicaShamAY3
Shamela038194.txt,0.89962,raw_ShamelaY19
0414IbnHasanGhadairi.Juz.Shamela0026395-ara1,0.8996,RELEASE
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.89944,RELEASE
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.89933,RELEASE
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.89926,RELEASE
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.8992,RELEASE
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.89912,RELEASE
12546.bok.json,0.89894,RAWrabicaSham19Y
12546.json,0.89873,RAWrabicaShamAY2
0414IbnHasanGhadairi.Juz.Shamela0026395-ara1,0.89834,RELEASE
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.89828,RELEASE
