unknown,TFIDF_cosine,libVar
33587.json,0.86429,RAWrabicaShamAY2
Shamela029951.txt,0.56373,raw_ShamelaY19
Shamela029959.txt,0.56287,raw_ShamelaY19
Shamela029911.txt,0.56067,raw_ShamelaY19
Shamela029953.txt,0.56017,raw_ShamelaY19
Shamela026665.txt,0.5592,raw_ShamelaY19
Shamela029960.txt,0.55769,raw_ShamelaY19
Shamela026878.txt,0.55757,raw_ShamelaY19
002357.automARkdown,0.55737,RAW_Masaha
29951.bok.json,0.55513,RAWrabicaSham19Y
Shamela030673.txt,0.5549,raw_ShamelaY19
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.55371,RELEASE
33678.json,0.55348,RAWrabicaShamAY2
7397.json,0.55345,RAW_ABLibrary
Shamela030024.txt,0.55331,raw_ShamelaY19
6768.json,0.55305,RAWrabicaShamAY1
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.55221,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029959-ara1,0.55201,RELEASE
29911.json,0.55195,RAWrabicaShamAY2
Shamela021477.txt,0.55187,raw_ShamelaY19
13055.json,0.55175,RAWrabicaShamAY2
Shamela038202.txt,0.55173,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029951-ara1,0.55164,RELEASE
Shamela029771.txt,0.55123,raw_ShamelaY19
10441.json,0.55091,RAWrabicaShamAY1
Shamela131336.txt,0.5505,raw_ShamelaY19
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.55027,RELEASE
2194.html,0.55015,RAWrabicaRafed
Shamela022334.txt,0.55014,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.55001,RELEASE
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.54926,RELEASE
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.5492,RELEASE
26878.json,0.54914,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.JK000484-ara1,0.54904,RELEASE
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.54904,RELEASE
5740.bok.json,0.54897,RAWrabicaSham19Y
26665.json,0.54892,RAWrabicaShamAY2
Shamela026487.txt,0.54882,raw_ShamelaY19
31640.json,0.54878,RAWrabicaShamAY2
0510IbnCaliAbuGhanaimNursi.ThawabQada.JK001253-ara1,0.54872,RELEASE
6018.json,0.54867,RAWrabicaShamAY1
0510IbnCaliAbuGhanaimNursi.ThawabQada.Shamela0006768-ara1,0.54867,RELEASE
Shamela030652.txt,0.54834,raw_ShamelaY19
0576AbuTahirSilafi.ArbacunaBuldaniyya.Shamela0009372-ara1,0.54822,RELEASE
0347.bok.json,0.54806,RAWrabicaSham19Y
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.54805,RELEASE
5740.json,0.54773,RAWrabicaShamAY1
0458Bayhaqi.SunanKubra.Shia001754Vols-ara1,0.54758,RELEASE
347.json,0.54725,RAWrabicaShamAY1
1384.json,0.54724,RAWrabicaShamAY1
0575IbnBabawayh.Arbacuna.ShamAY0032835-ara1,0.54719,RELEASE
0562Samcani.AdabImla.Shia002173-ara1,0.54704,RELEASE
Shamela030606.txt,0.54701,raw_ShamelaY19
Shamela030648.txt,0.54698,raw_ShamelaY19
Shamela022301.txt,0.54677,raw_ShamelaY19
33668.json,0.54675,RAWrabicaShamAY2
1306.json,0.5466,RAWrabicaShamAY1
33538.json,0.54627,RAWrabicaShamAY2
Shamela030257.txt,0.54617,raw_ShamelaY19
0458Bayhaqi.SunanKubra.ShamAY0033917-ara1,0.54605,RELEASE
001831.automARkdown,0.54582,RAW_Masaha
2241.html,0.54563,RAWrabicaRafed
0562Samcani.AdabImla.JK000448-ara1,0.54524,RELEASE
32835.json,0.54522,RAWrabicaShamAY2
0562Samcani.AdabImla.Shamela0006018-ara1,0.5452,RELEASE
Shamela026884.txt,0.54519,raw_ShamelaY19
12750.bok.json,0.54518,RAWrabicaSham19Y
29953.json,0.54516,RAWrabicaShamAY2
29959.json,0.54514,RAWrabicaShamAY2
33917.json,0.54488,RAWrabicaShamAY2
33591.json,0.54481,RAWrabicaShamAY2
29960.json,0.54478,RAWrabicaShamAY2
Shamela021635.txt,0.54456,raw_ShamelaY19
30673.json,0.54432,RAWrabicaShamAY2
0576AbuTahirSilafi.AhadithWaHikayat.Shamela0030024-ara1,0.54425,RELEASE
Sham30K0014274,0.54424,RAWrabica015000
22334.bok.json,0.54421,RAWrabicaSham19Y
10480.json,0.54416,RAWrabicaShamAY1
29951.json,0.54396,RAWrabicaShamAY2
Shamela030646.txt,0.54354,raw_ShamelaY19
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.54343,RELEASE
0463KhatibBaghdadi.TalkhisMutashabih.Shamela0021477-ara1,0.54327,RELEASE
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.54319,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.54271,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.54244,RELEASE
30024.json,0.54222,RAWrabicaShamAY2
0574ShuhdaBintAhmad.Cumda.JK001207-ara1,0.54218,RELEASE
13163.json,0.54217,RAWrabicaShamAY2
Shamela030731.txt,0.54217,raw_ShamelaY19
22301.bok.json,0.5421,RAWrabicaSham19Y
0463KhatibBaghdadi.DhikrJahrBiBasmala.Shamela0029892-ara1,0.54208,RELEASE
Shamela026561.txt,0.54153,raw_ShamelaY19
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.54148,RELEASE
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.54136,RELEASE
32766.json,0.54134,RAWrabicaShamAY2
Shamela030644.txt,0.5412,raw_ShamelaY19
8982.json,0.54118,RAW_ABLibrary
0535QawwamSunna.Amali.ShamAY0032916-ara1,0.54117,RELEASE
0571IbnCasakir.MucjamShuyukh.Shamela0012750-ara1,0.541,RELEASE
2196.html,0.54094,RAWrabicaRafed
Shamela030025.txt,0.54093,raw_ShamelaY19
0463KhatibBaghdadi.IqtidaCilmCamal.Shamela0012985-ara1,0.54087,RELEASE
Shamela029783.txt,0.54069,raw_ShamelaY19
0441IbnMuhammadCatiqi.Takhrij.Shamela0022334-ara1,0.5405,RELEASE
12985.json,0.54033,RAWrabicaShamAY2
004135Vols.automARkdown,0.54032,RAW_Masaha
12750.json,0.53997,RAWrabicaShamAY2
2253.html,0.53989,RAWrabicaRafed
8981.json,0.5398,RAW_ABLibrary
Shamela029747.txt,0.53929,raw_ShamelaY19
32841.json,0.53914,RAWrabicaShamAY2
9372.json,0.53892,RAWrabicaShamAY1
30257.bok.json,0.53883,RAWrabicaSham19Y
26487.json,0.53853,RAWrabicaShamAY2
1714.json,0.53836,RAWrabicaShamAY1
Shamela030700.txt,0.53806,raw_ShamelaY19
0475IbnMandahCabdWahhabIsbahani.Fawaid.Shia002163-ara1,0.53739,RELEASE
Shamela029778.txt,0.53736,raw_ShamelaY19
21635.json,0.53732,RAWrabicaShamAY2
2251.html,0.53732,RAWrabicaRafed
5724.bok.json,0.53701,RAWrabicaSham19Y
32943.json,0.53686,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.Shamela0002266-ara1,0.53682,RELEASE
32916.json,0.53665,RAWrabicaShamAY2
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.53653,RELEASE
Shamela022882.txt,0.5365,raw_ShamelaY19
22301.json,0.53634,RAWrabicaShamAY2
26884.json,0.53628,RAWrabicaShamAY2
Shamela026566.txt,0.53592,raw_ShamelaY19
0538IbnQasimShafici.Majlisan.ShamAY0032943-ara1,0.53589,RELEASE
30652.json,0.53585,RAWrabicaShamAY2
30606.json,0.5358,RAWrabicaShamAY2
32838.json,0.53574,RAWrabicaShamAY2
Shamela030246.txt,0.53568,raw_ShamelaY19
2295.html,0.53566,RAWrabicaRafed
Shamela029948.txt,0.53541,raw_ShamelaY19
30648.json,0.53538,RAWrabicaShamAY2
Shamela030586.txt,0.53537,raw_ShamelaY19
12752.bok.json,0.53531,RAWrabicaSham19Y
9371.json,0.53469,RAWrabicaShamAY1
30644.bok.json,0.53463,RAWrabicaSham19Y
Shia002173,0.5346,RAWrabica040000
Shamela026731.txt,0.53447,raw_ShamelaY19
10826.json,0.53443,RAWrabicaShamAY2
22334.json,0.53442,RAWrabicaShamAY2
Shamela029892.txt,0.53437,raw_ShamelaY19
30700.bok.json,0.5343,RAWrabicaSham19Y
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.534,RELEASE
10514.json,0.53399,RAWrabicaShamAY1
1782.html,0.53391,RAWrabicaRafed
0571IbnCasakir.ArbacunaMinMusawat.Shamela0009371-ara1,0.5338,RELEASE
5724.json,0.53365,RAWrabicaShamAY1
30257.json,0.53359,RAWrabicaShamAY2
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.53345,RELEASE
0454AbuMuhammadJawhari.Amali.Shamela0029771-ara1,0.53344,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.53339,RELEASE
35227.json,0.53313,RAWrabicaShamAY3
Shamela026560.txt,0.53311,raw_ShamelaY19
26561.json,0.53308,RAWrabicaShamAY2
33907.json,0.53307,RAWrabicaShamAY2
13135.bok.json,0.53306,RAWrabicaSham19Y
Shamela029900.txt,0.53294,raw_ShamelaY19
32859.json,0.53278,RAWrabicaShamAY2
Shamela024229.txt,0.53276,raw_ShamelaY19
29778.bok.json,0.5327,RAWrabicaSham19Y
Shamela018611.txt,0.53264,raw_ShamelaY19
Shamela030142.txt,0.53254,raw_ShamelaY19
Shia002103Vols,0.53252,RAWrabica040000
9886.json,0.53237,RAWrabicaShamAY1
001980Vols.automARkdown,0.53233,RAW_Masaha
38144.json,0.53224,RAWrabicaShamAY3
9382.json,0.5322,RAWrabicaShamAY1
Shamela029976.txt,0.53217,raw_ShamelaY19
34134.json,0.53203,RAWrabicaShamAY2
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.53195,RELEASE
30646.json,0.53173,RAWrabicaShamAY2
10494.json,0.53171,RAWrabicaShamAY1
Shamela026730.txt,0.53156,raw_ShamelaY19
0563IbnCaliTamidhi.Juz.ShamAY0033582-ara1,0.53146,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.53143,RELEASE
32781.json,0.53134,RAWrabicaShamAY2
Sham30K0038952,0.5312,RAWrabica025000
0489IbnFadlIsbahani.FawaidCawali.Shamela0010514-ara1,0.53117,RELEASE
Shamela030552.txt,0.531,raw_ShamelaY19
2266.json,0.53096,RAWrabicaShamAY1
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.53087,RELEASE
5924.json,0.53085,RAWrabicaShamAY1
0463KhatibBaghdadi.ArbacMajalis.Shamela0030025-ara1,0.5308,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.53047,RELEASE
12842.json,0.53041,RAWrabicaShamAY2
Shamela026553.txt,0.53039,raw_ShamelaY19
Shamela029972.txt,0.53025,raw_ShamelaY19
5671.json,0.53014,RAWrabicaShamAY1
12752.json,0.5301,RAWrabicaShamAY2
Shamela030609.txt,0.53008,raw_ShamelaY19
Shamela030324.txt,0.52989,raw_ShamelaY19
0500IbnAhmadSarrajBaghdadi.Fawaid.ShamAY0038144-ara1,0.52978,RELEASE
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.5297,RELEASE
0508IbnMukhtarBaghdadi.Fawaid.Shamela0029778-ara1,0.52957,RELEASE
0386IbnCumarHarbi.Harbiyyat.Shamela0010494-ara1,0.52951,RELEASE
10843.json,0.52951,RAWrabicaShamAY2
30025.json,0.52937,RAWrabicaShamAY2
30644.json,0.52931,RAWrabicaShamAY2
0463KhatibBaghdadi.IqtidaCilmCamal.JK000607-ara1,0.52924,RELEASE
Shamela027105.txt,0.52922,raw_ShamelaY19
30700.json,0.52914,RAWrabicaShamAY2
22882.json,0.52896,RAWrabicaShamAY2
30731.json,0.52894,RAWrabicaShamAY2
