unknown,TFIDF_cosine,libVar
Shamela148536.txt,1.0,raw_ShamelaY19
148536.bok.json,0.9994,RAWrabicaSham19Y
5375.json,0.81607,RAWrabicaShamAY1
1290CabdGhaffarAkhras.Diwan.JK007640-ara1,0.80118,RELEASE
37954.json,0.79459,RAWrabicaShamAY3
0517IbnKhayyatShacir.Diwan.Sham19Y0148537-ara1,0.79075,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.79012,RELEASE
12856.json,0.78931,RAWrabicaShamAY2
0517IbnKhayyatShacir.Diwan.Sham19Y0148537-ara1,0.78794,RELEASE
0362IbnHaniAndalusi.Diwan.JK007572-ara1,0.78763,RELEASE
0429AbuMansurThacalibi.Tamthil.JK010529-ara1,0.78725,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.78721,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.78681,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.78661,RELEASE
0231AbuTamam.Diwan.ShamAY0037821-ara1,0.78603,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.78598,RELEASE
5683.json,0.78522,RAWrabicaShamAY1
1031BahaDinCamili.Kashkul.JK009365-ara1,0.78382,RELEASE
148537.bok.json,0.78343,RAWrabicaSham19Y
579.json,0.78323,RAWrabicaShamAY1
5683.bok.json,0.78307,RAWrabicaSham19Y
37821.json,0.78249,RAWrabicaShamAY3
0362IbnHaniAndalusi.Diwan.JK007572-ara1,0.78208,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.78056,RELEASE
0362IbnHaniAndalusi.Diwan.ShamAY0037881-ara1,0.77984,RELEASE
Shamela148537.txt,0.77955,raw_ShamelaY19
1571.json,0.77939,RAWrabicaShamAY1
1522.json,0.7775,RAWrabicaShamAY1
0416CaliIbnMuhammadTihami.Diwan.JK007623-ara1,0.77747,RELEASE
37881.json,0.77732,RAWrabicaShamAY3
0416CaliIbnMuhammadTihami.Diwan.JK007623-ara1,0.77696,RELEASE
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.77612,RELEASE
0597CimadDinKatibIsfahani.KharidatQasr.JK009370Vols-ara1,0.77385,RELEASE
1331IbnAminShinqiti.WasitFiTarajim.Shamela0095696-ara1,0.77313,RELEASE
37923.json,0.77302,RAWrabicaShamAY3
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.77288,RELEASE
1268.json,0.77256,RAWrabicaShamAY1
12815.json,0.77251,RAWrabicaShamAY2
Sham30K0033844,0.77148,RAWrabica020000
622.json,0.77145,RAWrabicaShamAY1
298.json,0.7708,RAWrabicaShamAY1
34642.json,0.77016,RAWrabicaShamAY3
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.77011,RELEASE
0247FathIbnKhaqan.QalaidCiqyan.Shamela0021510-ara1,0.7701,RELEASE
0247FathIbnKhaqan.QalaidCiqyan.Shamela0021510-ara1,0.76985,RELEASE
