unknown,TFIDF_cosine,libVar
0458Bayhaqi.JamicFiKhatim.Shamela0009300-ara1,0.97425,RELEASE
9300.json,0.96957,RAWrabicaShamAY1
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.74025,RELEASE
Shamela148486.txt,0.73858,raw_ShamelaY19
6062.json,0.73824,RAWrabicaShamAY1
0458Bayhaqi.BacthWaNushur.Sham19Y0147811-ara1,0.72462,RELEASE
Shamela147811.txt,0.72303,raw_ShamelaY19
0458Bayhaqi.Adab.JK011283-ara1,0.72288,RELEASE
0458Bayhaqi.QadaWaQadar.JK009179-ara1,0.72182,RELEASE
0458Bayhaqi.SunanKubra.ShamAY0033909-ara1,0.7205,RELEASE
0498AbuCaliJayyani.TaqyidMuhmal.JK000986-ara1,0.71858,RELEASE
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.JK000732-ara1,0.71848,RELEASE
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.Shamela0012993-ara1,0.71717,RELEASE
0498AbuCaliJayyani.TaqyidMuhmal.Shamela0005795-ara1,0.71697,RELEASE
5795.json,0.71641,RAWrabicaShamAY1
Sham30K0038872,0.71627,RAWrabica025000
0275AbuDawudSijistani.Sunan.Shamela0117359-ara1,0.7158,RELEASE
33909.json,0.71566,RAWrabicaShamAY2
Shamela117359.txt,0.71484,raw_ShamelaY19
38107.json,0.7142,RAWrabicaShamAY3
Shamela098126.txt,0.71316,raw_ShamelaY19
5635.json,0.71185,RAWrabicaShamAY1
0458Bayhaqi.DalailNubuwwa.JK006838-ara1,0.71095,RELEASE
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.71009,RELEASE
0458Bayhaqi.FadailAwqat.Shia002106-ara1,0.71008,RELEASE
6025.json,0.70972,RAWrabicaShamAY1
12993.json,0.70912,RAWrabicaShamAY2
0458Bayhaqi.QadaWaQadar.Shamela0013053-ara1,0.70707,RELEASE
2299.html,0.70578,RAWrabicaRafed
35229.json,0.70571,RAWrabicaShamAY3
Shamela026039.txt,0.70473,raw_ShamelaY19
0458Bayhaqi.MacrifatSunanWaAthar.Shia002108Vols-ara1,0.70368,RELEASE
26039.json,0.70282,RAWrabicaShamAY2
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.70246,RELEASE
13089.bok.json,0.70245,RAWrabicaSham19Y
Sham30K0039018,0.702,RAWrabica025000
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.70192,RELEASE
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.70174,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.70159,RELEASE
13053.json,0.70132,RAWrabicaShamAY2
002336.automARkdown,0.70125,RAW_Masaha
1719.json,0.70124,RAWrabicaShamAY1
0463KhatibBaghdadi.TaqyidCilm.JK000627-ara1,0.70078,RELEASE
Sham30K0014292,0.70067,RAWrabica015000
8572.json,0.70056,RAW_ABLibrary
Sham30K0033906,0.70036,RAWrabica020000
176.html,0.70026,RAWrabicaRafed
0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034664-ara1,0.69987,RELEASE
0385IbnShahin.NasikhHadithWaMansukhuh.Shia002088-ara1,0.69906,RELEASE
1271.json,0.69882,RAWrabicaShamAY1
0463KhatibBaghdadi.TaqyidCilm.Shamela0013089-ara1,0.69799,RELEASE
13187.json,0.69794,RAWrabicaShamAY2
0360Tabarani.MucjamAwsat.Shia002034Vols-ara1,0.69772,RELEASE
11077.bok.json,0.69771,RAWrabicaSham19Y
13089.json,0.69751,RAWrabicaShamAY2
004533.automARkdown,0.69724,RAW_Masaha
