unknown,TFIDF_cosine,libVar
35009.json,0.8926,RAWrabicaShamAY3
33172.json,0.39062,RAWrabicaShamAY2
3177.html,0.38704,RAWrabicaRafed
1010TamimiDari.TabaqatSaniya.ShamAY0034662-ara1,0.38357,RELEASE
9992.json,0.38242,RAWrabicaShamAY1
38513.json,0.38073,RAWrabicaShamAY3
37996.json,0.38069,RAWrabicaShamAY3
Shamela095700.txt,0.37387,raw_ShamelaY19
Shamela029677.txt,0.3729,raw_ShamelaY19
Shamela038093.txt,0.37265,raw_ShamelaY19
32114.json,0.37229,RAWrabicaShamAY2
Shamela020763.txt,0.37174,raw_ShamelaY19
28.json,0.37117,RAWrabicaShamAY1
11354.bok.json,0.37003,RAWrabicaSham19Y
Shamela038155.txt,0.36997,raw_ShamelaY19
11324.json,0.36788,RAWrabicaShamAY2
0460AbuIshaqIlbiri.Diwan.JK000032-ara1,0.36755,RELEASE
12028.json,0.36755,RAWrabicaShamAY2
Shamela133368.txt,0.36716,raw_ShamelaY19
29677.bok.json,0.3666,RAWrabicaSham19Y
Sham30K0002807,0.36646,RAWrabica005000
Sham30K0038816,0.3661,RAWrabica025000
34503.json,0.366,RAWrabicaShamAY3
Shamela037456.txt,0.36587,raw_ShamelaY19
11354.json,0.36554,RAWrabicaShamAY2
31785.json,0.36505,RAWrabicaShamAY2
Shamela037348.txt,0.36483,raw_ShamelaY19
38093.bok.json,0.36439,RAWrabicaSham19Y
37720.json,0.36412,RAWrabicaShamAY3
Shamela147597.txt,0.36399,raw_ShamelaY19
Shamela037972.txt,0.36385,raw_ShamelaY19
9986.bok.json,0.36383,RAWrabicaSham19Y
Shamela036427.txt,0.36381,raw_ShamelaY19
32338.json,0.36375,RAWrabicaShamAY2
Shamela037593.txt,0.36375,raw_ShamelaY19
Shamela037458.txt,0.36273,raw_ShamelaY19
Shamela023631.txt,0.36272,raw_ShamelaY19
35959.json,0.36266,RAWrabicaShamAY3
Shamela023794.txt,0.3626,raw_ShamelaY19
122232.bok.json,0.36214,RAWrabicaSham19Y
Shamela020986.txt,0.36177,raw_ShamelaY19
Shamela123663.txt,0.36174,raw_ShamelaY19
0514.bok.json,0.36162,RAWrabicaSham19Y
Shamela145410.txt,0.36141,raw_ShamelaY19
35719.json,0.36114,RAWrabicaShamAY3
38482.json,0.36114,RAWrabicaShamAY3
35003.json,0.3611,RAWrabicaShamAY3
3.json,0.36098,RAWrabicaShamAY1
Sham30K0044030,0.36087,RAWrabica030000
3150.html,0.36086,RAWrabicaRafed
Shamela145376.txt,0.3608,raw_ShamelaY19
35859.json,0.36074,RAWrabicaShamAY3
10541.json,0.36062,RAWrabicaShamAY1
Sham30K0008302,0.36061,RAWrabica010000
2347.html,0.36057,RAWrabicaRafed
Shamela095660.txt,0.36053,raw_ShamelaY19
11082.json,0.36046,RAWrabicaShamAY2
Shamela096844.txt,0.36046,raw_ShamelaY19
Shamela037345.txt,0.36041,raw_ShamelaY19
12091.json,0.3604,RAWrabicaShamAY2
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.36028,RELEASE
Shamela026523.txt,0.35964,raw_ShamelaY19
55.json,0.35934,RAWrabicaShamAY1
38887.json,0.35931,RAWrabicaShamAY3
Shamela023595.txt,0.35912,raw_ShamelaY19
Shamela022664.txt,0.35907,raw_ShamelaY19
1236.json,0.35904,RAWrabicaShamAY1
Shamela115131.txt,0.35869,raw_ShamelaY19
Shamela150601.txt,0.35865,raw_ShamelaY19
6869.json,0.35862,RAWrabicaShamAY1
0460AbuIshaqIlbiri.Diwan.JK000032-ara1,0.35861,RELEASE
36932.json,0.35854,RAWrabicaShamAY3
2035.json,0.3585,RAWrabicaShamAY1
38512.json,0.35848,RAWrabicaShamAY3
31741.json,0.35847,RAWrabicaShamAY2
133377.bok.json,0.35837,RAWrabicaSham19Y
Shamela018612.txt,0.35835,raw_ShamelaY19
31699.json,0.35813,RAWrabicaShamAY2
9986.json,0.35813,RAWrabicaShamAY1
12034.bok.json,0.35804,RAWrabicaSham19Y
35696.json,0.35792,RAWrabicaShamAY3
38641.json,0.35777,RAWrabicaShamAY3
38387.json,0.35768,RAWrabicaShamAY3
004054Vols.automARkdown,0.35761,RAW_Masaha
Shamela036571.txt,0.3576,raw_ShamelaY19
Shamela145411.txt,0.35733,raw_ShamelaY19
Shamela122173.txt,0.35725,raw_ShamelaY19
122406.bok.json,0.35725,RAWrabicaSham19Y
625.json,0.35719,RAWrabicaShamAY1
1031BahaDinCamili.Kashkul.JK009365-ara1,0.35717,RELEASE
38891.json,0.35715,RAWrabicaShamAY3
36640.json,0.35706,RAWrabicaShamAY3
Shamela020643.txt,0.35701,raw_ShamelaY19
