unknown,TFIDF_cosine,libVar
10909.json,0.99997,RAWrabicaShamAY2
0463IbnRashiqQayrawani.CumdaFiMahasinShicr.JK010637-ara1,0.99997,RELEASE
Sham30K0033943,0.99913,RAWrabica020000
0629.bok.json,0.86115,RAWrabicaSham19Y
629.json,0.86078,RAWrabicaShamAY1
Sham30K0033802,0.85849,RAWrabica020000
824.json,0.83833,RAW_ABLibrary
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.83812,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.83768,RELEASE
10768.bok.json,0.83705,RAWrabicaSham19Y
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.83628,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.8362,RELEASE
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.83584,RELEASE
10768.json,0.83408,RAWrabicaShamAY2
33801.json,0.83297,RAWrabicaShamAY2
33779.json,0.83288,RAWrabicaShamAY2
0453AbuIshaqHusri.ZuhrAdab.JK009230-ara1,0.83138,RELEASE
0395AbuHilalCaskari.Sinacatayn.Shamela0023787-ara1,0.8311,RELEASE
Shamela023785.txt,0.83101,raw_ShamelaY19
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0.83011,RELEASE
7903.json,0.82978,RAW_ABLibrary
0436SharifMurtada.Amali.Shia001326Vols-ara1,0.82968,RELEASE
Shamela023787.txt,0.82955,raw_ShamelaY19
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.82915,RELEASE
10614.json,0.82886,RAWrabicaShamAY1
0395AbuHilalCaskari.Sinacatayn.JK006910-ara1,0.82881,RELEASE
0276IbnQutaybaDinawari.ShicrWaShucara.Shamela0023785-ara1,0.8275,RELEASE
23787.json,0.8274,RAWrabicaShamAY2
003365Vols.automARkdown,0.8268,RAW_Masaha
0276IbnQutaybaDinawari.ShicrWaShucara.JK010554-ara2,0.82662,RELEASE
003390Vols.automARkdown,0.82654,RAW_Masaha
6951.json,0.82644,RAWrabicaShamAY1
Sham30K0033834,0.82603,RAWrabica020000
34519.json,0.82543,RAWrabicaShamAY3
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.82361,RELEASE
7414.bok.json,0.82178,RAWrabicaSham19Y
7414.json,0.82173,RAWrabicaShamAY1
746.json,0.82133,RAWrabicaShamAY1
Shamela020937.txt,0.8207,raw_ShamelaY19
5448.json,0.82007,RAWrabicaShamAY1
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.8178,RELEASE
1349.json,0.81743,RAWrabicaShamAY1
002790Vols.automARkdown,0.81729,RAW_Masaha
Sham30K0033824,0.81702,RAWrabica020000
0395AbuHilalCaskari.DiwanMacani.JK006921-ara1,0.81698,RELEASE
0395AbuHilalCaskari.DiwanMacani.Shamela0006909-ara1,0.81682,RELEASE
819.json,0.81661,RAWrabicaShamAY1
0573NashwanHimyari.HurCin.Shamela0022885-ara1,0.81604,RELEASE
0573NashwanHimyari.HurCin.JK010635-ara1,0.81602,RELEASE
Shamela036072.txt,0.8159,raw_ShamelaY19
6909.json,0.81549,RAWrabicaShamAY1
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.81494,RELEASE
Shamela022885.txt,0.81449,raw_ShamelaY19
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.81415,RELEASE
3267.html,0.81379,RAWrabicaRafed
002985Vols.automARkdown,0.81324,RAW_Masaha
Shamela020986.txt,0.81287,raw_ShamelaY19
Sham30K0039083,0.81285,RAWrabica025000
Sham30K0033843,0.81237,RAWrabica020000
22885.json,0.81233,RAWrabicaShamAY2
0285IbnYazidMubarrad.KamilFiLugha.ShamIbadiyya0000642-ara1,0.81227,RELEASE
10551.json,0.81202,RAWrabicaShamAY1
0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0.81196,RELEASE
11239.json,0.81191,RAWrabicaShamAY2
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.81182,RELEASE
473.json,0.81166,RAWrabicaShamAY1
Shamela023789.txt,0.81158,raw_ShamelaY19
7902.json,0.81151,RAW_ABLibrary
0466IbnSinanKhafaji.SirrFasaha.Shamela0011239-ara1,0.81126,RELEASE
0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1,0.81062,RELEASE
0337QudamaIbnJacfar.NaqdShicr.Shamela0028181-ara1,0.81038,RELEASE
Shamela028181.txt,0.81028,raw_ShamelaY19
23789.json,0.81012,RAWrabicaShamAY2
0429AbuMansurThacalibi.ThimarQulub.Shamela0006896-ara1,0.8093,RELEASE
0429AbuMansurThacalibi.ThimarQulub.JK000982-ara1,0.80916,RELEASE
8505.bok.json,0.80817,RAWrabicaSham19Y
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.80791,RELEASE
8505.json,0.8078,RAWrabicaShamAY1
0449AbuCalaMacarri.RisalatGhifran.JK009234-ara1,0.80779,RELEASE
