unknown,TFIDF_cosine,libVar
12985.json,0.99982,RAWrabicaShamAY2
0463KhatibBaghdadi.IqtidaCilmCamal.JK000607-ara1,0.99188,RELEASE
0463KhatibBaghdadi.IqtidaCilmCamal.Shia002116-ara1,0.98581,RELEASE
Shia002116,0.96014,RAWrabica040000
13055.json,0.95801,RAWrabicaShamAY2
0463KhatibBaghdadi.KifayaFiCilmRiwaya.JK000135-ara1,0.94796,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shamela0013055-ara1,0.94778,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.9439,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.94356,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.Shamela0013020-ara1,0.93742,RELEASE
13020.json,0.93588,RAWrabicaShamAY2
Shamela029953.txt,0.93499,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.93475,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029948-ara1,0.93327,RELEASE
Shamela029948.txt,0.93306,raw_ShamelaY19
0458Bayhaqi.ZuhdKabir.JK001288-ara1,0.9328,RELEASE
0458Bayhaqi.ZuhdKabir.JK001288-ara1,0.93246,RELEASE
0643DiyaDinMuqaddasi.MuntaqaMinMasmucatMarw.Shamela0021635-ara1,0.93188,RELEASE
Shamela021635.txt,0.93091,raw_ShamelaY19
Sham30K0014274,0.93055,RAWrabica015000
002357.automARkdown,0.93045,RAW_Masaha
21635.json,0.93023,RAWrabicaShamAY2
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.92841,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.92833,RELEASE
29948.json,0.92813,RAWrabicaShamAY2
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.928,RELEASE
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.92703,RELEASE
32841.json,0.92683,RAWrabicaShamAY2
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.92675,RELEASE
Shia002158,0.92665,RAWrabica040000
Shamela029951.txt,0.92661,raw_ShamelaY19
0562Samcani.AdabImla.Shia002173-ara1,0.92612,RELEASE
0562Samcani.AdabImla.Shia002173-ara1,0.92583,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029951-ara1,0.92552,RELEASE
0562Samcani.AdabImla.Shamela0006018-ara1,0.9254,RELEASE
0562Samcani.AdabImla.JK000448-ara1,0.92537,RELEASE
6018.json,0.92524,RAWrabicaShamAY1
Shamela029960.txt,0.92456,raw_ShamelaY19
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.92425,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.92364,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.92362,RELEASE
Shamela029959.txt,0.92335,raw_ShamelaY19
13163.json,0.92274,RAWrabicaShamAY2
0451AbuCuthmanBuhayri.Fawaid.Shamela0029959-ara1,0.9227,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.JK003506-ara1,0.92203,RELEASE
Shamela026884.txt,0.92146,raw_ShamelaY19
0576AbuTahirSilafi.ArbacunaBuldaniyya.Shamela0009372-ara1,0.92106,RELEASE
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.92101,RELEASE
0576AbuTahirSilafi.ArbacunaBuldaniyya.Shamela0009372-ara1,0.92073,RELEASE
29953.json,0.92064,RAWrabicaShamAY2
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.92042,RELEASE
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.92036,RELEASE
0600CabdGhaniMuqaddasi.NihayatMurad.Shamela0038202-ara1,0.92018,RELEASE
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.92001,RELEASE
1384.json,0.91983,RAWrabicaShamAY1
Shamela026665.txt,0.91981,raw_ShamelaY19
Shamela038202.txt,0.91973,raw_ShamelaY19
1714.json,0.9195,RAWrabicaShamAY1
26665.json,0.91949,RAWrabicaShamAY2
26884.json,0.91944,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TarikhIsbahan.JK011254-ara1,0.91926,RELEASE
0576AbuTahirSilafi.MajalisKhamsa.Shamela0005706-ara1,0.91819,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.91767,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.91725,RELEASE
5706.json,0.91634,RAWrabicaShamAY1
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.91605,RELEASE
0458Bayhaqi.SunanKubra.JK000484-ara1,0.916,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.91583,RELEASE
0571IbnCasakir.DhammManLaYacmaluBiCilmihi.Shamela0026501-ara1,0.91536,RELEASE
12842.json,0.91512,RAWrabicaShamAY2
0571IbnCasakir.DhammManLaYacmaluBiCilmihi.Shamela0026501-ara1,0.9151,RELEASE
004135Vols.automARkdown,0.91449,RAW_Masaha
29951.bok.json,0.91367,RAWrabicaSham19Y
32835.json,0.91349,RAWrabicaShamAY2
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.91327,RELEASE
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.91284,RELEASE
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.91263,RELEASE
32885.json,0.91261,RAWrabicaShamAY2
0575IbnBabawayh.Arbacuna.ShamAY0032835-ara1,0.9126,RELEASE
29960.json,0.91228,RAWrabicaShamAY2
0454AbuMuhammadJawhari.Amali.ShamAY0032885-ara1,0.912,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.91036,RELEASE
Shamela029747.txt,0.90996,raw_ShamelaY19
Shamela029911.txt,0.90975,raw_ShamelaY19
0576AbuTahirSilafi.MajalisKhamsa.JK001154-ara1,0.90972,RELEASE
10490.json,0.90971,RAWrabicaShamAY1
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90952,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90928,RELEASE
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.909,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90896,RELEASE
0576AbuTahirSilafi.MajalisKhamsa.JK001154-ara1,0.90885,RELEASE
Shamela026878.txt,0.90882,raw_ShamelaY19
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90873,RELEASE
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.90859,RELEASE
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.90846,RELEASE
32781.json,0.90817,RAWrabicaShamAY2
Shamela131336.txt,0.90815,raw_ShamelaY19
31640.json,0.90807,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.90806,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.90805,RELEASE
29951.json,0.90803,RAWrabicaShamAY2
29911.json,0.90792,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.90762,RELEASE
0369AbuShaykhIsbahani.TabaqatMuhaddithin.JK000520-ara1,0.90761,RELEASE
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.90748,RELEASE
2253.html,0.90745,RAWrabicaRafed
6768.json,0.90696,RAWrabicaShamAY1
Shia002103Vols,0.90695,RAWrabica040000
Shia003488Vols,0.90694,RAWrabica045000
Sham30K0002613,0.90681,RAWrabica005000
26878.json,0.90668,RAWrabicaShamAY2
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.90657,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.90621,RELEASE
0510IbnCaliAbuGhanaimNursi.ThawabQada.Shamela0006768-ara1,0.90619,RELEASE
13147.json,0.90585,RAWrabicaShamAY2
0485NizamMulkWazir.Amali.Shamela0009608-ara1,0.90573,RELEASE
0388IbnBukayrSayrafi.FadailTasmiyya.Shia002090-ara1,0.9056,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.90558,RELEASE
0388IbnBukayrSayrafi.FadailTasmiyya.Shamela0013135-ara1,0.90558,RELEASE
0510IbnCaliAbuGhanaimNursi.ThawabQada.JK001253-ara1,0.90554,RELEASE
0485NizamMulkWazir.Amali.Shamela0009608-ara1,0.90549,RELEASE
0510IbnCaliAbuGhanaimNursi.ThawabQada.Shamela0006768-ara1,0.90547,RELEASE
0420IbnMuhammadDimashqi.ArbacunaBuldaniyya.Shamela0030586-ara1,0.90521,RELEASE
8982.json,0.90472,RAW_ABLibrary
0420IbnMuhammadDimashqi.ArbacunaBuldaniyya.Shamela0030586-ara1,0.90469,RELEASE
13135.bok.json,0.90468,RAWrabicaSham19Y
26501.json,0.90448,RAWrabicaShamAY2
Shamela030586.txt,0.9044,raw_ShamelaY19
