unknown,TFIDF_cosine,libVar
2547.json,0.99998,RAWrabicaShamAY1
Sham30K0002547,0.9999,RAWrabica005000
0468IbnAhmadWahidiNaysaburi.WajizFiTafsir.Tafsir08060-ara1,0.99783,RELEASE
0468IbnAhmadWahidiNaysaburi.WajizFiTafsir.Shia002542Vols-ara1,0.99694,RELEASE
0468IbnAhmadWahidiNaysaburi.WajizFiTafsir.JK000462-ara1,0.99687,RELEASE
Shamela022769.txt,0.93183,raw_ShamelaY19
22769.json,0.93123,RAWrabicaShamAY2
22769.bok.json,0.93102,RAWrabicaSham19Y
12876.json,0.92509,RAWrabicaShamAY2
3714.html,0.92465,RAWrabicaRafed
3795.html,0.91901,RAWrabicaRafed
3159.html,0.91889,RAWrabicaRafed
3579.automARkdown,0.90769,RAW_Ghbook
8967.json,0.90642,RAWrabicaShamAY1
1450MuhammadCaliSabuni.SafwatTafasir.Tafsir09083-ara1,0.90532,RELEASE
3868.html,0.90092,RAWrabicaRafed
1705.html,0.89887,RAWrabicaRafed
3928.html,0.89784,RAWrabicaRafed
Sham30K0033987,0.89781,RAWrabica020000
1703.html,0.89423,RAWrabicaRafed
30.json,0.89341,RAWrabicaShamAY1
Shamela036432.txt,0.89327,raw_ShamelaY19
3468.html,0.89239,RAWrabicaRafed
Sham30K0044011,0.89218,RAWrabica030000
1526.html,0.8916,RAWrabicaRafed
Shamela029743.txt,0.88767,raw_ShamelaY19
20.json,0.88746,RAWrabicaShamAY1
Sham30K0002673,0.88596,RAWrabica005000
1664.html,0.88353,RAWrabicaRafed
1666.html,0.88328,RAWrabicaRafed
31780.json,0.88185,RAWrabicaShamAY2
Shamela023628.txt,0.87953,raw_ShamelaY19
1691.html,0.8789,RAWrabicaRafed
3869.html,0.87888,RAWrabicaRafed
3700.html,0.87752,RAWrabicaRafed
3701.html,0.8775,RAWrabicaRafed
3783.html,0.87742,RAWrabicaRafed
1694.html,0.87699,RAWrabicaRafed
1681.html,0.8762,RAWrabicaRafed
34067.json,0.87575,RAWrabicaShamAY2
Shia002669,0.87567,RAWrabica040000
1688.html,0.87498,RAWrabicaRafed
1680.html,0.87437,RAWrabicaRafed
10450.json,0.8738,RAWrabicaShamAY1
2948.html,0.87275,RAWrabicaRafed
1665.html,0.87274,RAWrabicaRafed
1711.html,0.87177,RAWrabicaRafed
3466.html,0.87106,RAWrabicaRafed
3710.html,0.87103,RAWrabicaRafed
1376CabdRahmanSacdi.TaysirKarimRahman.Tafsir10098-ara1,0.87033,RELEASE
2974.html,0.87,RAWrabicaRafed
2973.html,0.86981,RAWrabicaRafed
1702.html,0.86953,RAWrabicaRafed
1677.html,0.86901,RAWrabicaRafed
3236.html,0.86884,RAWrabicaRafed
1394.json,0.86825,RAWrabicaShamAY1
2957.html,0.86801,RAWrabicaRafed
0360Tabarani.Tafsir.ShamAY0033108-ara1,0.86746,RELEASE
1683.html,0.86744,RAWrabicaRafed
33108.json,0.86694,RAWrabicaShamAY2
Shamela0008967,0.86681,RAWrabica035000
002327.automARkdown,0.86674,RAW_Masaha
0399IbnAbiZamanaynIlbiri.Tafsir.Tafsir02104-ara1,0.86664,RELEASE
1685.html,0.86646,RAWrabicaRafed
2966.html,0.86631,RAWrabicaRafed
2954.html,0.86614,RAWrabicaRafed
17791.bok.json,0.86613,RAWrabicaSham19Y
0367AbuLaythSamarqandi.BahrCulum.Tafsir02011-ara1,0.86588,RELEASE
32570.json,0.8654,RAWrabicaShamAY2
3465.html,0.86524,RAWrabicaRafed
31591.json,0.86441,RAWrabicaShamAY2
2976.html,0.86413,RAWrabicaRafed
Shamela115098.txt,0.86408,raw_ShamelaY19
3699.html,0.86385,RAWrabicaRafed
1638.json,0.86369,RAWrabicaShamAY1
3821.html,0.86367,RAWrabicaRafed
0399IbnAbiZamanaynIlbiri.Tafsir.Shamela0002154-ara1,0.8633,RELEASE
0399IbnAbiZamanaynIlbiri.Tafsir.JK007095-ara1,0.86329,RELEASE
1432AscadHawmad.AysarTafasir.Tafsir09071-ara1,0.86328,RELEASE
1684.html,0.86307,RAWrabicaRafed
0399IbnAbiZamanaynIlbiri.Tafsir.Shia002520Vols-ara1,0.86282,RELEASE
115098.bok.json,0.86265,RAWrabicaSham19Y
2945.html,0.8623,RAWrabicaRafed
23594.bok.json,0.86224,RAWrabicaSham19Y
31630.json,0.86192,RAWrabicaShamAY2
0367AbuLaythSamarqandi.BahrCulum.Shamela0023594-ara1,0.86181,RELEASE
3819.html,0.86178,RAWrabicaRafed
1659.html,0.86172,RAWrabicaRafed
23594.json,0.86129,RAWrabicaShamAY2
2962.html,0.8608,RAWrabicaRafed
3805.html,0.86028,RAWrabicaRafed
3467.html,0.85988,RAWrabicaRafed
3721.html,0.85956,RAWrabicaRafed
2946.html,0.85946,RAWrabicaRafed
35431.json,0.85928,RAWrabicaShamAY3
2950.html,0.85925,RAWrabicaRafed
Shamela037660.txt,0.85925,raw_ShamelaY19
1660.html,0.85922,RAWrabicaRafed
Sham30K0033838,0.8591,RAWrabica020000
0360Tabarani.TafsirKabir.Tafsir02091-ara1,0.85901,RELEASE
1696.html,0.85878,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirJawamicJamic.Shia002356Vols-ara1,0.8583,RELEASE
42.json,0.85825,RAWrabicaShamAY1
Shia002732,0.85816,RAWrabica040000
788.json,0.85789,RAW_ABLibrary
37660.bok.json,0.85778,RAWrabicaSham19Y
3932.html,0.85772,RAWrabicaRafed
Shamela023594.txt,0.85769,raw_ShamelaY19
3168.html,0.85762,RAWrabicaRafed
1787.json,0.85742,RAWrabicaShamAY1
3987.html,0.85703,RAWrabicaRafed
1738.html,0.85692,RAWrabicaRafed
1712.html,0.85682,RAWrabicaRafed
1687.html,0.85596,RAWrabicaRafed
1055.json,0.85524,RAWrabicaShamAY1
1407.json,0.85448,RAWrabicaShamAY1
3836.html,0.85434,RAWrabicaRafed
Shia002542Vols,0.8537,RAWrabica040000
3917.html,0.85304,RAWrabicaRafed
37000.json,0.85295,RAWrabicaShamAY3
