unknown,TFIDF_cosine,libVar
0470MuayyadFiDinShirazi.Sira.Kraken210622021805-ara1,1.0,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.81042,RELEASE
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.80971,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.80899,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.80861,RELEASE
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.8062,RELEASE
8430.json,0.80399,RAW_ABLibrary
876.html,0.80276,RAWrabicaRafed
3150.html,0.80152,RAWrabicaRafed
38093.bok.json,0.8011,RAWrabicaSham19Y
1236.json,0.80041,RAWrabicaShamAY1
0840IbnWazirYamani.RawdBasim.Shamela0036427-ara1,0.80012,RELEASE
0840IbnWazirMuhammad.RawdBasim.Zaydiyya0000084-ara1,0.79981,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.79978,RELEASE
Shamela038093.txt,0.79888,raw_ShamelaY19
1238.json,0.79799,RAWrabicaShamAY1
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.79784,RELEASE
1376MuhammadHajwiThacalibi.FikrSami.Shamela0010013-ara1,0.7978,RELEASE
Shamela133368.txt,0.79752,raw_ShamelaY19
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.79653,RELEASE
Shamela023631.txt,0.79629,raw_ShamelaY19
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.79582,RELEASE
0406SharifRadi.HaqaiqTawil.Shia002340-ara1,0.79559,RELEASE
1202.json,0.79558,RAWrabicaShamAY1
0756TaqiDinSubki.SayfSaqil.Shia002214-ara1,0.79541,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.79516,RELEASE
8349.json,0.79505,RAW_ABLibrary
Shamela020643.txt,0.79466,raw_ShamelaY19
3902.html,0.79429,RAWrabicaRafed
10541.json,0.79412,RAWrabicaShamAY1
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.79356,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.79312,RELEASE
0403AbuBakrBaqillani.IcjazQuran.Shia002525-ara1,0.79292,RELEASE
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.79251,RELEASE
1307Qannawji.FathBayan.Shamela0037458-ara1,0.79196,RELEASE
2679.html,0.79161,RAWrabicaRafed
2905.html,0.79112,RAWrabicaRafed
Shamela029677.txt,0.79106,raw_ShamelaY19
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.79093,RELEASE
0764Safadi.NusratThair.Shamela0000514-ara1,0.79069,RELEASE
34078.json,0.79007,RAWrabicaShamAY2
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Shamela0009776-ara1,0.79,RELEASE
0790IbnMusaGharnatiShatibi.Muwafaqat.Shamela0011435-ara1,0.78994,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.78975,RELEASE
