unknown,TFIDF_cosine,libVar
6782.json,0.99855,RAWrabicaShamAY1
0471IbnAhmadIbnBannaBaghdadi.RisalaMughniyya.JK000051-ara1,0.95276,RELEASE
0463KhatibBaghdadi.TaqyidCilm.Shamela0013089-ara1,0.88592,RELEASE
0463KhatibBaghdadi.TaqyidCilm.Shamela0013089-ara1,0.88383,RELEASE
13089.bok.json,0.88378,RAWrabicaSham19Y
13089.json,0.88166,RAWrabicaShamAY2
0463KhatibBaghdadi.TaqyidCilm.JK000627-ara1,0.88162,RELEASE
Sham30K0033941,0.8806,RAWrabica020000
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.88008,RELEASE
9642.json,0.87868,RAWrabicaShamAY1
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.87813,RELEASE
0620IbnQudamaMaqdisi.MutahabbinFiLlah.JK000671-ara1,0.87143,RELEASE
6763.json,0.86872,RAWrabicaShamAY1
0476IbnAbiSaqrAnbari.Mashyakha.Sham19Y0005725-ara1,0.86813,RELEASE
0549CabdKhaliqShahhami.Arbacun.ShamAY0033549-ara1,0.86718,RELEASE
0476IbnAbiSaqrAnbari.Mashyakha.Sham19Y0005725-ara1,0.8663,RELEASE
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.86608,RELEASE
5725.json,0.86575,RAWrabicaShamAY1
0549CabdKhaliqShahhami.Arbacun.ShamAY0033549-ara1,0.86516,RELEASE
0600CabdGhaniMuqaddasi.AmrBiMacruf.Shamela0009074-ara1,0.86471,RELEASE
0911Suyuti.ZiyadatCalaMawducat.Sham19Y0018315-ara1,0.86467,RELEASE
0571IbnCasakir.MadhTawaduc.Shamela0012747-ara1,0.86458,RELEASE
79.json,0.86457,RAWrabicaShamAY1
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.86423,RELEASE
1302.json,0.86379,RAWrabicaShamAY1
Shamela026456.txt,0.86359,raw_ShamelaY19
1420.json,0.86357,RAWrabicaShamAY1
0571IbnCasakir.MadhTawaduc.Shamela0012747-ara1,0.86301,RELEASE
0481AnsariHarawi.DhammKalam.ShamAY0033886-ara1,0.86286,RELEASE
9074.bok.json,0.86274,RAWrabicaSham19Y
0576AbuTahirSilafi.Tuyurat.Shamela0009634-ara1,0.8616,RELEASE
1427.json,0.86111,RAWrabicaShamAY1
0481AnsariHarawi.DhammKalam.ShamAY0033886-ara1,0.8608,RELEASE
0481AnsariHarawi.DhammKalam.Shamela0001427-ara1,0.86072,RELEASE
0481AnsariHarawi.DhammKalam.JK001006-ara1,0.86062,RELEASE
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.86014,RELEASE
0600CabdGhaniMuqaddasi.DhikrNar.Shamela0012736-ara1,0.85986,RELEASE
003295.automARkdown,0.85974,RAW_Masaha
0458Bayhaqi.DacawatKabir.Shamela0008970-ara1,0.85933,RELEASE
0463KhatibBaghdadi.AsmaMubhama.JK009142-ara1,0.85874,RELEASE
1295.json,0.85833,RAWrabicaShamAY1
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.85827,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.Shamela0012579-ara1,0.85826,RELEASE
33886.json,0.85822,RAWrabicaShamAY2
12736.bok.json,0.85813,RAWrabicaSham19Y
8970.json,0.8581,RAWrabicaShamAY1
Shamela148486.txt,0.85777,raw_ShamelaY19
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.85762,RELEASE
0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1,0.8575,RELEASE
0463KhatibBaghdadi.SharafAshabHadith.Shamela0013125-ara1,0.85744,RELEASE
0458Bayhaqi.DacawatKabir.Shamela0008970-ara1,0.8573,RELEASE
0492AbuHasanKhulci.Khulciyyat.Shamela0030592Vols-ara1,0.85717,RELEASE
0433AbuSacdNasruyi.Amali.ShamAY0032799-ara1,0.85678,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.Shamela0012579-ara1,0.85654,RELEASE
0595IbnCabdQadirBaghdadiJilani.ArbacunaJilaniyya.Shamela0006439-ara1,0.85646,RELEASE
0458Bayhaqi.SunanKubra.ShamAY0033909-ara1,0.8563,RELEASE
33549.json,0.85604,RAWrabicaShamAY2
Sham30K0002696,0.85603,RAWrabica005000
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.85597,RELEASE
0458AbuYaclaIbnFarra.Amali.Shamela0026579-ara1,0.85566,RELEASE
33976.json,0.85554,RAWrabicaShamAY2
13125.bok.json,0.85549,RAWrabicaSham19Y
0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1,0.85543,RELEASE
0463KhatibBaghdadi.SharafAshabHadith.Shamela0013125-ara1,0.85537,RELEASE
1330.json,0.85519,RAWrabicaShamAY1
0492AbuHasanKhulci.Khulciyyat.Shamela0030592Vols-ara1,0.85516,RELEASE
34438.json,0.85498,RAWrabicaShamAY3
12579.bok.json,0.8549,RAWrabicaSham19Y
0432IbnMuhammadNasafi.FadailQuran.Shamela0021315-ara1,0.85484,RELEASE
Shamela026579.txt,0.85479,raw_ShamelaY19
0771Subki.TabaqatShaficiyyaKubra.JK000914-ara1,0.85466,RELEASE
6025.json,0.85465,RAWrabicaShamAY1
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.85442,RELEASE
817.json,0.85437,RAW_ABLibrary
0433AbuSacdNasruyi.Amali.ShamAY0032799-ara1,0.85426,RELEASE
9392.json,0.85419,RAWrabicaShamAY1
0458AbuYaclaIbnFarra.Amali.Shamela0026579-ara1,0.85408,RELEASE
0499MurshidYahyaIbnShajari.Amali.Shamela0009392-ara1,0.85393,RELEASE
0458Bayhaqi.DacawatKabir.JK007124-ara1,0.85376,RELEASE
6739.json,0.85358,RAWrabicaShamAY1
33909.json,0.85356,RAWrabicaShamAY2
9392.bok.json,0.85351,RAWrabicaSham19Y
12579.json,0.85305,RAWrabicaShamAY2
13125.json,0.85296,RAWrabicaShamAY2
0686AbuYamanIbnCasakir.JuzFihiAhadithShahrRamadan.Shamela0026723-ara1,0.8529,RELEASE
0458Bayhaqi.QadaWaQadar.JK009179-ara1,0.85289,RELEASE
0806IbnHusaynZaynDinCiraqi.Mahajja.ShamAY0033590-ara1,0.85284,RELEASE
0432IbnMuhammadNasafi.FadailQuran.Shamela0021315-ara1,0.85281,RELEASE
Shamela021315.txt,0.85218,raw_ShamelaY19
32799.json,0.8521,RAWrabicaShamAY2
Shamela147811.txt,0.85133,raw_ShamelaY19
1354.json,0.85128,RAWrabicaShamAY1
0701SharafDinYunini.Mashyakha.Shamela0026722-ara1,0.85119,RELEASE
Shamela030487.txt,0.85118,raw_ShamelaY19
0458Bayhaqi.BacthWaNushur.Sham19Y0147811-ara1,0.85113,RELEASE
38107.json,0.85104,RAWrabicaShamAY3
0458Bayhaqi.QadaWaQadar.JK009179-ara1,0.85085,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.ShamAY0034613-ara1,0.85084,RELEASE
30479.bok.json,0.85058,RAWrabicaSham19Y
0852IbnHajarCasqalani.GharaibMinMusannadFirdaws.ShamAY0032826-ara1,0.85041,RELEASE
815.json,0.85039,RAW_ABLibrary
002336.automARkdown,0.85007,RAW_Masaha
Shamela030479.txt,0.85005,raw_ShamelaY19
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.85,RELEASE
34613.json,0.84997,RAWrabicaShamAY3
0458Bayhaqi.QadaWaQadar.Shamela0013053-ara1,0.84991,RELEASE
21315.json,0.84971,RAWrabicaShamAY2
002473.automARkdown,0.84968,RAW_Masaha
30515.bok.json,0.84956,RAWrabicaSham19Y
2149.html,0.84955,RAWrabicaRafed
0568IbnAhmadKhwarazmiMakki.Manaqib.Shia003697-ara1,0.84946,RELEASE
Shamela026723.txt,0.84936,raw_ShamelaY19
002331.automARkdown,0.84916,RAW_Masaha
30487.json,0.84901,RAWrabicaShamAY2
0458Bayhaqi.FadailAwqat.Shia002106-ara1,0.849,RELEASE
Shamela030515.txt,0.84876,raw_ShamelaY19
6003.json,0.84867,RAWrabicaShamAY1
Shamela026542.txt,0.84863,raw_ShamelaY19
2141.html,0.84823,RAWrabicaRafed
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.84818,RELEASE
33590.json,0.84806,RAWrabicaShamAY2
