unknown,TFIDF_cosine,libVar
0476AbuIshaqShirazi.LumacFiUsulFiqh.Shia002913-ara1,0.99924,RELEASE
0476AbuIshaqShirazi.LumacFiUsulFiqh.Shamela0008536-ara1,0.99902,RELEASE
8536.json,0.99558,RAWrabicaShamAY1
32522.json,0.88119,RAWrabicaShamAY2
Shamela0008536,0.8799,RAWrabica035000
0474IbnKhalafBaji.IsharaFiUsulFiqh.Sham19Y0017871-ara1,0.87814,RELEASE
34197.json,0.86167,RAWrabicaShamAY3
Shamela025787.txt,0.85003,raw_ShamelaY19
Shamela022793.txt,0.84977,raw_ShamelaY19
0489IbnMuhammadSamcani.QawaticAdilla.Shamela0012049-ara1,0.8488,RELEASE
0476AbuIshaqShirazi.TabsiraFiUsulFiqh.Shamela0025787-ara1,0.84847,RELEASE
0476AbuIshaqShirazi.TabsiraFiUsulFiqh.JK000214-ara1,0.84845,RELEASE
0489IbnMuhammadSamcani.QawaticAdilla.JK001304-ara1,0.84796,RELEASE
25787.json,0.84698,RAWrabicaShamAY2
Shamela122232.txt,0.84682,raw_ShamelaY19
0458AbuYaclaIbnFarra.CuddaFiUsulFiqh.Shamela0022793-ara1,0.8462,RELEASE
0513AbuWafaIbnCaqil.WadihFiUsulFiqh.Sham19Y0122232-ara1,0.84599,RELEASE
0458AbuYaclaIbnFarra.CuddaFiUsulFiqh.ShamAY0038640-ara1,0.84574,RELEASE
0370IbnCaliJassas.FusulFiUsul.JK000286-ara1,0.84176,RELEASE
676.json,0.84163,RAWrabicaShamAY1
0370IbnCaliJassas.FusulFiUsul.Shamela0000676-ara1,0.83984,RELEASE
Sham30K0033999,0.83837,RAWrabica020000
6309.json,0.83806,RAWrabicaShamAY1
804.json,0.83794,RAW_ABLibrary
Shamela021735.txt,0.83752,raw_ShamelaY19
6309.bok.json,0.83723,RAWrabicaSham19Y
003448Vols.automARkdown,0.83682,RAW_Masaha
251.json,0.83676,RAWrabicaShamAY1
Shamela036379.txt,0.83662,raw_ShamelaY19
0362IbnBaraka.Jamic.ShamIbadiyya0000204-ara1,0.83609,RELEASE
0543IbnCarabiIshbili.Mahsul.Shamela0006281-ara1,0.83604,RELEASE
0520IbnRushdJadd.Muqaddimat.Shamela0021735-ara1,0.83555,RELEASE
0370IbnCaliJassas.FusulFiUsul.Shia002901Vols-ara1,0.83518,RELEASE
0543IbnCarabiIshbili.Mahsul.JK006901-ara1,0.8344,RELEASE
8634.json,0.83408,RAW_ABLibrary
32011.json,0.83387,RAWrabicaShamAY2
15918.automARkdown,0.83366,RAW_Ghbook
8636.json,0.83336,RAW_ABLibrary
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.83224,RELEASE
0510AbuKhattabKalwadhani.TamhidhFiUsulFiqh.Sham19Y0014103-ara1,0.83166,RELEASE
3614.html,0.83153,RAWrabicaRafed
000998Vols.automARkdown,0.83042,RAW_Masaha
3616.html,0.82973,RAWrabicaRafed
32661.json,0.82928,RAWrabicaShamAY2
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.82926,RELEASE
Shamela018610.txt,0.82795,raw_ShamelaY19
8633.json,0.82712,RAW_ABLibrary
802.json,0.82464,RAW_ABLibrary
32675.json,0.8245,RAWrabicaShamAY2
000708Vols.automARkdown,0.82424,RAW_Masaha
34195.json,0.82415,RAWrabicaShamAY3
34184.json,0.82378,RAWrabicaShamAY2
0460ShaykhTusi.CiddatUsul.Shia002748Vols-ara1,0.82023,RELEASE
122232.bok.json,0.82005,RAWrabicaSham19Y
9885.json,0.81956,RAWrabicaShamAY1
Shamela037591.txt,0.81893,raw_ShamelaY19
3615.html,0.81872,RAWrabicaRafed
31699.json,0.81847,RAWrabicaShamAY2
Shia002913,0.81782,RAWrabica045000
Shamela147913.txt,0.81771,raw_ShamelaY19
Shamela021593.txt,0.81766,raw_ShamelaY19
3794.html,0.81692,RAWrabicaRafed
34187.json,0.81638,RAWrabicaShamAY3
11498.json,0.8162,RAWrabicaShamAY2
0504IbnMuhammadCimadDinTabari.AhkamQuran.Shamela0023582-ara1,0.81617,RELEASE
21593.bok.json,0.81606,RAWrabicaSham19Y
15619.automARkdown,0.81602,RAW_Ghbook
3960.json,0.81565,RAWrabicaShamAY1
8681.json,0.81549,RAW_ABLibrary
6281.json,0.81525,RAWrabicaShamAY1
5981.json,0.81515,RAWrabicaShamAY1
1746.html,0.81472,RAWrabicaRafed
8349.json,0.81465,RAW_ABLibrary
1140.html,0.81461,RAWrabicaRafed
0505Ghazali.Mankhul.Shia002917-ara1,0.81434,RELEASE
3827.html,0.81433,RAWrabicaRafed
0505Ghazali.Mankhul.Shamela0003960-ara1,0.81414,RELEASE
8635.json,0.81405,RAW_ABLibrary
0505Ghazali.Mankhul.JK000155-ara1,0.81389,RELEASE
21593.json,0.81384,RAWrabicaShamAY2
3319.html,0.81366,RAWrabicaRafed
6281.bok.json,0.81365,RAWrabicaSham19Y
004743.automARkdown,0.81326,RAW_Masaha
Shamela023582.txt,0.81313,raw_ShamelaY19
0573IbnHibatAllahQutbDinRawandi.FiqhQuran.Shia002369Vols-ara1,0.81283,RELEASE
Shamela133362.txt,0.81194,raw_ShamelaY19
3448.html,0.81193,RAWrabicaRafed
803.json,0.81172,RAW_ABLibrary
12085.json,0.81165,RAWrabicaShamAY2
805.json,0.81161,RAW_ABLibrary
3147.html,0.81153,RAWrabicaRafed
12049.json,0.81118,RAWrabicaShamAY2
133362.bok.json,0.81102,RAWrabicaSham19Y
1102.json,0.811,RAWrabicaShamAY1
0552CalaUsmandi.Badhl.Sham19Y0133362-ara1,0.8104,RELEASE
3474.html,0.81039,RAWrabicaRafed
1703.json,0.81021,RAWrabicaShamAY1
8589.json,0.80985,RAW_ABLibrary
Sham30K0033882,0.80982,RAWrabica020000
6315.json,0.80978,RAWrabicaShamAY1
3192.html,0.80973,RAWrabicaRafed
Sham30K0034012,0.80954,RAWrabica020000
3493.html,0.80949,RAWrabicaRafed
004329.automARkdown,0.80904,RAW_Masaha
3902.html,0.80876,RAWrabicaRafed
6315.bok.json,0.80862,RAWrabicaSham19Y
001015.automARkdown,0.80861,RAW_Masaha
0436SharifMurtada.Rasail.Shia000019Vols-ara1,0.80789,RELEASE
11727.json,0.80725,RAWrabicaShamAY2
8657.json,0.80715,RAW_ABLibrary
004331.automARkdown,0.80694,RAW_Masaha
Shamela023631.txt,0.80688,raw_ShamelaY19
7903.json,0.8066,RAW_ABLibrary
003767.automARkdown,0.80656,RAW_Masaha
3146.html,0.80634,RAWrabicaRafed
004330.automARkdown,0.80593,RAW_Masaha
1627.json,0.80573,RAWrabicaShamAY1
7689.json,0.80564,RAWrabicaShamAY1
11814.json,0.80561,RAWrabicaShamAY2
8391.json,0.80536,RAW_ABLibrary
1793.html,0.80511,RAWrabicaRafed
38826.json,0.80509,RAWrabicaShamAY3
1310.html,0.80506,RAWrabicaRafed
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.80503,RELEASE
Shamela095565.txt,0.80487,raw_ShamelaY19
1547.json,0.80473,RAWrabicaShamAY1
Shamela145168.txt,0.80462,raw_ShamelaY19
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.80462,RELEASE
Shamela150962.txt,0.80427,raw_ShamelaY19
95565.bok.json,0.80393,RAWrabicaSham19Y
37548.json,0.80379,RAWrabicaShamAY3
7689.bok.json,0.80378,RAWrabicaSham19Y
