unknown,TFIDF_cosine,libVar
Sham30K0038952,0.9703,RAWrabica025000
0485NizamMulkWazir.Amali.Shamela0009608-ara1,0.95326,RELEASE
9608.json,0.94499,RAWrabicaShamAY1
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.92153,RELEASE
12842.json,0.91884,RAWrabicaShamAY2
1453.json,0.91786,RAWrabicaShamAY1
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.9173,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.91606,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shamela0013146-ara1,0.91572,RELEASE
13146.bok.json,0.91498,RAWrabicaSham19Y
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.91425,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.JK000600-ara1,0.91385,RELEASE
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.91378,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shamela0013163-ara1,0.91377,RELEASE
0454IbnSalamaMisri.MusnadShihab.Shia002103Vols-ara1,0.91322,RELEASE
13146.json,0.91317,RAWrabicaShamAY2
0515AbuCaliHaddad.Mucjam.ShamAY0032841-ara1,0.91267,RELEASE
13147.json,0.91115,RAWrabicaShamAY2
13163.json,0.91095,RAWrabicaShamAY2
32841.json,0.91092,RAWrabicaShamAY2
0454IbnSalamaMisri.MusnadShihab.JK000480-ara1,0.91022,RELEASE
0419IbnCaliHamadani.Amali.ShamAY0032927-ara1,0.90806,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029953-ara1,0.9065,RELEASE
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.90567,RELEASE
32927.json,0.90524,RAWrabicaShamAY2
Shamela021635.txt,0.90523,raw_ShamelaY19
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.90521,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029960-ara1,0.90508,RELEASE
Shamela026884.txt,0.90465,raw_ShamelaY19
Sham30K0008237,0.90447,RAWrabica010000
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.90418,RELEASE
0418AbuMansurIsfahani.Arbacuna.ShamAY0032757-ara1,0.9039,RELEASE
Shamela029960.txt,0.90324,raw_ShamelaY19
32781.json,0.90285,RAWrabicaShamAY2
26884.json,0.90283,RAWrabicaShamAY2
21635.json,0.90277,RAWrabicaShamAY2
9292.json,0.90273,RAWrabicaShamAY1
32757.json,0.90252,RAWrabicaShamAY2
Shamela029953.txt,0.90231,raw_ShamelaY19
33907.json,0.90199,RAWrabicaShamAY2
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.90188,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,0.90166,RELEASE
10490.json,0.90156,RAWrabicaShamAY1
Shamela026878.txt,0.90126,raw_ShamelaY19
0458Bayhaqi.BacthWaNushur.ShamAY0034010-ara1,0.90109,RELEASE
0458Bayhaqi.BacthWaNushur.Shamela0009292-ara1,0.90106,RELEASE
0430AbuNucaymIsbahani.MacrifatSahaba.Shamela0010490-ara1,0.90094,RELEASE
0439IbnMuhammadKhallal.Amali.Shamela0009311-ara1,0.90092,RELEASE
29960.json,0.90074,RAWrabicaShamAY2
9292.bok.json,0.90062,RAWrabicaSham19Y
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.90031,RELEASE
5562.json,0.89998,RAWrabicaShamAY1
8982.json,0.89994,RAW_ABLibrary
0405HakimNaysaburi.Mustadrak.ShamAY0033945-ara4,0.89993,RELEASE
Shamela131336.txt,0.89972,raw_ShamelaY19
2253.html,0.89957,RAWrabicaRafed
29953.json,0.89932,RAWrabicaShamAY2
26878.json,0.8993,RAWrabicaShamAY2
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.Shamela0005562-ara1,0.89927,RELEASE
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,0.89921,RELEASE
0414AbuSacidNaqqash.Majalis.Shamela0029747-ara1,0.89918,RELEASE
34010.json,0.89868,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.JK000467-ara1,0.89863,RELEASE
0581AbuMusaMadini.Lataif.Shamela0029911-ara1,0.89862,RELEASE
5562.bok.json,0.89838,RAWrabicaSham19Y
1714.json,0.89826,RAWrabicaShamAY1
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.8981,RELEASE
Shamela029911.txt,0.89806,raw_ShamelaY19
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.89794,RELEASE
2266.json,0.8979,RAWrabicaShamAY1
9311.json,0.89768,RAWrabicaShamAY1
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.8968,RELEASE
0413IbnTalhaNaccali.Juz.Shamela0029746-ara1,0.89677,RELEASE
Shamela029747.txt,0.8966,raw_ShamelaY19
29911.json,0.89625,RAWrabicaShamAY2
0465IbnHawazinQushayri.Arbacina.ShamAY0033704-ara1,0.89563,RELEASE
Shamela029746.txt,0.89533,raw_ShamelaY19
004135Vols.automARkdown,0.89524,RAW_Masaha
0451AbuCuthmanBuhayri.Fawaid.Shamela0029959-ara1,0.89499,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shamela0001714-ara1,0.89491,RELEASE
0458Bayhaqi.SunanKubra.Shia001754Vols-ara1,0.89464,RELEASE
32848.json,0.89455,RAWrabicaShamAY2
1225.json,0.89409,RAWrabicaShamAY1
10494.json,0.89408,RAWrabicaShamAY1
0489IbnFadlIsbahani.FawaidCawali.ShamAY0032848-ara1,0.89402,RELEASE
0386IbnCumarHarbi.Harbiyyat.Shamela0010494-ara1,0.89397,RELEASE
33704.json,0.89393,RAWrabicaShamAY2
0420IbnMuhammadDimashqi.ArbacunaBuldaniyya.Shamela0030586-ara1,0.89378,RELEASE
0458Bayhaqi.SunanKubra.Shamela0007861-ara1,0.89378,RELEASE
Shia002103Vols,0.89361,RAWrabica040000
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.89352,RELEASE
0458Bayhaqi.MadkhalIlaSunanKubra.Shamela0013061-ara1,0.89317,RELEASE
Shamela030586.txt,0.89264,raw_ShamelaY19
0388IbnBukayrSayrafi.FadailTasmiyya.Shamela0013135-ara1,0.89235,RELEASE
5803.json,0.89206,RAWrabicaShamAY1
1375.json,0.89165,RAWrabicaShamAY1
29747.json,0.89154,RAWrabicaShamAY2
0405HakimNaysaburi.Mustadrak.Shia001750Vols-ara1,0.89148,RELEASE
0481AnsariHarawi.ArbacunaFiDalailTawhid.Shamela0006410-ara1,0.89112,RELEASE
35235.json,0.89101,RAWrabicaShamAY3
Shamela029959.txt,0.89097,raw_ShamelaY19
0481AnsariHarawi.ArbacunaFiDalailTawhid.Shia002164-ara1,0.89089,RELEASE
31640.json,0.89085,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.ShamAY0033917-ara1,0.89065,RELEASE
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.89054,RELEASE
0578IbnBashkuwal.GhawamidAsma.JK000726-ara1,0.89052,RELEASE
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.89051,RELEASE
33945.json,0.89046,RAWrabicaShamAY2
9324.json,0.89018,RAWrabicaShamAY1
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.89008,RELEASE
Shamela026921.txt,0.88983,raw_ShamelaY19
12992.json,0.88958,RAWrabicaShamAY2
0475IbnMandahCabdWahhabIsbahani.Fawaid.Shia002163-ara1,0.88944,RELEASE
0395IbnMandahMuhammad.Fawaid.JK000587-ara1,0.88938,RELEASE
13061.json,0.88932,RAWrabicaShamAY2
0395IbnMandahMuhammad.Fawaid.Shamela0009347-ara1,0.88932,RELEASE
5706.json,0.88921,RAWrabicaShamAY1
0443IbnCaliBasri.HadithMalik.Shamela0021696-ara1,0.88909,RELEASE
9324.bok.json,0.88908,RAWrabicaSham19Y
0388IbnBukayrSayrafi.FadailTasmiyya.JK000569-ara1,0.88906,RELEASE
13135.json,0.8887,RAWrabicaShamAY2
0576AbuTahirSilafi.MajalisKhamsa.Shamela0005706-ara1,0.88864,RELEASE
0465IbnMuhtadi.Juz.ShamAY0035235-ara1,0.88823,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.8876,RELEASE
8237.json,0.88759,RAWrabicaShamAY1
0426IbnAhmadIbnShadhan.Hadith.Shamela0029972-ara1,0.8875,RELEASE
33917.json,0.8875,RAWrabicaShamAY2
0458Bayhaqi.SunanKubra.JK000484-ara1,0.88722,RELEASE
29746.json,0.88684,RAWrabicaShamAY2
0565IbnMuhammadAbuBakrBaghdadi.Mashyakha.Shamela0026665-ara1,0.88671,RELEASE
0430AbuNucaymIsbahani.FadailKhulafaRashidin.JK011558-ara1,0.88668,RELEASE
30586.json,0.88663,RAWrabicaShamAY2
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.8866,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029951-ara1,0.88636,RELEASE
Shamela029972.txt,0.8861,raw_ShamelaY19
29959.json,0.8857,RAWrabicaShamAY2
0430AbuNucaymIsbahani.FadilatCadilin.Shamela0013141-ara1,0.88541,RELEASE
0430AbuNucaymIsbahani.SifatJanna.JK009155-ara1,0.88538,RELEASE
32752.json,0.88529,RAWrabicaShamAY2
0463KhatibBaghdadi.RihlaFiTalabCilm.Shamela0013020-ara1,0.885,RELEASE
26665.json,0.88467,RAWrabicaShamAY2
0550IbnBahramHarami.Fawaid.ShamAY0032764-ara1,0.88464,RELEASE
Shamela021696.txt,0.8846,raw_ShamelaY19
13135.bok.json,0.88458,RAWrabicaSham19Y
0430AbuNucaymIsbahani.FadilatCadilin.JK000860-ara1,0.88449,RELEASE
0458Bayhaqi.IthbatCadhabQabr.ShamAY0034008-ara1,0.88438,RELEASE
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029984-ara1,0.88381,RELEASE
32801.json,0.8836,RAWrabicaShamAY2
Shamela026559.txt,0.88322,raw_ShamelaY19
32921.json,0.88318,RAWrabicaShamAY2
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.88303,RELEASE
0446AbuYaclaKhalili.Fawaid.Shamela0008240-ara1,0.88287,RELEASE
0395IbnMandahMuhammad.Iman.Shamela0013005-ara1,0.88282,RELEASE
0430AbuNucaymIsbahani.TarikhIsbahan.Shia003488Vols-ara1,0.88253,RELEASE
26559.json,0.88233,RAWrabicaShamAY2
0439IbnMuhammadKhallal.FadailSuratIkhlas.Shamela0013138-ara1,0.88223,RELEASE
Shamela026665.txt,0.88212,raw_ShamelaY19
0458Bayhaqi.IthbatCadhabQabr.Shamela0008258-ara1,0.88209,RELEASE
32761.json,0.88206,RAWrabicaShamAY2
0430AbuNucaymIsbahani.SifatJanna.Shamela0021602-ara1,0.88199,RELEASE
0439IbnMuhammadKhallal.Amali.JK011420-ara1,0.88185,RELEASE
1319.json,0.88181,RAWrabicaShamAY1
